{'短评内容': '出差', '短评打分': 5}
{'短评内容': '作为商务酒店，还行吧', '短评打分': 4}
{'短评内容': '早上6点多起来想洗澡没热水，这也太差劲了吧。希望能改进！酒店服务没感觉，房间部局有一些问题 比如灯直接在头顶上！', '短评打分': 4}
{'短评内容': '房间整洁舒服，交通便捷。', '短评打分': 5}
{'短评内容': '房间整洁舒心。', '短评打分': 5}
{'短评内容': '下次不错，下次还来。', '短评打分': 5}
{'短评内容': '环境不错服务态度很好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '服务态度很好，感觉温馨', '短评打分': 5}
{'短评内容': '环境不错，温馨', '短评打分': 5}
{'短评内容': '装修和环境都不错 就是床单太容易滑落了 ', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，网络慢了点', '短评打分': 4}
{'短评内容': '感觉还行', '短评打分': 5}
{'短评内容': '总体上挺不错的，只是如果有早餐就更好了', '短评打分': 4}
{'短评内容': '房间不错！', '短评打分': 5}
{'短评内容': '推荐说是按四星建造，可能是因为时间太长了吧，看了几个房，墙纸都都因潮湿发霉脱开。房间不是很大，靠路边，交通很方便，所以，也有点吵。其他都还行。', '短评打分': 5}
{'短评内容': '还可以，就是房间小了一店，市中心的酒店，性价比还可以', '短评打分': 5}
{'短评内容': '所有房间全临街，噪音非常大，这次入住酒店没有更换床单及枕套', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 3}
{'短评内容': '房间的空间不大，价钱高，晚上吵，房间还有特殊服务。', '短评打分': 1}
{'短评内容': '在衡阳这样的城市，我觉得酒店定价还是高了些', '短评打分': 5}
{'短评内容': '条件还可以,只是没有餐厅', '短评打分': 3}
{'短评内容': '酒店停车场太窄，出进不太方便，酒店的豪双房就是标双房，折后价位在208一间的房间，折后价格应该在150上下还是可以接受，酒店性比价不高，大堂装修还算可以，洗漱房间里面没有设置冲凉时放衣服的设备。睡一晚后感觉靠马路边的房间还是比较吵的', '短评打分': 5}
{'短评内容': '还不错的酒店，位置还可以，就是靠近路边晚上有点吵，还有就是没有晚饭和早饭吃', '短评打分': 5}
{'短评内容': '房间很舒服 空调效果也很好 给人的感觉很舒适', '短评打分': 5}
{'短评内容': '床单也是破的，屋内充满着一股霉味。总之太多不满意。', '短评打分': 1}
{'短评内容': '200多的价格只能说很一般，酒店内的装修倒还不错，房间里的装修就令人大失所望。临街很吵，屋内空气也很不清新。毛巾竟然发黑。', '短评打分': 1}
{'短评内容': '服务态度一点也不好，酒店的被单是破的叫她们换也不换，酒店烟味特别大，房间设施也很旧。下次不会再选择这个酒店，建议大家还是不要去。', '短评打分': 1}
{'短评内容': '酒店装修有点点旧，服务态度还可以，提前预订的，七夕当天入住竟然要我多付了40，心里感觉有点不舒服。不过酒店在对旅客的财产方面很负责，女朋友的手表留在房里，在结账的时候询问并返还给了我们，还是很感谢的。', '短评打分': 5}
{'短评内容': '商务酒店！\n\n还可以。\n\n网速啥的都不错啦', '短评打分': 5}
{'短评内容': '房间和浴室小了点，酒店提供上网，但一直连接不上，总台只是说网络不好，总体价格偏高', '短评打分': 5}
{'短评内容': '还可以吧  就押金有点多 哈哈 下次不交了', '短评打分': 5}
{'短评内容': ' 酒店位置不错，只是设备有点老了，装修陈旧，浴巾、毛巾又黄、又黑！', '短评打分': 3}
{'短评内容': '还行。通风不好。', '短评打分': 3}
{'短评内容': '环境不错，窗户太小，通风不好。服务还行。', '短评打分': 3}
{'短评内容': '总体感觉尚好，隔音效果差，周边离商业繁华区比较近，去衡山也比较方便', '短评打分': 5}
{'短评内容': '优点：\n交通便利，设施齐全\n服务贴心，注满7天还有水果盘送\n网速快，迅雷下载1MB/s，爽\n缺点：\n临街，非常吵，没有背街的房间\n窗户设计太小，通风很不好\n没有晾晒的地方', '短评打分': 5}
{'短评内容': '地点可以，价格也适中，硬件也还过得去，算得上一个出差的好住处。', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '酒店还蛮好的。', '短评打分': 3}
{'短评内容': ' 服务差，房间还好！', '短评打分': 3}
{'短评内容': '比较好找，离火车站比较近，办事比较方便，就是没有早餐，可惜了。', '短评打分': 5}
{'短评内容': '非常不错，值得住宿。就是靠着马路有一些噪音，但是可以接受！', '短评打分': 5}
{'短评内容': '还不错..就是贵了.................................', '短评打分': 5}
{'短评内容': '房间没有电脑没有早餐其它尚可', '短评打分': 5}
{'短评内容': '酒店的设备还可以，就是外围达不到3星级，价钱不是很好，那样的设施不值得。', '短评打分': 1}
{'短评内容': '还不错，房间比较小，靠着路边，些许噪音但属于可接受范围', '短评打分': 5}
{'短评内容': '服务太差，前台没有很好的服务意识，等候办理入住可能的20分钟没有人理会，退房也是等上个半小时，完全没有人理会，至少的说声您们等会的话，还是理由多的很，上次我来住宿时既然刷卡没有把我的卡没有授权解除，尽然扣了我1000多也没有通知我方，太差不建议在此酒店入住。', '短评打分': 1}
{'短评内容': '总台服务不错。', '短评打分': 5}
{'短评内容': '订了两晚第一晚是208，第二晚是198.结账的时候前台要按照两晚都是208。打电话协商按照一晚208和一晚198价格结的帐，不知道前台工作怎么做的。', '短评打分': 5}
{'短评内容': '酒店设施新，交通位置好，空调制冷慢一些。推荐吧！', '短评打分': 5}
{'短评内容': '价格的话在当地算是高了一些。房间的卫生设施还不错，服务的话也还行，整体的环境倒是还可以。', '短评打分': 5}
{'短评内容': '位置很好，房间也较舒适，也较整洁，总体性价比不错的', '短评打分': 5}
{'短评内容': '身为商务酒店没有配备电脑有点说不过去，希望酒店在以后能完善~~~~~~', '短评打分': 5}
{'短评内容': '酒店的服务不怎么好！但酒店的设施是相当的好！\r\n交通比较方便，但是没有早餐。', '短评打分': 5}
