{'短评内容': '房间非常喜欢，干净', '短评打分': 5}
{'短评内容': '两居室非常舒适，家电厨具一应俱备，非常适合家庭、友人出行！', '短评打分': 5}
{'短评内容': '很好 很干净 服务周到 和天津的酒店一样好  早餐比较丰盛 距离机场很近 交通比较方便 离轮渡码头很近', '短评打分': 5}
{'短评内容': '和妈妈出来玩 特别干净 服务周到 早餐很丰盛 要是香蕉能更多点就好了…… 有停车场 很好………………', '短评打分': 5}
{'短评内容': '在岛上去哪都很方便，服务到位', '短评打分': 5}
{'短评内容': '好！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '靠近码头   房间还可以   价格合适', '短评打分': 5}
{'短评内容': '?', '短评打分': 5}
{'短评内容': '一直住', '短评打分': 5}
{'短评内容': '前台服务人员工号70074 这个工作人员服务态度恶劣', '短评打分': 4}
{'短评内容': '非常好的宾馆', '短评打分': 5}
{'短评内容': '不错还会再来', '短评打分': 5}
{'短评内容': '不错，还会再来', '短评打分': 5}
{'短评内容': '不错，还会再来！', '短评打分': 5}
{'短评内容': 'My hotel of choice in Xiamen because of the location. Pretty good and clean. Some of the rooms are older/ have a bathtub directly beside the shower which is odd. The breakfast is pretty standard for m', '短评打分': 4}
{'短评内容': '服务非常周到，不过就是停车位有点儿少。', '短评打分': 5}
{'短评内容': '服务态度好 酒店设施很干净 然后餐饮也很不错', '短评打分': 5}
{'短评内容': '都很好', '短评打分': 5}
{'短评内容': '地理位置环境都不错。', '短评打分': 4}
{'短评内容': '服务已达六星 很有服务精神 可见领导有下苦功培训 只是我订的两间大床房 两间房的床 一大一小', '短评打分': 3}
{'短评内容': '最爱的酒店之一，有happy hour很好很强大 喜欢', '短评打分': 5}
{'短评内容': '虽然酒店的大堂没有其他五星的气派，不过房内设施和服务都很不错。要是房间再大点就更好了。', '短评打分': 5}
{'短评内容': '酒店环境不错，服务良好，房间浴室宽趟，日後会继续入住。', '短评打分': 5}
{'短评内容': '酒店的条件不错，服务也很好，一楼酒吧感觉挺好的，只是房间面积嫌小。', '短评打分': 3}
{'短评内容': '酒店环境设施较为舒适', '短评打分': 3}
{'短评内容': '这次住的是24楼的精致套房，2405房间太小了，放了个床就没啥空间了，也太精致了。也没见送份水果，硬件都一样五星级标准啦，床软，床单什么的不错，隔音好，睡得好。这很重要推荐啦!早餐在28楼的会所，人不多，安静，可以看海景。早餐 品种嘛就不多，没有我喜欢的，烤面包多鬼佬可能喜欢。服务很好，热情，笑眯眯的。我心情也好了。', '短评打分': 5}
{'短评内容': '环境不错，价格合理', '短评打分': 3}
{'短评内容': '服务非常好 房间设施也很好 卫生间越小但设计合理', '短评打分': 3}
{'短评内容': '客人对这个酒店挺满意的。 装修很有现代感。 自助餐也不错。 ', '短评打分': 5}
{'短评内容': '酒店不错。 早餐也挺丰盛。 房间有点偏小。大堂在里面', '短评打分': 5}
{'短评内容': '酒店不错。 处在厦门比较高档的区域。 出行也算方便', '短评打分': 5}
{'短评内容': '不错！特别表扬下酒店门口的接待员，很热情有礼貌！', '短评打分': 5}
{'短评内容': '不错的酒店，干净，早饭也不错。。。。。。。', '短评打分': 5}
{'短评内容': '房间不错，床也舒服，可看到一点海景，只是无线上网有时掉线。', '短评打分': 3}
{'短评内容': '我得反驳一下1月28日那位顾客发表的意见，五一节我刚住过，我认为房间地毯就是那种混搭的色调，看起来好像是黑色斑驳的感觉，但其实并不脏，他自己没搞清楚真实状况，就在那边乱发表一番诋毁酒店的话，真的太不负责任。\n我住这三天的整体感觉很棒，具体如下：\n1. 酒店的光线设计处理很棒，整个房间给人明亮一新的感觉，窗户设计也很出色，能够饱览厦门中心市区的繁华景致，尤其是卫生间的窗面镜子处理，特别出彩，海湾景致', '短评打分': 5}
{'短评内容': '这家酒店超烂，服务也不好，订双床给我大床！房间小地毯黑黑不干净！不推荐！对面的颐豪好多了！这是我住过最烂的高级酒店！不好不好不好！！', '短评打分': 3}
{'短评内容': '这是厦门一家很好的酒店，环境优雅，很豪华，服务生素质很高，感觉很舒服，酒店的餐厅也很好，很喜欢酒店的菜品和果汁，有机会来厦门就住这里了，真的很喜欢。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '不错啊', '短评打分': 3}
{'短评内容': '酒店不错，就是大堂怎么看都不像五星的。住的是太平洋会所房，三间都不一样，边间的明显面积要小，其它两间还好！', '短评打分': 5}
{'短评内容': '很不错的酒店！来到这里就会很自然的放下工作上的事情，回到最初的自己！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': 'NiceHT', '短评打分': 5}
{'短评内容': '不错，就是商务中心的小MM 英文水平很差', '短评打分': 5}
{'短评内容': '酒店还行', '短评打分': 5}
{'短评内容': '很好很好!!!!', '短评打分': 3}
{'短评内容': '不愧系五星級,果然系好!', '短评打分': 5}
{'短评内容': '各方面都是非常好，就是价格有点贵啦，还有就是房间没有我想象的大，有点小，住在高层的景观就好很多。总体感觉是很好，会推荐，但价格比较高。\r\n\r\n', '短评打分': 3}
{'短评内容': '各方面都是非常好，就是价格有点贵啦，还有就是房间没有我想象的大，有点小，住在高层的景观就好很多。总体感觉是很好，会推荐，但价格比较高。', '短评打分': 5}
{'短评内容': '各位小心，如入住此酒店千万别弄丢东西， 不然该酒店面带微笑的酒店管理人员会使劲宰你。....很怀念原索非特，换了 什么太平洋总觉得吃饭少了盐。总之，住了无数次索非特， 两次 泛 太平洋。 今后再也不住那里了', '短评打分': 1}
{'短评内容': '尊敬的厦门索菲特酒店领导：\r\n2009年元月25日至29日，我入住于贵酒店，由于离开时比较匆忙，不慎将一套首饰遗失在酒店，四处寻找未果，经电话询问得知，贵酒店员工潘海燕在整理房间时，发现了那套首饰并主动交给了贵酒店服务总台，贵酒店服务总台大堂副理在查询过有关信息后，便以最快的速度邮寄至我处。对此，我深表感谢。\r\n目前，全社会正大力提倡诚信精神，而贵酒店员工潘海燕拾金不昧的高尚品德，正是这种精神的具', '短评打分': 5}
{'短评内容': '很好的一家酒店，但是就是价钱偏高，还是单早，实在是不理解，郁闷！不过我是个很挑剔的人，总体还是不错的，房间有的大有的小，希望朋友入住的时候说明要大点的房型', '短评打分': 5}
{'短评内容': '位置不算很中心但是附近交通很方便设施环境都很好就是价格有些偏高.', '短评打分': 5}
{'短评内容': '酒店的大堂有点小，和五星的不匹配，别的方面都还可以，位置还算是方便', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '地理位置出行较方便,服务生较热情,但是入住酒店时没有行李搬运服务,房间风格比较浪漫,很喜欢他家的窗纱，床很软，大堂休息区比较有特点。&lt;br /&gt;\n缺点是卫生间没有排风扇,所以有股异味,马桶不够畅通.房间比较闷，窗户开不大。酒店只含单早，而且不能把两天的早餐合并使用，不够人性化。', '短评打分': 5}
{'短评内容': '五一的时候去的，前面不知道是海还是湖，刚好在造房子，被挡住了，估计之前去的话风景更好，住的很舒服，服务也很好，最让我们感动的是，走的那天check out，因为飞机的时间比较晚，我们宝宝要午睡，本来想好了延迟退房半天，结果打电话到前台问怎么计算房款，前台听我们的情况，直接就同意给我们延迟了，根本就没有加钱，如果在平时房源不是很紧张的时候这样做客人会觉得理所当然，不过在黄金周受到这样的待遇，让我和老', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;很新的酒店，房间是以紫色为主的色调。我住的是高级间698/晚，价格偏高了点。这个价位可以住套房了。早餐108/位，还要加收15%的服务费，也只是有水果，鸡蛋，咖啡，米粉，糕点。&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '这是在厦门商务旅行的最佳选择，名不虚传的国际品牌酒店，进去以后像是回到了北欧一样，酒店的每一处都能体现设计师的用心付出，酒店的早餐更是出色，如果让我挑缺点，就是价格偏高了！', '短评打分': 3}
{'短评内容': '很棒，在这里不但可以感受世界5星级酒店的品质也可以感受花园城市厦门的魅力！', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;刚到门前时觉得一般，进去后感觉大不一样，设施和服务都堪称一流，国际连锁的管理很到位。房间非常舒适，特别是床，可以看到湖景，上网是免费的，目前的优惠价商务入住非常合适。试了一下三楼的中餐厅，环境和菜品也非常满意。以后来在市区住还是会选这里。&amp;lt;/P&amp;gt;', '短评打分': 5}
