{'短评内容': '前台服务极其不专业 一个问题等半天回答 惹不起躲得起', '短评打分': 1}
{'短评内容': '酒店位置离阜外很近', '短评打分': 5}
{'短评内容': '靠近医院，有停车场', '短评打分': 5}
{'短评内容': '早餐挺好的', '短评打分': 5}
{'短评内容': '一不留神订了个地下室，收费还死贵的。酒店估计年头不短了，家具都有些旧，卫生还可以，毛巾床单都很干净，卫生间地漏都是堵的。服务挺好，硬件设施不行，单人床比其他酒店要窄小，收费还这么高，总体感觉不划算，还不如住快捷呢，还以为这个价位能住到好环境呢，很失望！有停车位。', '短评打分': 5}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '北京这个价格的酒店就这样', '短评打分': 4}
{'短评内容': '不错，不错，不错，不错，不错，不错，不错', '短评打分': 5}
{'短评内容': '价格优惠 服务周到', '短评打分': 5}
{'短评内容': '设施比较陈旧，服务一般', '短评打分': 3}
{'短评内容': '在北京应该不错的酒店，有停车位', '短评打分': 5}
{'短评内容': '酒店地点不错，因为这个关系住海运，其他的，价格偏贵，不送早餐，房间太小', '短评打分': 4}
{'短评内容': 'A really good report quality /price, excellent service and personal very Nice.', '短评打分': 4}
{'短评内容': '老酒店，和四星级酒店名不符实', '短评打分': 2}
{'短评内容': '很方便，周围小吃很多，到阜外医院的首选！', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '价格优惠，环境很好！出行方便！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，方便', '短评打分': 5}
{'短评内容': '脏,一股难闻味道', '短评打分': 3}
{'短评内容': ' 比较干净，安静，就是房间有点小', '短评打分': 3}
{'短评内容': '很方便，酒店干净，下次还会再去住。安静。', '短评打分': 5}
{'短评内容': '空调不错，打开后房间立刻凉快，环境也较安静', '短评打分': 3}
{'短评内容': '明明订了单子，居然没给我留，凌晨12点多到那里，最后快2点了才给我协调好！！！', '短评打分': 1}
{'短评内容': '酒店条件还行，很安静，价格便宜，办事方便！', '短评打分': 3}
{'短评内容': '帮同事订的，，说还不错，交通方便，酒店环境也成，干净，安静，算是难得了，呵呵', '短评打分': 5}
{'短评内容': '挺不错的，安静，干净，价格也合适。挺不错的，安静，干净，价格也合适。', '短评打分': 5}
{'短评内容': '对此次入住，我是不太满意，原先预订好的商务大床房，到了酒店结果说是没有，只有双标间，而且服务员的态度就是你要住就住，不住拉倒。没办法，已经是晚上七点钟了，也不好再去找酒店了，只能入住。酒店房间就比汉庭快捷酒店房间稍微大一些，但是价格要高50元/晚左右，感觉性价比不是太高。酒店的交通倒还挺方便的，门口就有公交车站，走上五分钟左右就能到地铁的阜城门站。', '短评打分': 5}
{'短评内容': '昨天我朋友前往北京出差~叫他们北京的同行帮忙订酒店，结果看了好几家都没房了，我朋友情急之下给我打了电话，我在他们上飞机之前订了这家酒店，他们住的非常满意~推荐！推荐！！！！', '短评打分': 5}
{'短评内容': '＋酒店装修，房间尚可', '短评打分': 3}
{'短评内容': '房间面积较大干净卫生，服务好，周边交通方便，性价比较高！', '短评打分': 5}
{'短评内容': '酒店干净卫生，周边交通方便，性价比较高！', '短评打分': 5}
{'短评内容': '房间面积比快捷酒店大很多，服务好，交通方便，性价比适合。', '短评打分': 5}
{'短评内容': '房间标准也太低了，单间只够放下一张床，连吹风机、防滑垫都没有，服务态度也不是很好，早餐还算可以吧。。', '短评打分': 3}
{'短评内容': '地理位置优越，交通也方便，我只是碰到剃须刀包装里剃须膏空的。', '短评打分': 1}
{'短评内容': '酒店设施一般，号称4星级，感觉不像，最差的就是早点，可以这么说就是一菜一汤，没有其他选择。下次再不住了。', '短评打分': 1}
{'短评内容': '房间还不错,离阜外医院不远', '短评打分': 3}
{'短评内容': '环境、服务不错，交通便利,下次入住海珠这里。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '卫生间太小了，不过有个很大的阳台，总体还是不错的', '短评打分': 5}
{'短评内容': '  海运国际酒店条件比较好,交通方便,卫生整洁,服务态度也较满意.尤其到阜外就医很便利.', '短评打分': 3}
{'短评内容': '酒店位置还可以，周边环境还可，自身硬件一般。', '短评打分': 3}
{'短评内容': '房间有一张床窄 和网上公布的不一致', '短评打分': 3}
{'短评内容': '因为去阜外所以才选的这个酒店，房间较大，一楼进门有点异味，但在床那头就没了。早餐比较差。                                      ', '短评打分': 5}
{'短评内容': '离金融街比较近的酒店，难得找到400之内的，呵呵\n交通蛮方便的\n不过房间设计得比较奇怪，工作台在特角落上\n', '短评打分': 5}
{'短评内容': '去北京阜外心血管医院办事就住在离的比较近的这个酒店，整体住宿情况可以的，房间还是比较不错，较干净，服务还不错。', '短评打分': 5}
{'短评内容': '酒店环境不错  送的早餐也不错   离市中心近 附近离地铁口也很近  出行很方便  ', '短评打分': 5}
