{'短评内容': '早餐很不错', '短评打分': 5}
{'短评内容': '经常住，还行', '短评打分': 4}
{'短评内容': '这个价位真的还不错，有早饭。房间还给我免费升级了，赞一个', '短评打分': 5}
{'短评内容': '挺好的一次入住，价格合适，卫生干净整洁，就是空调房略大了点', '短评打分': 5}
{'短评内容': '房间，配套都还不错，就是空调声音略微大了点', '短评打分': 5}
{'短评内容': '酒店内部设施不错', '短评打分': 5}
{'短评内容': '酒店环境和服务设施不错', '短评打分': 5}
{'短评内容': '早餐太简单，太差', '短评打分': 4}
{'短评内容': '酒店蛮不错的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '以前去过南通住过几次，关键环境设施不错！价格也合理~', '短评打分': 4}
{'短评内容': '交通便利，暖气足。设施比较齐全，卫生还可以。早饭一般。。。。。', '短评打分': 4}
{'短评内容': '一直不错！', '短评打分': 5}
{'短评内容': '一如既往的不错', '短评打分': 5}
{'短评内容': '价格便宜适合，设施齐全，以后会多入住的！', '短评打分': 5}
{'短评内容': '酒店干净，早餐好极了，就是环境有点不如人意，但出行，交通很好，很便利的', '短评打分': 5}
{'短评内容': '房间环境不错，圆床很舒服，只是感觉隔音不是太好，隔壁房间客人聊天的声音非常清晰，另，建议将床灯或是台灯改成灯光亮度可调，那样氛围会更好一点。', '短评打分': 5}
{'短评内容': '酒店总体不错，有机会还住', '短评打分': 3}
{'短评内容': '酒店停车方便，房间面积比较大，空调效果不错，总体感觉很好！', '短评打分': 5}
{'短评内容': '酒店地理位置不错。周边很多店铺，房间宽敞，干净。', '短评打分': 5}
{'短评内容': '满足', '短评打分': 3}
{'短评内容': '还可以，就是早晨服务员有点吵，房间满干净的，没有异味', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '第一次入住，有点味道，酒店很新，停车很方便，早餐比较单一。', '短评打分': 5}
{'短评内容': '酒店很新，环境不错，停车很方便，唯一不足的是早餐品种太单一了！希望能有改进。', '短评打分': 5}
{'短评内容': '一进房间就闻到一股难闻的味道，应该是下水道的味道。设施还是比较新的，床很大。宽带是免费的，但是速度很慢，应该不是我电脑的原因。饭店有专门的停车场，这个很好，附近没有公交站台，不开车的旅客不是很方便。200元的价格除了新，好像没别的优势。作为本地人，我不会选择这家酒店。', '短评打分': 1}
{'短评内容': '喜欢这样的房间，交通也可以，希望下次还能入住', '短评打分': 5}
