{'短评内容': '订的房间客户不满意，很失望，性价比不高', '短评打分': 2}
{'短评内容': '和老婆一起住的，楼很高。很高兴，没那么新就是了', '短评打分': 5}
{'短评内容': '不知道为什么', '短评打分': 4}
{'短评内容': '是因为这样的', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错呀，哈哈哈。', '短评打分': 4}
{'短评内容': '不错呀', '短评打分': 4}
{'短评内容': '评价', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '真实效果', '短评打分': 4}
{'短评内容': '酒店挺好的 前台接待特别好，有小停车场，还帮着提行李，位置还可以，就是携程不太给力，临入住给我把订单取消了，说是客房已满，致电酒店发现根本不是，又从新订了才成功', '短评打分': 4}
{'短评内容': '可以的哦呵呵呵呵呵呵呵呵呵呵呵呵呵呵', '短评打分': 3}
{'短评内容': '卫生差，设施老旧，隔音不好', '短评打分': 3}
{'短评内容': '朋友反映:整体很好，尤其是服务很耐心，很友好，交通方便，夜景很美', '短评打分': 5}
{'短评内容': '位置不错，吃的也多，房间整洁，但大家不要订三人间。', '短评打分': 3}
{'短评内容': '非常糟糕的酒店，没有WIFI,厕所的手纸非常粗不能用，我住的是套房，套房客厅的电视非常小，整个套房只有一个空调在客厅。性价比非常差。总之，我是不会再住了。', '短评打分': 1}
{'短评内容': '入住还可以…', '短评打分': 3}
{'短评内容': '因为要赶比较早的班车，离开酒店的时候比较匆忙。\n但检查过酒店内付费物品是完整的，但结账时候前台竟然说，有一个毛巾被打开了。回房间看，果然如此。需要仅仅10元，但也反映酒店诚信存在问题。建议其他网友入住，马上退还房内全部付费物品，或者拍照存证。', '短评打分': 1}
{'短评内容': '干净卫生，就是比较旧了，窗户密封不好夜里刮风下雨吵得人睡不好。', '短评打分': 1}
{'短评内容': '干净卫生.服务态度还好.就是不熟悉厦门的人.酒店有点不好找.总的来说不错.可以推荐', '短评打分': 5}
{'短评内容': '装飾老旧', '短评打分': 1}
{'短评内容': '我元旦期间预订的是商务标间，房间的整体条件还不错，很干净整洁，不过酒店的门脸不是很明显，弄的我到了地方都找不到门。还有就是淋浴的水比较小。&lt;br /&gt;\n还有要提醒大家，这个季节到厦门去好多宾馆都没有暖气，晚上很凉。&lt;br /&gt;\n&lt;br /&gt;\n', '短评打分': 3}
