{'短评内容': '还行吧，灯光太暗了，别的都还可以', '短评打分': 4}
{'短评内容': '总体感觉还可以啦，实惠', '短评打分': 4}
{'短评内容': '没早餐，环境差', '短评打分': 1}
{'短评内容': '设施完善，态度很好', '短评打分': 5}
{'短评内容': '服务很好，设施全', '短评打分': 5}
{'短评内容': '怎么说呢，特价房有价格优势，其他方面就没有优势了。哈哈', '短评打分': 5}
{'短评内容': '没热风空调，谁住谁感冒。以感冒', '短评打分': 1}
{'短评内容': '偶然发现了这家酒店，抱着试试看的心态住下了，住过后感觉非常舒服：交通方便、离海边近、硬件配套不错、服务热情周到……下次来威海还住这里', '短评打分': 5}
{'短评内容': '中规中矩，没有惊喜也没失望', '短评打分': 5}
{'短评内容': '第一次来威海，为了离海边游泳近点，订了这家，卫生做的不好，空调都老旧黄的不行了，周围吃饭很多，离韩乐坊也近，不过说实话韩乐坊夜市没多大意思，不去也罢', '短评打分': 3}
{'短评内容': '离海边挺近，房间有味道！！！', '短评打分': 3}
{'短评内容': '房间干净，位置交通方便服务态度还可以！', '短评打分': 3}
{'短评内容': '地理位置还不错离海边很近，但是从火车站没有直达的公交车，基本要有一段路，很干净也很舒适。比较推荐去', '短评打分': 3}
{'短评内容': '整体还不错，下次还会考虑！', '短评打分': 3}
{'短评内容': '基本满意。交通和停车都很方便。', '短评打分': 4}
{'短评内容': '酒店很不错，处于经济开发区，靠海较近。空气很好。很干净，服务不错。推荐', '短评打分': 5}
{'短评内容': '干净，舒服，离海滩近，出门左手边有公交站。', '短评打分': 3}
{'短评内容': '离车站和海边都蛮近的，边上有走几步有几家小餐厅。不过设施有点旧，价格有点小贵，7月1日起还涨价，要￥202', '短评打分': 5}
{'短评内容': '勉强还好...吃饭不方便，到市里的话，出门500米就有直达公交', '短评打分': 5}
{'短评内容': '到火车站和海边近，卫生干净，可以考虑入住，不足之处早餐一般，单调，即使有钱也没有可囗的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '设施不错就是靠近电梯的房间比较吵', '短评打分': 3}
{'短评内容': ',卫生环境不错价格适中，性价比高', '短评打分': 3}
{'短评内容': '下水道气味太大', '短评打分': 3}
{'短评内容': '威海地方不算大，酒店的位置不算偏僻，离海边也不远，以后还会光顾。', '短评打分': 5}
{'短评内容': '酒店价格还行，服务人员很热情，早餐略差一点。', '短评打分': 5}
{'短评内容': '床挺大的，就是沐浴露用完了也没加，住着离火车站近，方便', '短评打分': 5}
{'短评内容': '  干净卫生', '短评打分': 3}
{'短评内容': '干净 地理位置可以，距离港口有十五分钟车程。', '短评打分': 5}
{'短评内容': '酒店的位置还算可以，距离码头有点远，距离火车站很近，距离海边很近，酒店服务和卫生还好，有停车位。', '短评打分': 5}
{'短评内容': '卫生干净，不错。', '短评打分': 3}
{'短评内容': '位置靠近马路，不过距离刘公岛景区和海边还是比较近的，房间有点偏小', '短评打分': 5}
{'短评内容': '酒店很不错，一如既往的选择格林豪泰没有错，就是这家临街，所以有点吵，其他的都很不错，交通便利，离海很近，', '短评打分': 5}
{'短评内容': '酒店交通不错，到机场火车站汽车站都很方便，房间内部还好，就是由于临街有时候会有点吵，希望能有改善', '短评打分': 3}
{'短评内容': '一般性的经济酒店吧，也就是随便住住，如果有太高的要求的话，你就不能选了。', '短评打分': 5}
{'短评内容': '离汽车站很近，马路对面就是机场大巴的停靠点（可惜没站牌），需要在威海坐汽车中转的推荐在这里，否则还是到环翠区去住吧，威海是个狭长的城市，南北大约30公里长，它在南部，离市区还很远。', '短评打分': 5}
{'短评内容': '环境可以~~~！今天还是比较突然的，到汽车站不知道怎么走~！结果打电话给酒店，他们很耐心的跟我讲了地点~！', '短评打分': 5}
{'短评内容': '屋子很大……还不错。服务也还不错……离海边还蛮近的，晚上溜达一会就能到。离市区有一定距离，打车20块钱可以到市中心', '短评打分': 5}
{'短评内容': '，我入住了格林豪泰309标间，时间为一曰，就是把预订的大床房变更为标准间了', '短评打分': 3}
{'短评内容': '酒店干净，离汽车站，火车站较近，价格不贵', '短评打分': 5}
{'短评内容': '房间大，设施全，但被褥潮湿，房间有发霉的味道。', '短评打分': 1}
{'短评内容': '服务质量很好，房间很宽敞，也很干净，交通略显不方便。', '短评打分': 5}
{'短评内容': '酒店离海边很近,早上可以去赶海.附近有条韩国小吃街,晚上营业到10点,可以一试.酒店还是一如既往地舒服。', '短评打分': 5}
{'短评内容': '很好的条件。干净。设施好服务好。', '短评打分': 3}
{'短评内容': '离火车站汽车站都很近，出租车就起步价。\n靠海很近，步行十分钟就到。\n酒店内部条件不错，服务态度良好。', '短评打分': 5}
{'短评内容': '不错,住得很好！下次还来住', '短评打分': 3}
{'短评内容': '比较满意', '短评打分': 3}
{'短评内容': '环境挺好，地理位置不错。以后来威海的首选住所', '短评打分': 3}
{'短评内容': '房间很不错！很舒服，客服也很好！！', '短评打分': 3}
