{'短评内容': '哈哈哈', '短评打分': 5}
{'短评内容': '没有排气扇，没有挂衣服的地方，最可恨的就是我明明订的是全天房，到店里了竟然说是钟点房，然后我也没有消费，自费了170块重开了一个房，然后69块的订单竟然也消费了，我真搞不懂是怎么回事，连怎么投诉都不清楚，难道京东就是这样坑消费者吗？非常可恨，希望看到信息回复电话，18978222126', '短评打分': 5}
{'短评内容': '与上次一样', '短评打分': 4}
{'短评内容': '方便出差。但睡觉太闹', '短评打分': 4}
{'短评内容': '卫生间不行。其他还好', '短评打分': 4}
{'短评内容': '早餐空间很小，感觉不太好', '短评打分': 4}
{'短评内容': '干净卫生，交通便利', '短评打分': 5}
{'短评内容': '电视太小了', '短评打分': 5}
{'短评内容': '环境很好。卫生干净，住的舒服。下次还来', '短评打分': 5}
{'短评内容': '出差南宁，又一次入住，双人房间床够大，干净卫生。但整体空间略小，桌子前摆张凳子就不能走动了。灯光也偏暗哦', '短评打分': 4}
{'短评内容': '酒店还可以，安静', '短评打分': 5}
{'短评内容': '这个很好就是没给我返现', '短评打分': 5}
{'短评内容': '因出差公务还未完成，续住了一天，周末价格小贵呀！房间对着马路，早上如果想睡懒觉就可能觉得有点小吵哦。', '短评打分': 4}
{'短评内容': '入住城市便捷酒店北大分店，赶上了周末升价，比平日贵了不少。房间还算大，但冲凉房比较小，其它的还算好吧。', '短评打分': 4}
{'短评内容': '整体性价比还不错，服务水平还可以，如果时间充足，也可以多考虑其他店', '短评打分': 5}
{'短评内容': '性价比高，房间干净卫生，交通方便，服务态度良好。', '短评打分': 5}
{'短评内容': '厕所门居然是坏的，关不了，位置不错，安静。', '短评打分': 3}
{'短评内容': '好环境不错～交通便利', '短评打分': 3}
{'短评内容': 'Ok，还l带阳台，房间也够大', '短评打分': 3}
{'短评内容': '第二次入住，前台人少，开房办事效率非常低，但服务态度非常好。', '短评打分': 5}
{'短评内容': '酒店建设时间短，经营才3个月左右，所以设备比较新，给人第一眼印象还可以，但是从住的这些天来看，酒店问题很多，员工都很懒散，喊他们干些什么事都是半天才来，前台的不知道是不是心情不好，打个单总是打错，或者忘记刷卡，楼层服务员喜欢在楼层上大声说笑，但是卫生却不好好打扫，有一天我早上9点多出门，下午3点40回来，房间都没扫，还是打电话给前台，才来了个人随便整整，说是24小时供热水，有次从外面回来热的很，却', '短评打分': 1}
{'短评内容': '房间卫生还可以，第一天住进去有股味道，第二天就好了。交通还算方便。出门在外，住住还是可以得.', '短评打分': 5}
{'短评内容': '房间卫生还可以，第一天住进去有股味道，第二天就好了。交通还算方便。', '短评打分': 5}
{'短评内容': '朋友说不错，离西大近，方便出行，环境也还可以', '短评打分': 5}
{'短评内容': '房间卫生可以，交通也方便，晚上比较安静，性价比可以。', '短评打分': 5}
{'短评内容': '一进出看见那沙发 顿时觉得非常的豪华！！可以住了一会后就发现问题了\n地板根本没有脱过 又是木地板 所以都是灰 而且发现了一只蟑螂 活的 被我用酒店里的拖鞋拍死了', '短评打分': 1}
{'短评内容': ' 酒店装修格调现代、典雅、时尚、温馨，床上用品干净整洁柔软，真是个睡觉休息的好地方！', '短评打分': 3}
