{'短评内容': '环境和服务好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '环境好，离香山公园很近，早中晚自助餐品种多，停车场大，值得推荐！', '短评打分': 5}
{'短评内容': '给老年人订的，一共三间，周围环境很好，离植物园和香山很近。房间各方面都另令人满意，唯一不足就是离周围的餐馆有点远。', '短评打分': 5}
{'短评内容': '植物园旁边 单独小门进园子 非常好', '短评打分': 5}
{'短评内容': '离植物园近。房卡可进植物园，无需购票。带老人家人来玩很好。', '短评打分': 4}
{'短评内容': '旁边就是植物园，晨跑，带孩子玩都非常棒', '短评打分': 5}
{'短评内容': '路不太好找，没有路标。位置就在植物园东侧，可刷卡进园，很方便：早晚进园人少些，中午在酒店午休。酒店晚上很安静。客房内设施、楼道地毯有些老旧，游泳池一直关闭，没有健身房。早餐、午餐有自助，种类还可以，但人多（团队的？）晚了有的菜就没了，所以显得小贵。', '短评打分': 5}
{'短评内容': '十一假期出行  实在不敢恭维酒店卫生   实在太差   桌子  地面好像都没有认真清理 擦拭，只是胡乱胡噜一下了事，这个卫生标准就是招待所水平，连如家都不如。携程还写着四星？  价钱可以是四星了，前台接待和服务员的普通话都要仔细听才明白说什么  简直是农家乐的接待啊  ', '短评打分': 2}
{'短评内容': '酒店可以直通植物园，很幽静。酒店设施一般，已经有年头了。偶尔住一下还可以', '短评打分': 4}
{'短评内容': '酒店距离植物园很近，植物园中的红叶也非常好，是观赏的好地方。', '短评打分': 5}
{'短评内容': '不错，很安静，就是带大行李不方便，去植物园很方便！校门能刷房卡进', '短评打分': 3}
{'短评内容': '房间比较大 地理位置好 后门出去就在植物园 适合老人孩子玩耍o', '短评打分': 3}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '环境设施都很好，特别是房间设施，很齐全（雨伞、保险箱、防烟面罩等），超过很多四星的标准。有个侧门刷房卡直接进植物园。唯一就是曲尽通幽，注意看路牌才能找到。', '短评打分': 5}
{'短评内容': '设施齐备，完全符合四星级标准；院内环境优雅，空气清新；香山脚下性价比最高的酒店。', '短评打分': 5}
{'短评内容': '不错的地方，房间条件很好，唯一不足的是吃饭太贵，不过香山旁边有的是吃饭地方，开车出去随便挑选。', '短评打分': 5}
{'短评内容': '此次入住二层朝南房间，能看到侧面山景，不错，空气也好。', '短评打分': 5}
{'短评内容': '酒店环境不错，服务一般，前台动作很慢，餐厅菜品不是一般的贵啊。', '短评打分': 3}
{'短评内容': '香山脚下，风景宜人，祥和安静。房间设施齐备，价格大体合理。\n餐厅价格稍贵，味道一般。', '短评打分': 5}
{'短评内容': ' 赏花很方便的四星标准酒店，吃饭确实小贵，但值得推荐！', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '总体感觉服务一流，房间条件也很不错，主要的问题就是离市区较远，不开车很不方便，总体感觉景明园是值得住的地方，秋天住在这里可能更好，旁边的北京植物园是个好地方。', '短评打分': 5}
{'短评内容': '酒店比较新，空气很好，可以直接到植物园散步，就是餐厅比较贵且菜品种类少。', '短评打分': 3}
{'短评内容': '高太长已住孙学金晚上到', '短评打分': 3}
{'短评内容': '环境不错，干净、清静，挺好的，就是价格有点小贵。', '短评打分': 5}
{'短评内容': '香山脚下位置好。管理不够专业。以会议接待为主。', '短评打分': 1}
{'短评内容': '。环境不错', '短评打分': 3}
{'短评内容': '环境很好！可惜房间配备太简单，因为离市区远，应该配备健全一点，比如小吃、饮品之类。', '短评打分': 5}
{'短评内容': '11月30日入住，12月3日退房，总体感觉这个宾馆四星挂的有道理，服务一流，房间条件也很不错，因为是参加全国竞赛，所以每晚回到房间休息是个享受。主要的问题就是离市区较远，不开车很不方便，总体感觉景明园是值得住的地方，秋天住在这里可能更好，旁边的北京植物园是个好地方。', '短评打分': 5}
{'短评内容': '环境安静干净，服务细心周到，房间宽敞舒适，值得推荐。', '短评打分': 5}
{'短评内容': '服务很周到，配套设施也挺齐全，价格也合理，是个休闲度假的好地方。', '短评打分': 5}
{'短评内容': '房间宽敞明亮，打扫的也挺干净，管理挺严格，感觉很安全。', '短评打分': 5}
{'短评内容': '服务卫生方面挺好，房间挺大，通风也不错，离植物园挺近，游玩挺方便。', '短评打分': 5}
