{'短评内容': '不错的酒店，价格合理，下次再来', '短评打分': 5}
{'短评内容': '不错的酒店，价格便宜，很好', '短评打分': 5}
{'短评内容': '不错的，价格实惠，下次再来', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '酒店很好，很不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '适合带孩子', '短评打分': 5}
{'短评内容': '可以的，价格便宜，以后再来', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友很开心', '短评打分': 4}
{'短评内容': '酒店不错，周围买东西方便。', '短评打分': 5}
{'短评内容': '经济实惠，服务态度好', '短评打分': 5}
{'短评内容': '干净，环境好', '短评打分': 5}
{'短评内容': '服务态度好价格优', '短评打分': 5}
{'短评内容': '服务好价格优', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '房间布局还行', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '卫生和环境很好', '短评打分': 5}
{'短评内容': '房间干净整洁，周边超市、饭馆应有尽有。酒店内设的中餐馆好吃不贵。而且酒店还提供免费洗浴！小亮点，值得点赞。整体感觉不错！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店很好找，对面就是一大超市，一楼自助餐厅，饭菜还不错，只是去的晚了，太累了，没有拍照，房间很大，很干净，挂牌四星，不过桌子有点简陋，其他设施都还不错，国庆节去的，在携程定的是428一晚的，酒店前台卖价638，很开心。', '短评打分': 5}
{'短评内容': '根本不适合商务住', '短评打分': 1}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '整体感觉不错，值得推荐！', '短评打分': 3}
{'短评内容': '位置偏僻一点，环境还不错', '短评打分': 3}
{'短评内容': '服务热情，设施齐全，干净整齐。温馨幸福感暖暖的。还帮助我们买到了丰镇的月饼。对此还要表扬前台的服务员。', '短评打分': 3}
{'短评内容': '酒店的位置不错，设施齐全，环境卫生，整体看起来比较精致。不满的地方是洗脸池在门口，不喜欢，马桶比较旧，不满，洗澡的地方没有洗头膏，沐浴露，害我找了半天。整体满意，酒店的服务也挺好的！没想到这次入住该酒店，在设施上有了个小提高，表扬一下，在每个房间都配备了吹风机，用起来很方便！', '短评打分': 4}
{'短评内容': '房间很舒服，服务周到，交通比较便利，离火车站很近，客房的装修比较豪华，有四星的范。下次还会入住这家酒店', '短评打分': 5}
{'短评内容': '大同晋河凯龙大酒店入住后感觉还不错,性价比不错,地理位置也好,房间也干净,下次还住这里.', '短评打分': 3}
{'短评内容': '第二次入住了，离车站很近，店内环境非常不错，不过单人间B比单人间A小很多', '短评打分': 5}
{'短评内容': '酒店位置还好，打车比较方便。 住宿环境还是不错的，服务态度也很热情。此价位也是比较合理，值得推荐的住处。', '短评打分': 5}
{'短评内容': '觉得不错很值。比较干净像4星级酒店，很干净推荐住下次还来', '短评打分': 5}
{'短评内容': '很偏  相当难找  说了来大同办事  要市区的  结果安排在这边  没办法  到大同已经是深夜了  只好住了   第二天一早换酒店', '短评打分': 1}
{'短评内容': '挺不错的酒店，干净整洁，就是第二天早上一起来赶上小区停水 知道8点多才来，早饭不错的', '短评打分': 5}
{'短评内容': '非常不错，早餐很好！性价比高！非常不错，早餐很好！性价比高！非常不错，早餐很好！性价比高！', '短评打分': 5}
{'短评内容': '超级好，感觉是4星级酒店，但是价格非常好，就是很难预订到', '短评打分': 5}
{'短评内容': '有点偏，其它很好很强大', '短评打分': 3}
{'短评内容': '酒店房间比较大，就是离市区比较远，如果是自驾游那没问题可以考虑来这里住。', '短评打分': 5}
{'短评内容': '还不错，手机丢房间了，退房的时候人家还说让我去取手机，服务很满意。。值得去。', '短评打分': 5}
{'短评内容': '房间比较大，设施齐全~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间确实像描述的一样很大，整体感觉还不错', '短评打分': 5}
{'短评内容': '酒店房间装修准4星吧，卫生整洁，隔音效果也很好。就是网络不太给力。离火车站也很近。下次还会入住。。。', '短评打分': 5}
{'短评内容': '，性价比很高的酒店，听说旅游旺季涨价、真可惜！', '短评打分': 3}
{'短评内容': '非常棒的酒店，按四星级标准建造的，房间设施没的说，可惜没订上单人大床房，大大的窗户我的最爱啊，大赞', '短评打分': 5}
{'短评内容': '信价比真高!北辰不错哦!', '短评打分': 3}
{'短评内容': '酒店离火车站很近,酒店设施和环境都还可以;性价比挺高的！！', '短评打分': 5}
{'短评内容': '  酒店离火车站很近，挺方便打车几分钟就到了。房间很舒适卫生，条件很好，物超所值。', '短评打分': 3}
{'短评内容': '很不错的地方  值得去 环境优雅  前台服务也不错 ', '短评打分': 5}
{'短评内容': '房间床单很干净，挺满意，不错的酒店', '短评打分': 3}
{'短评内容': '房间很大！这个价格相比之下还是不错的！就是有点点远！别的都还可以！', '短评打分': 5}
{'短评内容': '酒店周围好象是回族区，火锅店特多，很爆满，吃饭需提前预订，酒店设施设备还可以，价位不高', '短评打分': 5}
{'短评内容': '性价比很高的房间，房子又大，朋友聚会等等，也是好去处', '短评打分': 5}
{'短评内容': '性价比很高，房间大，干净卫生，距离大同火车站近。是满意的。', '短评打分': 5}
{'短评内容': '酒店确实不错，但隔音不是很好。', '短评打分': 3}
{'短评内容': '很好！服务环境都挺不错！想24号晚上住可是没房了···唉', '短评打分': 5}
{'短评内容': '干净很好，超值！订的时候是B房，住的时候给的A间，高兴！', '短评打分': 5}
{'短评内容': '性价比不错，我住的是单间A，210.房间很大，里面也很舒服。美中不足，插座的位置不太好，另外就是临近火车站，稍微有点吵。不过交通还不错，出门就可以打到车。离车站也很近。旁边有吃饭的地方。还有，早餐有点简单。去晚了，就没什么好吃的了~不过210的价格，三星的服务，已经很好了~', '短评打分': 5}
{'短评内容': '房间弥漫下水道臭味，晚上上网速度极慢，洗澡水周期性的在热与冷之间自动交替转换。总之半年多，多次入住感觉硬件设施的衰败明显！AX', '短评打分': 3}
{'短评内容': '性价比很好，房间很干净，设备也算新，也会每天打扫，主动把餐券放桌上，出行也算方便，走到火车站（通过地道）10分钟。', '短评打分': 5}
{'短评内容': '还不错。挺干净。。。。。早餐还不错。就是价钱有点贵啊。', '短评打分': 5}
{'短评内容': '酒店很好，位置较偏，但大同面积不大，若自己开车，还是比较方便。', '短评打分': 3}
{'短评内容': '设施还比较新，房间也很大，就是B型房无窗。', '短评打分': 5}
{'短评内容': '酒店位置不好找.也许是我运气不好，刚进房间空调是坏的.睡觉有两次有人敲错门还敲了半天，早餐也不好，酒店押金还不能消费，早上退房的时候告了退房已经等了半天了，人家还让等一等了，后来又催了一下说是能退了，害的见客户给迟到了，前台服务员服务也不怎么。', '短评打分': 1}
{'短评内容': '环境还是很不错，早餐还可以，就是交通打车不太方便。', '短评打分': 5}
{'短评内容': '准四星的硬件设施，尤其喜欢中央空调；仿香港酒店的客房部与前台独立运行，提供了不少方便。只是附近没有太多公车可以搭乘，多数时候都要走到火车站（大约15分钟步行）。', '短评打分': 5}
{'短评内容': '真的很不错 每次去都是住得这里 下次肯定还是会去这住', '短评打分': 5}
{'短评内容': '  交通方便，房间也干净................', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '环境不错，位置也不错，服务还可以。去山西的话可以考虑住在这里。', '短评打分': 5}
{'短评内容': '房间够大,价钱也合理;服务方面都很不错！！', '短评打分': 5}
{'短评内容': '酒店位置比较偏，而且酒店晚上还有骚扰电话，我对此酒店印象不是很好。', '短评打分': 1}
{'短评内容': '还不错的酒店，会推荐朋友再去的。房间很大的，就是设施相对简单了点。\n总体还不错的。', '短评打分': 5}
{'短评内容': '卫生一般，洗手间有问道，而且房间面积根本达不到网上说的30平，虚假广告，而且说早餐是到九点，结果八点半下去就没有什么，服务员还催你，还不如大同站前的大同国际快捷酒店', '短评打分': 1}
{'短评内容': '还好，不错，房间挺好，下回还住', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '住宿环境挺好，房间够大，但许多设施都不能用，最重要的是空调。早餐种数太少，味道差', '短评打分': 5}
{'短评内容': '干净环境很不错，房间很干净整洁，隔音效果也不错适合出差的朋友。不过不了解大同地里位置的朋友提前查看酒店位置。因为不太好找', '短评打分': 5}
{'短评内容': '在大同这个城市，能有这样的酒店就不错了，虽然早餐很差。', '短评打分': 5}
{'短评内容': '该酒店确实不错，当时定这家酒店就是因为大家都说话好所以不会选错。就是临街的客房晚上过大车比较吵。', '短评打分': 3}
{'短评内容': '房间环境很好，价格还可以，但地理位置比较偏，早餐单调', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '虽非市中心，但交通便利，性价比高，环境也干净整洁。', '短评打分': 5}
{'短评内容': '已入住，', '短评打分': 3}
{'短评内容': '位置稍微有点偏，不过住宿条件很好！！！！！！！', '短评打分': 5}
{'短评内容': '相当超值，去年来大同8次，这是我住过最好的酒店，而且价格也最便宜，服务员服务态度非常好，网络有点小问题但服务员积极热心处理，给我印象深刻。下次来还住这里！', '短评打分': 5}
{'短评内容': '酒店真的很不错，超过我的想象了，快到四星了！环境很好', '短评打分': 5}
{'短评内容': '位置优越,环境优美,尤其是服务态度非常的好,性价比非常地高.赞一个!', '短评打分': 5}
{'短评内容': '酒店设施不错，服务也好，就是宽带好象经常会断线', '短评打分': 3}
{'短评内容': '房间和服务很好。', '短评打分': 3}
{'短评内容': '酒店不错，就是接待大厅不够大，还有就是房间内的网线插口和写字台离得很远，要想上网还需挪动写字台', '短评打分': 5}
{'短评内容': '环境不错，交通也便利，这个价位基本可以接受。', '短评打分': 5}
{'短评内容': '挺好的 环境不错 要是性价比再高一点就更好了', '短评打分': 5}
{'短评内容': '价位相对偏高一点点，其他都还不错，偶尔去一次还行。', '短评打分': 5}
{'短评内容': '很不错的四星酒店，设施齐全，服务周到，入住的是大床间，房间很宽敞，干净舒适，早餐的品种以四星标准来说稍显单一，酒店离大同火车站很近，但是离市区较远，前台服务很好，第二天想包车旅游，一个电话到前台，马上联系好了出租车司机，价钱也很公道，很贴心，下次还会考虑入住', '短评打分': 3}
{'短评内容': '一家不错的酒店，性价比较高，干净，房间很宽敞。', '短评打分': 5}
{'短评内容': '酒店内部公共区域的装修装饰还是不错的，但有一点，楼道和电梯厅区域的灯光太昏暗了，再加上我本身眼神不太好，晚上回到酒店楼层，一下电梯就基本上是什么都看不清楚了。其他方面还是不错的，入住率也很高，所以在办理手续的时候有些费时间。服务员很热情。', '短评打分': 5}
{'短评内容': '国庆期间住的一晚258的房间，除了房间稍微狭小了点，其他都还算满意！', '短评打分': 5}
{'短评内容': '很舒服的酒店，卫生条件、设施、服务都很好，去山西旅游睡的最好的一晚。', '短评打分': 5}
{'短评内容': '还算可以，价格合理', '短评打分': 5}
{'短评内容': '酒店服务不错、设施也不错，但酒店周边环境较差', '短评打分': 5}
{'短评内容': '环境挺不错的 值得一住 环境好 服务员态度好 很安静 总之绝对推荐', '短评打分': 3}
{'短评内容': '硬件条件不错，但在服务上需进行提高。另外，房间的隔音效果不是很好。', '短评打分': 5}
{'短评内容': '在大同这家酒店还算可以，但是房间性价比不高，下次还考虑其他酒店', '短评打分': 1}
{'短评内容': '二间房', '短评打分': 5}
{'短评内容': '今天入住北辰花园大酒店的单人间A，房间特别宽敞，还比较干净，觉得挺好', '短评打分': 5}
{'短评内容': '+环境不错 ', '短评打分': 5}
{'短评内容': '很不错的四星酒店，离火车站比较近，但离市中心较远，设施齐全，干净舒适，就是早餐稍单调了一点，性价比很高，前台服务也比较到位。', '短评打分': 5}
{'短评内容': '卫生环境都不错，房间小点，其他的还好，位置稍偏', '短评打分': 5}
{'短评内容': '4星的硬件 服务准4星 \r\n房间真的不错 大堂尤其是前台有点招待所的味道 真是形成鲜明对比\r\n不过性价比真的很高了 278有窗的大标间 送双早 赞一下', '短评打分': 5}
{'短评内容': '服务非常好的酒店~感谢总台给于的帮助，那雷锋车队还把儿子遗失在车上的手机给送了回来，感谢！(在此提个小建议，如果把你们的早餐质量也提升一下就更好了！）', '短评打分': 5}
{'短评内容': '还好，还好！离火车站较近，相对便宜', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '工薪阶层，讲的就是性价比。总体来说，不错', '短评打分': 5}
{'短评内容': '硬件设施都物有所值，服务一般', '短评打分': 3}
{'短评内容': '不错，便宜，但服务跟不上去。', '短评打分': 3}
{'短评内容': '酒店装修不错，但服务太一般了，可能是管理上的原因，饭菜不贵，给的量也多，但味道和服务一样，太一般了。总体来说，性价比还行。', '短评打分': 5}
{'短评内容': '态度还可以，服务质量跟不上形势发展，就是业务水平差点。简言之，她们可能想服务好但不知道怎么服务。', '短评打分': 5}
{'短评内容': '比较适合火车出行的，就在火车站背后，出了地道桥不远，但不太适合自驾，得绕很远。不太适合购物，距市中心较远。饭菜比较可口，价格也不贵，分量很多，建议少点菜，少浪费。但是早餐一般。可能是五一假期吧，价格略贵。', '短评打分': 5}
{'短评内容': '酒店很新，位置有点偏，服务跟不上。', '短评打分': 5}
{'短评内容': '酒店卫生很好，隔音效果不错。酒店的饭菜质量不错，价格实惠。\r\n由于前面的那条路修路给封闭了，所以酒店位置不太好找，没车的朋友去酒店不太方便。', '短评打分': 3}
{'短评内容': '位置不是很好找，在火车站的后面，因为在修路，感觉挺绕的，我对房间的卫生和设施还是挺满意的，服务也很周到热情，这是一家性价比较高的酒店 很值得推荐。', '短评打分': 3}
{'短评内容': '除酒店位置不太好找，大床房比较少，网带有点慢，房间内设施还是不错的。', '短评打分': 5}
{'短评内容': '除地理位置较差，周边环境珏较乱而外，其它各项尚好。', '短评打分': 5}
{'短评内容': '网上定酒店时说有218元/天的房间去酒店后居然说没有218元/天的房间，需要等到上午有人退房才有，只有238元/天的房间。而当地人说因为修路前几天更本山西北辰花园大酒店就没有通路，当然也就没有多少人会住那了。怎么会没有房间呢？感觉有些不地道啊。', '短评打分': 1}
{'短评内容': '酒店的住宿条件还是比较好,但是地理位置比较偏,不太找,周围也正在修路,价格也还是比较优惠的.', '短评打分': 5}
{'短评内容': '酒店卫生设施等方面都不错，尤其是酒店的饭菜做得比较正宗，味道很好，价格也便宜。美中不足的是酒店的位置稍偏，站东大街修路不好找到酒店，不开车的朋友比较麻烦。总的来说还是个物有所值的酒店，性价比比较高。', '短评打分': 5}
{'短评内容': '酒店服务不错，环境很好，地理位置也不错，交通比较方便', '短评打分': 5}
{'短评内容': '设施挺好，服务一般。不过性价比满可以的~~', '短评打分': 5}
{'短评内容': '火锅味很浓，走到客房走廊里面还能闻到。', '短评打分': 5}
{'短评内容': '房间里面比较整洁,酒店周边环境不是很好.当时住那天燃气炉坏了,事先也没有说一声.', '短评打分': 5}
{'短评内容': '总的来说挺好的，卫生服务都不错，就是周边好象在施工，酒店周围的环境不是特别太好，价格还是比较适中的', '短评打分': 5}
{'短评内容': '服务都还好，当时自己开车出行的，去酒店的路况比较差，不太好走', '短评打分': 5}
{'短评内容': '位置不是很好，交通不太好。坐车不方便，比较适合自驾游的客人。环境硬件设施都还不错，卫生服务也很好，价格优惠值得推荐入住的酒店类型。', '短评打分': 5}
{'短评内容': '在住时期冬天热水停了，酒店柜台没通知，服务经理没妥当处理，王晓X经理态度不佳，对待客户要求不理会，柜台服务员不会说英语。地点有点儿偏。', '短评打分': 5}
{'短评内容': '服务挺好，环境也干净，就是位置不太好。出门打车不方便', '短评打分': 5}
{'短评内容': '还可以，房间够大，也很干净。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该酒店设施不错，就算是在北京评为四星也不为过，但酒店周边较差，脏乱，银行、超市很少，生活很不方便。尤其令人不能满意的是，酒店提供的房间与所订的不一致，这在酒店的服务和信用上是要大打折扣的。', '短评打分': 5}
{'短评内容': '破破的大同居然也有那样的酒店 而且正好赶上市人大代表在那入住 连我们的待遇也很高 酒店干净 安静 由于开店不久 所以设施都很新 我们离石窟还算近 离机场应该也是比较近的 幸亏有这个酒店我们才不会感觉那么的累', '短评打分': 5}
