{'短评内容': '不错不错真不错', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '环境差，单间都没有窗户闷', '短评打分': 1}
{'短评内容': '房间很干净，尤其是被子，像新的一样。最深刻的印象就是房间非常的干净，物品摆放整齐。尤其是被子，想像新的一样，很舒服！', '短评打分': 4}
{'短评内容': '酒店位置很好，房间内要用的东西比较齐全，桌子看上去有点旧了，不过挺干净的，床软软的也比较舒服，唯一感觉不好的是枕头，1个高了，1个又低，连睡了2天感觉颈椎有点不舒服，酒店服务不错', '短评打分': 4}
{'短评内容': '地方很好找，服务很到位，好评', '短评打分': 5}
{'短评内容': '地方很好找，服务很到位，好评', '短评打分': 5}
{'短评内容': '很舒服，环境很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间是小了点，老板人还不错', '短评打分': 5}
{'短评内容': '总的来说还是可以，就是隔音效果不太好', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还不错吧，主要离我去办事的地方很近，所以就选择了一下', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '确实不怎么样！', '短评打分': 2}
{'短评内容': '房间硬件设施不错，挺干净，房间宽敞。服务也不错。酒店地理位置好，离火车站近，乘车方便，还有机场大巴，感觉值得推荐。', '短评打分': 3}
