{'短评内容': '可以，可以', '短评打分': 5}
{'短评内容': '不错啊，就说有点小贵，环境不错，停车方便', '短评打分': 1}
{'短评内容': '环境不错，出差去了，刚好在附近，周边还算方便', '短评打分': 5}
{'短评内容': '周边出行方便，就餐的餐厅比较好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '可以，不错！', '短评打分': 4}
{'短评内容': '现在旅游旺季有点的宾馆都是差不多的价格，房间有些小，对面是服务人员居住的房间，每天起得很早，很吵，住的几天都是被吵醒的。宾馆设备齐全，服务态度不错。', '短评打分': 5}
{'短评内容': '旺季去旅游的，和国内的还差一点，早餐不太好，毕竟是林芝地区，也不要求太高，热水充足，总体不错', '短评打分': 4}
{'短评内容': '还不错，通过携程订，性价比较高！', '短评打分': 4}
{'短评内容': '性价比高的酒店。房间卫生间基本不错。林芝不错的酒店', '短评打分': 4}
{'短评内容': '环境很好，距离市中心较远', '短评打分': 5}
{'短评内容': '作为旅游中的短暂停留地，足够了！', '短评打分': 4}
{'短评内容': '地理位置不错，还有早餐 还不错。', '短评打分': 3}
{'短评内容': '房间不错，比较宽敞，地理位置也还行。周边比较热闹，方便购物。', '短评打分': 3}
{'短评内容': '还可以，希望灯光能亮一些，不挨着马路还行，挨着马路的话半夜有藏民拦车似的，很吵，价格合适，吃饭也方便。', '短评打分': 3}
