{'短评内容': '一般。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间挺小，沐浴露半天挤不出来。不过很久没见过手写的征求意见单了。设施有些陈旧，这小电视还看不了…… 看着离海信近就选了这了，凑合住吧', '短评打分': 3}
{'短评内容': '周边比较偏，不是人气旺的地方，离海边有个五六公里，房间电源有问题换的房子，热水当天在维修，九点多可以用的', '短评打分': 5}
{'短评内容': '周围在修路有点吵', '短评打分': 5}
{'短评内容': '环境不错，干净整洁。 不错。。。', '短评打分': 5}
{'短评内容': '京东的服务真的太好了', '短评打分': 5}
{'短评内容': '干净 舒适', '短评打分': 5}
{'短评内容': '连着住了三天咯，房间很干净真心不错', '短评打分': 5}
{'短评内容': '暖气没温度半夜冻醒好几回', '短评打分': 4}
{'短评内容': '房间很干净不错的', '短评打分': 5}
{'短评内容': '很干净不错', '短评打分': 5}
{'短评内容': '在青岛港边上有这样家酒店很不错了，房间干净，设施新，美中不足淋浴花洒貌似坏了，水小……', '短评打分': 4}
{'短评内容': '卫生条件良好，房间很大，服务好。', '短评打分': 5}
{'短评内容': '地理位置不错，其他都正常', '短评打分': 3}
{'短评内容': '一般般，经济型，价格很合适', '短评打分': 5}
{'短评内容': '我出差和旅行都住锦江，品质还是不错的，感觉锦江比其他的快捷强一些，价格基本都一样，以前早餐才12现在18了。', '短评打分': 5}
{'短评内容': '房间不错，早餐稍微差点，应该增加几个凉菜。', '短评打分': 4}
{'短评内容': '房间很大也很舒适，只是位置有点偏，到海信工业园步行要15分钟', '短评打分': 5}
{'短评内容': '服务是一贯的锦江标准，没有什么特别评论的\n下高速很快就到酒店，但是如果要是纯玩的话还是别住这里，离购物场所和海边太远了，开车也需要不少时间', '短评打分': 5}
{'短评内容': '很干净，也比较安静。。。。。。。。。。。。。。。。。..', '短评打分': 5}
{'短评内容': '很干净，也比较安静。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '感觉很不错，服务态度好，环境不错，下次来还住这里！', '短评打分': 5}
{'短评内容': '酒店很不错，离我办公的地方很近。而且旁边也建了个大点的商场。服务员的态度很好，很贴心。。以后会经常去的', '短评打分': 5}
{'短评内容': '房间很新，很大，设施齐全，总的来说不错。', '短评打分': 5}
{'短评内容': '拖鞋每天一换是不是有些浪费？客人如果需要换，可自己换，酒店应该从包换环境，节约开销出发。。。', '短评打分': 5}
{'短评内容': '不错，房间挺大的；就是晚餐稍微性价比不高', '短评打分': 5}
{'短评内容': '该酒店的特色就是服务热情，尤其是前台那些姑娘小伙，让人有宾至如归的感觉。空调力道小些，声音也较大。', '短评打分': 5}
{'短评内容': '酒店服务服务热情。\n客房内无免费矿泉水，之前烟台一家就有，不知道这个是不是统一标准。有免费的当然是最好的啦。毕竟附近没有什么超市、便利店。酒店自己自动售货机的价格有点小贵。', '短评打分': 5}
{'短评内容': '两个房间都很安静，阳光很好，房间很大，饭菜味道也很好。', '短评打分': 5}
{'短评内容': '虽然条件设施比四五星的稍差，但舒适度还不错。并且打车交通还算方便。公交车就算了。吃饭在楼下，也算方便可口。但是，极力推荐商务人士入住。极力推荐。', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 3}
{'短评内容': '房间很棒，与网站上照片一致，设施齐全，服务态度好。价格也不贵。很满意', '短评打分': 5}
{'短评内容': '这几天是大学开学的日子，我们家也来山东科大送新生，酒店离科大南门不远，房间挺大还带沙发，能上网，装修也挺新，很满意。', '短评打分': 3}
{'短评内容': '不错，挺方便的。酒店里的早餐不错，孩子爱吃。房间里有些非常人性化的布置，让人感觉比较舒心。', '短评打分': 5}
{'短评内容': '环境不错，价格非常便宜，推荐大家去黄岛玩可以住', '短评打分': 5}
{'短评内容': '很好，环境还可以，最主要是服务态度很好，值得住。', '短评打分': 3}
{'短评内容': '每次出门旅行或办事之前，总习惯在网上搜索当地的锦江之星旅馆，这是我的首选。这次也不例外，黄岛的锦江之星没让我们失望，很好很温馨。', '短评打分': 5}
{'短评内容': '与其他锦江之星旅馆一样，黄岛的这家锦江之星同样标准规范，整洁干净，服务周到，安全舒适，服务总台服务小姐标准的甜美的微笑，使我们感觉到回家了。', '短评打分': 5}
{'短评内容': '房间宽敞、整体干净、舒适、前台亲切、早餐略显简单，性价比高', '短评打分': 5}
{'短评内容': '网络很糟糕', '短评打分': 3}
{'短评内容': '无免费早餐，客房设备较旧，周边交通便捷，房间较大。\n\n', '短评打分': 5}
{'短评内容': '下次来黄岛还会选择住在这里。离办事的地方很近，很方便。', '短评打分': 5}
{'短评内容': '房间很大，位置很不错，从青岛过来下高速很近。', '短评打分': 5}
{'短评内容': '很好，很方便，强烈推荐！到旁边办事很方便', '短评打分': 5}
{'短评内容': '干净整洁，满不错。房间比较宽敞。性价比值了。', '短评打分': 3}
{'短评内容': '离SGMW 很近，房间很不错，干净，舒适，价格很合理，', '短评打分': 5}
{'短评内容': '+交通方便,房间特别干净。真的很超值!', '短评打分': 5}
