{'短评内容': '设施比较旧，但位置采光还不错', '短评打分': 4}
{'短评内容': '没吃早餐，基本没停车位，我觉得不适合带孩子', '短评打分': 4}
{'短评内容': '还可以吧，一般般', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '很不错的酒店，性价比很高，在婺源县城，不管去哪条线路玩都很方便，旁边就有早餐店，离很多有名的大餐厅也不太远，价格也很合理！', '短评打分': 5}
{'短评内容': '性价比挺高的', '短评打分': 4}
{'短评内容': '卫生一般，隔音太差了，空调还不错。', '短评打分': 3}
{'短评内容': '酒店位置挺好的，去汽车老北站，到各个地方去，都方便。酒店其实设备一般，居然国庆节期间涨价248[%]，完全没有道理。好在前台姑娘，问什么问题，都热心解答，后来去玩，去吃饭，都不错。', '短评打分': 5}
{'短评内容': '国庆假期婺源地区房价基本都是翻三倍，388能住到这样的酒店我们已经非常满意，干净环境不错，就是小了点，周边吃饭非常方便', '短评打分': 4}
{'短评内容': '国庆假期婺源地区房价基本都是翻三倍，388能住到这样的酒店我们已经非常满意，干净环境不错，就是小了点，周边吃饭非常方便', '短评打分': 4}
{'短评内容': '周边有个慢咖啡不错……离开火车站四公里', '短评打分': 3}
{'短评内容': '房间小，设施旧，价格贵。非常一般。', '短评打分': 1}
{'短评内容': '卫生很差，很不值', '短评打分': 3}
