{'短评内容': '连住2天，一天大床房，另一天标间。都不错。', '短评打分': 5}
{'短评内容': '星级酒店酒店，设施及卫生都不错。只是近年没有装修，略显旧。位置很好，对面就是平江路，旁边就是苏州大学，有地铁，交通便利。房间较大，大床1.8米，单人床1.2米，舒适。', '短评打分': 5}
{'短评内容': '先说优点：酒店地理位置非常好，公交地铁都方便，周年景点和小吃很多，作为四星级酒店价格318也极其公道。大堂很大气气派，停车方便。前台和服务员热情，房间面积很大。隔音很好，很多这个价位的所谓精品连锁酒店隔音反而不如它。再说缺点：房间设施非常古老，床头柜没有插座，手机要充电要拿到书桌上充。电视机不是平板电视，是crt电视，不是很清晰，但是能看的台不少。不过我很喜欢这张老宾馆的味道，现在新宾馆太雷同了。', '短评打分': 4}
{'短评内容': '住过多次， 这次价格最低，但遗憾还是不含早餐。地段好， 出行方便', '短评打分': 5}
{'短评内容': '苏大最近的酒店，离市中心平江路也近在咫尺， 出行方便', '短评打分': 5}
{'短评内容': '性价比只是一般，设施比较旧', '短评打分': 3}
{'短评内容': '酒店对面就是平江路老街，地理位置非常好。很干净，地面亮得都反光，一尘不染。前台服务也很好，热心解决所需。', '短评打分': 5}
{'短评内容': '酒店比较老旧，没有多余的被子可要。位置方便', '短评打分': 5}
{'短评内容': '四星级酒店，可设备太老，淋浴浴缸二合一，空调只有冷风而且还关不上，最差的就是吹风机就是一古董，手都麻了可头发没干，无语极了。', '短评打分': 2}
{'短评内容': '地理位置非常好，过条马路对面就是景点，离哪都不远，早餐很一般，服务也一般，房间设施有点旧', '短评打分': 5}
{'短评内容': '老牌酒店，气氛温暖，服务非常好，性价比高。周边到平江路，相门等处游玩非常近。', '短评打分': 5}
{'短评内容': '不销', '短评打分': 5}
{'短评内容': '没有热空调！竟然没有热空调！打到服务台，说要20：30之后才有！我有点不舒服，睡个午觉被冻醒！太差了！', '短评打分': 4}
{'短评内容': '交通便利位置好', '短评打分': 5}
{'短评内容': '房間較大大，還算乾淨', '短评打分': 4}
{'短评内容': '有免费停车位', '短评打分': 4}
{'短评内容': '市区里面，位子比较好', '短评打分': 4}
{'短评内容': '来喝喜酒的 随便住一晚 房间蛮好的', '短评打分': 5}
{'短评内容': '交通方便，離各個景點都近，往拙政園與獅子林，双塔，蘇州博物館都約15分鐘的路程，唯一缺點就店無法幫忙叫車。', '短评打分': 5}
{'短评内容': '棒', '短评打分': 5}
{'短评内容': '观前街，有点旧，但很干净方便', '短评打分': 4}
{'短评内容': '很好 干净 舒适 便宜', '短评打分': 5}
{'短评内容': '因为靠近医院方便往来，不存在好不好的问题，就那样吧！', '短评打分': 4}
{'短评内容': '因为靠近医院方便往来，不存在好不好的问题，就那样吧！', '短评打分': 4}
