{'短评内容': '浴衣上有毛发', '短评打分': 4}
{'短评内容': '早餐还可以的', '短评打分': 3}
{'短评内容': '早餐还可', '短评打分': 5}
{'短评内容': '早餐还行，主要是离北京南站比较近，方便退房后暂放行李之类的', '短评打分': 5}
{'短评内容': '环境很安静', '短评打分': 5}
{'短评内容': '还不错，有点老了，酒店，但是还算是比较干净！酒店门口免费停车！设施齐全，服务OK！提供的早餐不错！', '短评打分': 4}
{'短评内容': '位置在市中心，是一家政府接待中心，周围环境有公园，酒店有餐饮，感觉做菜有点咸，整体感觉很好，隔音效果有点差。', '短评打分': 5}
{'短评内容': '环境不错，值得推荐给大家，最主要早餐特别丰富。', '短评打分': 5}
{'短评内容': '环境不错，值得推荐给大家，最主要早餐特别丰富。', '短评打分': 5}
{'短评内容': '比较安静，设备有点老，竟然没有抽纸。', '短评打分': 5}
{'短评内容': '服务贴心！赞！大厅大气！！暖气十足！！！就是设施需要更新！！！', '短评打分': 5}
{'短评内容': '总体不错暖气十足！！！大厅大气！！就是施设需要更新！！！', '短评打分': 5}
{'短评内容': '非常旧的酒店，房间里灯光昏暗，环境也不好', '短评打分': 3}
{'短评内容': '虽然是有年头的酒店了，但是里面很干净，值得一提的是房间内供暖非常好，不愧是老牌酒店，住酒店一定要暖和，服务也很好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '挺不错，价格实惠，周边环境优美，支持\ue404', '短评打分': 5}
{'短评内容': '其它都还好，就是位置有点偏。。', '短评打分': 5}
{'短评内容': '很普通的酒店，不过在宿迁也不知道住哪了。打车不方便，吃饭不方便。价钱高，所以性价比不高。', '短评打分': 1}
{'短评内容': '酒店在江苏宿迁当地来说还是挺不错的一家酒店，就是有点陈旧，三星标准吧。', '短评打分': 5}
{'短评内容': '床超级硬，不舒服。感觉酒店太老太旧了。………………', '短评打分': 5}
{'短评内容': '环境有点旧，总的还行。', '短评打分': 3}
{'短评内容': '酒店真心太老了，室内居然是那种老式的床头柜开关，真心土爆了，名字大，但酒店真心不怎么样，下次不会再住这家了。', '短评打分': 1}
{'短评内容': '提供的早餐，及服务不着的。房间看着还行，没有无线上网', '短评打分': 1}
{'短评内容': '应该算是宿迁最好的酒店了，很气派，就是服务态度还有待提高吧', '短评打分': 5}
{'短评内容': '大厅很大，酒店还可以，就是房间设施稍旧。', '短评打分': 5}
{'短评内容': '政府下榻酒店，还行吧，房大床偏硬，早餐较丰富。', '短评打分': 5}
{'短评内容': '很不错很不错。领导人住的酒店，在当地也是最好的。很不错很不错。领导人住的酒店，在当地也是最好的。', '短评打分': 5}
{'短评内容': '酒店很好，位置还不错，房间很干净也很安静，下次还住。', '短评打分': 5}
{'短评内容': '上周住过，本来感觉勉强还能接受的，但这周来住晚上点餐送到客房时，从6点点餐，可能因为只有1人，点了1份，太少，酒店直到7：45才送到，被我催了6次电话，人沮丧至极，悲催啊！', '短评打分': 1}
{'短评内容': '酒店所有都让人满意，态度也还可以，就是床太硬，被子睡不暖和，不是纯面床单和被套，睡觉不舒服！', '短评打分': 1}
{'短评内容': '基本满意', '短评打分': 3}
{'短评内容': '不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店', '短评打分': 5}
{'短评内容': '领袖住的酒店，不错不错领袖住的酒店，不错不错领袖住的酒店，不错不错领袖住的酒店，不错不错领袖住的酒店，不错不错领袖住的酒店，不错不错领袖住的酒店，不错不错领袖住的酒店，不错不错', '短评打分': 5}
{'短评内容': '领袖住的酒店，不错不错领袖住的酒店，不错不错领袖住的酒店，不错不错领袖住的酒店，不错不错领袖住的酒店，不错不错领袖住的酒店，不错不错领袖住的酒店，不错不错', '短评打分': 5}
{'短评内容': '还是不错的，老顾客了还是不错的，老顾客了还是不错的，老顾客了', '短评打分': 5}
{'短评内容': '会向朋友推荐该酒店，该就带你不错，入住也蛮舒适的，就是早餐很差', '短评打分': 5}
{'短评内容': '一直住，很不错一直住，很不错一直住，很不错一直住，很不错一直住，很不错一直住，很不错一直住，很不错', '短评打分': 5}
{'短评内容': '酒店很一般，唯一的特点就是安静。床太硬，卫生间设备还可以，只是浴缸龙头不错是汉斯格雅的，可惜的是，花洒却是个杂牌。洗澡很郁闷。', '短评打分': 1}
{'短评内容': '1.房间比较大\n2.网速很慢\n3.早餐种类很少又不好吃。', '短评打分': 1}
{'短评内容': '一如既往的推荐一如既往的推荐一如既往的推荐一如既往的推荐一如既往的推荐', '短评打分': 5}
{'短评内容': '一如既往的推荐一如既往的推荐一如既往的推荐一如既往的推荐', '短评打分': 5}
{'短评内容': '相对宿迁另一家比较好的酒店来说，价格稍高', '短评打分': 5}
{'短评内容': '一如既往的好酒店，安全、安静、正规，放心满意的住处。', '短评打分': 5}
{'短评内容': '酒店地点不错，下高速很方便就到了。酒店设施还好，酒店内消费价格也比周边的便宜。但是好像入住的人不多，冷清了点，呵呵。', '短评打分': 5}
{'短评内容': '没有很多的外文频道，对外国客户来说非常的不方便', '短评打分': 5}
{'短评内容': '领导人住的酒店，还不错。领导人住的酒店，还不错。领导人住的酒店，还不错。', '短评打分': 5}
{'短评内容': '在宿迁算不错的酒店了，比起当地的其他酒店还是不错的。', '短评打分': 5}
{'短评内容': '政府部门的接待饭店，入住率不是很高。！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '服务态度不好，走廊有飞虫，餐厅有苍蝇，房价有蚊子。早餐非常差。', '短评打分': 1}
{'短评内容': '位置还好挺方便出行的,室内的硬件和软件软件条件也不错,综合水平挺好的.', '短评打分': 5}
