{'短评内容': '安静', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '赶早班飞机，没吃早餐', '短评打分': 4}
{'短评内容': '卫生间马桶坏的，早餐一般，房间还是很感觉。', '短评打分': 3}
{'短评内容': '免费提供早餐 还不错 有电梯 房间设施较好 服务也很好 调换房间很及时 就是临街的房间晚上会比较吵 总有车辆通过 房间隔音不好 隔壁烧水都能听见', '短评打分': 4}
{'短评内容': '好像是一家内地援藏企业办的酒店，条件已属不错，还有早餐，继续保持！', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '房间卫生干净整洁哈哈哈哈哈哈哈哈哈。周边环境非常便利哈哈哈哈哈哈哈哈。酒店服务热情周到哈哈哈哈哈哈哈哈哈哈。设施设备十分完善哈哈哈哈哈哈哈哈哈。好评！！', '短评打分': 5}
{'短评内容': '每次出差都住這裡，便宜，乾淨，服務態度也都很好！很喜歡', '短评打分': 5}
{'短评内容': '酒店服务态度好，设施齐全比较新，周边吃的不方便，位置离市区较远，交通不方便。', '短评打分': 4}
{'短评内容': '西藏之行日喀则的住处，携程预订，比较老的星级酒店，外面正在修路的原因，感觉外部环境一般，服务态度好。比起川南一路上的旅店，还是值得的。', '短评打分': 4}
{'短评内容': '还行还行还行还行还行', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '价钱合理', '短评打分': 5}
{'短评内容': '酒店环境不错，周边很便利', '短评打分': 5}
{'短评内容': '还算干净，但没有网络，有点遗憾。', '短评打分': 3}
{'短评内容': '除了酒店位置不太好，其它都还不错。酒店门口打不到车，适合旅游团居住。', '短评打分': 5}
{'短评内容': '一般，主要是条件不好，服务员的态度很好！那个地方也就这样了', '短评打分': 1}
{'短评内容': '因为以前总是住日喀则饭店，所以今年四月份再来日喀则时就住了这家。感觉无论从硬件设施还是服务都不太正规。远远不如日喀则饭店。如果下次再来一定坚决住在原来的酒店了。', '短评打分': 1}
{'短评内容': 'I really like this hotel. The staff were great - friendly and very helpful. I like the complimentary breakfast in restaurant, it never short of local dining options(great dishes and taste). The hotel ', '短评打分': 5}
{'短评内容': '如果100一天能住！550有点太扯了！不知道4星是怎么评的。', '短评打分': 1}
{'短评内容': '太差了！罄竹难书！住2天，白天都停电，服务员进来不敲门。早餐很差，门很难锁，浴室的淋浴头要掉下来。。。反正没啥好的，还竟然550一天！朋友住100一天的也比这强。', '短评打分': 1}
{'短评内容': '酒店在当地算是比较难得的星级酒店啦，他的内部设施很不错，整体来讲还是可以的.', '短评打分': 3}
{'短评内容': '住在这里感觉很舒服，无论是室内还是室外，都让我觉得住在这里很自在，不会被束缚.', '短评打分': 5}
{'短评内容': '酒店建店不久，室内的硬件设施很齐备，而且各方面都很到位，给我感觉很不错，服务人员也热情周到.', '短评打分': 5}
{'短评内容': '服务员很热情，可惜位置有点偏，打的不方便。而且信价比一般。', '短评打分': 1}
{'短评内容': '干净卫生舒适', '短评打分': 5}
{'短评内容': '硬件基本达到旅游4星级 但是软件还是很不行。什么管理，进房间的时候发现被褥都没换过，还要我再三要求。我们中秋节期间住了2天，还4星级酒店 居然都没有一点表示 一个果盘 一个月饼要多少钱？？我在火锅店吃个饭还送月饼果盘，这久木亚美中秋佳节 连个月饼都没有 房价还要550 ', '短评打分': 1}
{'短评内容': '酒店在当地算是比较难得的星级酒店啦，他的内部设施很不错，整体来讲还是可以的.', '短评打分': 5}
{'短评内容': '酒店很好，周边风景很美，也很安静，住的很惬意。', '短评打分': 5}
{'短评内容': '酒店建店不久，室内的硬件设施很齐备，而且各方面都很到位，给我感觉很不错，服务人员也热情周到.', '短评打分': 5}
{'短评内容': '服务很热情，房间很干净，设施也可以，周边环境很美，住的很舒心。', '短评打分': 5}
{'短评内容': '住在这里感觉很舒服，无论是室内还是室外，都让我觉得住在这里很自在，不会被束缚.', '短评打分': 5}
{'短评内容': '我觉得这家酒店各方面都很好，在这住的很舒适很开心。', '短评打分': 5}
{'短评内容': '地毯脏的要命，整体卫生都不太好。不过日喀则城市整体水平也就这样，没法多要求了。但四星级的评级和收费非常的不合理。值得表扬的是楼下医务室的医生，非常负责任。', '短评打分': 3}
{'短评内容': 'Not deserve rmb550 at all!', '短评打分': 1}
{'短评内容': '酒店设有高档餐厅，用餐很方便。', '短评打分': 5}
{'短评内容': '酒店算是比较新的，很适合商务、旅游居住。', '短评打分': 5}
{'短评内容': '酒店整体感觉都还不错，干净卫生，设施齐全，方便舒适。', '短评打分': 5}
{'短评内容': '酒店很干净，服务也很不错。', '短评打分': 5}
{'短评内容': '酒店的位置还不错，靠近拉萨河。', '短评打分': 5}
