{'短评内容': '各方面都挺好的，面积挺大，方便卫生', '短评打分': 5}
{'短评内容': '酒店位置不错 ，周围吃饭买东西都很方便 ， 酒店人员服务态度很好 ，早餐还不错 ，就是周围环境有点吵。', '短评打分': 4}
{'短评内容': '非常不错哦', '短评打分': 5}
{'短评内容': '出行方便，吃饭也方便', '短评打分': 5}
{'短评内容': '屋子干净，床很舒服前台态度很好。', '短评打分': 4}
{'短评内容': '很好很方便！', '短评打分': 5}
{'短评内容': '不好 酒店旧，', '短评打分': 4}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '从来没住过服务如此之差的酒店，第一次住还行，这回来出差又习惯性的选择了这里，谁知道468一晚就给了我这种服务！第一早，发现牙具居然有一个是人家用过的空包装，打开水龙头冷热提示竟然是反的差点烫死我！第二早更绝，拖鞋没给我补新的就算了，一袋垃圾直接给我留在垃圾桶边上了，等着我自己扔吗？到了餐厅，真没啥吃的，咖啡也没有，草草对付两口，赶紧退房。这是最后一次，肯定的！对了，房间有价目表，各种饮料6块，但是', '短评打分': 2}
{'短评内容': '地理位置非常好，这个区最好的酒店了', '短评打分': 3}
{'短评内容': '不错，很舒服', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '酒店处于闹市，周边挺乱，房间面积不大，但是卫生很好。地下停车场很恐怖，自己一个人的话都不敢开进去。但是早餐很好，环境味道都不错。', '短评打分': 4}
{'短评内容': ' 这个酒店很好', '短评打分': 3}
{'短评内容': '很一般，价格还贵。单间最多值60元，居然网上订也要240多。', '短评打分': 1}
{'短评内容': '好！', '短评打分': 3}
{'短评内容': '环境不错，价位适中！', '短评打分': 3}
{'短评内容': '酒店环境还行，房间的卫生设施一般但是房间面积还算挺大，不过周围环境不是很好挺偏的，价格还是偏高。', '短评打分': 3}
{'短评内容': '较好', '短评打分': 3}
