{'短评内容': '很不咋样', '短评打分': 1}
{'短评内容': '环境整洁，出行方便。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不怎么样', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店地理位置佳，装修不错早饭也不错', '短评打分': 5}
{'短评内容': '地理位置不错，房间很新，早饭比较赞', '短评打分': 5}
{'短评内容': '酒店环境优美整洁，服务热情周到，设施齐全，交通方便，到机场不远且一般不堵车，酒店饭菜味道比较好，价格亲民。', '短评打分': 4}
{'短评内容': '酒店环境优美整洁，服务热情周到，设施齐全，交通方便，距离机场不远且一般不堵车，酒店饭菜味道比较好，价格亲民。', '短评打分': 4}
{'短评内容': '就在银泰边儿上，商务旅行方便，房间干净整洁，早餐还不错，整体经济实惠。周边餐饮多，基本走个10来分钟就能找到不错的餐馆。要对着学校的房间，安静；对着公交场站的房型早上有点吵。', '短评打分': 5}
{'短评内容': '房间很干净环境非常好，服务也很周到，住着很舒服。', '短评打分': 5}
{'短评内容': '高级单间其实和豪华单间的差别也不是很大，不过所查的房价也不大，随便了，但是不能刷信用卡的预授权，这点需要改进', '短评打分': 5}
{'短评内容': '位置有点偏，但是在高新区这带算是不错的选择，房间很大，豪华单间这个价格比较合适了，不过没法刷信用卡预授权。', '短评打分': 5}
{'短评内容': '房间面积真大，很宽敞，空调的制热表现很好，不过屋里的灯很少，晚上感觉像夜总会的包房一般昏暗。早餐品种太少，不过服务员小妹非常甜美。最不喜欢的一点是不能刷预授权，只能交现金做押金，然后直接刷卡结账后入住，最后退房时在多退少补，这个实在是非常罕见了，希望酒店不要被时代的车轮碾压。', '短评打分': 5}
{'短评内容': '还可以，经济实惠。就是WIFI没找到。。', '短评打分': 3}
{'短评内容': '酒店服务可以打5分，卫生可以打4分，环境可以打4分，', '短评打分': 5}
