{'短评内容': '还可以。', '短评打分': 4}
{'短评内容': '续订的。好。', '短评打分': 5}
{'短评内容': '好，续订的。', '短评打分': 5}
{'短评内容': '含早餐，挺好的，旁边就是美食街，去各个车站都方便。', '短评打分': 5}
{'短评内容': '地毯太脏了！', '短评打分': 1}
{'短评内容': '还将就', '短评打分': 4}
{'短评内容': '挺不错的。。。。。。', '短评打分': 4}
{'短评内容': '楼下夜市很多，就是停车不是很方便', '短评打分': 4}
{'短评内容': '酒店环境不错，比较满意！', '短评打分': 5}
{'短评内容': '不态好', '短评打分': 2}
{'短评内容': '酒店非常不错，入住十分舒适，服务也非常好，下次一定还会入住。', '短评打分': 5}
{'短评内容': '酒店非常不错，入住十分舒适，服务也非常好，下次一定还会入住。', '短评打分': 5}
{'短评内容': '早餐再丰富一些，设备再新一点就更好了', '短评打分': 4}
{'短评内容': '整体感觉酒店很旧，卫生也不是很好，与图片描述的不大相符', '短评打分': 4}
{'短评内容': '早餐太单调了，其他都还好', '短评打分': 4}
{'短评内容': '，酒店不错，整洁干洁，就是没有早餐吃', '短评打分': 3}
{'短评内容': '该酒店为新开酒店，房间设施尚可，就是位置相对来说比较偏。房间狠安静。', '短评打分': 3}
