{'descr': '地理位置很好，离车站很近 ，只是房间稍稍有点小', 'star': 5}
{'descr': '床大，两扇大窗。无早餐。唯门口马路太脏，尤其是雨后。', 'star': 3}
{'descr': '环境不错，挺温馨的，设施也相对齐全，最主要的是感觉干净，不错～', 'star': 3}
{'descr': '地理位置好，房间设置齐全，房间面积小了点，总体不错，下次还可以考虑去住。', 'star': 5}
{'descr': '非常不错的酒店，屋子很大很干净，还有落地窗，物超所值', 'star': 3}
{'descr': '酒店设施太垃圾，和价格相当不符，和图片介绍也不符合，唯一的好处就是在市中心', 'star': 1}
{'descr': '地理位置不错', 'star': 3}
{'descr': '挺干净', 'star': 3}
{'descr': '酒店很干净\u3000安静，真的不错，很舒服……推荐一下', 'star': 3}
{'descr': '住的地方离市中心很近，放方便，周围的环境都比较安全，酒店内部设施齐备，服务周到，值得推荐', 'star': 5}
{'descr': '整体感觉不错，不过没有服务指南上写明的电吹风。\r\n', 'star': 3}
{'descr': '酒店很好就不知道为什么我开始定的是特价房 住的时候是普通床', 'star': 5}
{'descr': '酒店很干净，购物很方便 。价格合理，交通方便。', 'star': 5}
{'descr': '总的来说还不错，交通方便，服务态度不错，向大家推荐', 'star': 5}
{'descr': '在市中心，价位有些高，我住的房间有个阳台，说是一米三的床，但实际没有。房间挺大，安静，给个好评吧', 'star': 5}
{'descr': '交通便利，环境安静，网速不错，性价比还行！', 'star': 5}
{'descr': '卫生良好，建议大家选择，交通方便，中心位置', 'star': 5}
{'descr': ' 酒店卫生挺干净,热水供应充足,就是床有点硬,整体还算不错.', 'star': 3}
{'descr': '房间没有迷你吧，很不方便', 'star': 3}
{'descr': '地块不错，紧邻商业区，很方便，就是正在施工，噪音很大，可以推荐。', 'star': 5}
{'descr': '是为别人预订的酒店，反应还不错，可以考虑再次入住。', 'star': 5}
{'descr': '房间有点小，其他的还凑合。', 'star': 3}
{'descr': '很好，环境不错，这是第二次去呼市，上次也是住在这的，离市中心很近，去那旅游逛街住这里是个不错的选择', 'star': 5}
{'descr': '环境不错，逛街方便', 'star': 3}
{'descr': '服务员很好', 'star': 3}
{'descr': '环境卫生还可以，出行方便', 'star': 3}
{'descr': '地板很脏', 'star': 3}
{'descr': '酒店环境很好 很舒适 有一种家的感觉 我很喜欢 下次还会预订', 'star': 5}
{'descr': '订的商务大床房，房内有电脑，有窗户，因此通风还可以，但是浴室的喷头也太老旧了吧。。是固定的那种，喷头好像还坏了，只有外面一圈出水。。\n\n所处的地段还好吧，有个公交站，走个几百米还有地铁站，超市在对面那条路，我们找了老半天。。如果想去天安门的，还是住前门更方便些。。', 'star': 5}
{'descr': '房间很大，但是不干净。而且服务员不敲门就直接进屋。位置不错很安静，而且出门就是市中心。。。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '已入住', 'star': 3}
{'descr': '非常好非常不错', 'star': 3}
{'descr': '环境还好，逛街便利', 'star': 3}
{'descr': '房间很新，很大，电视是背投的。不过窗户很脏。好像很久没人打扫。', 'star': 5}
{'descr': '不是很正规的一个酒店，位置有点偏，附近治安不是很好', 'star': 1}
{'descr': '非常一般，卫生不太好，连牙膏什么的，也会忘了放。不过地理位置挺不错的。', 'star': 1}
