{'descr': '服务热情，干净，设施齐全！', 'star': 5}
{'descr': '还挺满意的，价格也不贵。', 'star': 5}
{'descr': '很满意', 'star': 5}
{'descr': '好好的', 'star': 5}
{'descr': '好地方', 'star': 5}
{'descr': '装修正规酒店。早餐可以。', 'star': 5}
{'descr': '很好，这样的价格很超值。有机会下次再来。', 'star': 5}
{'descr': '夏天在漠河一定住有空调的，这个宾馆没有空调，热', 'star': 4}
{'descr': '干净，服务好，周围饭点丰富，方便。', 'star': 4}
{'descr': '干净 卫生 安静', 'star': 5}
{'descr': '还不错，酒店设施还可以，服务也还行，性价比可以', 'star': 3}
{'descr': '本来订的是鸿鑫假日酒店，由于该酒店耍赖不让我们住，携程给调的并答应给补差价并赔偿，没想到因祸得福，本店和原订的酒店就隔一条马路，却是两个层次，好的不是一点，非常满意。', 'star': 5}
{'descr': '很干净的宾馆，虽然很多家庭旅馆和宾馆更便宜，但走了那么远，喜欢干净的环境舒舒服服地睡一晚。至于缺点，大床房内洗浴间装修设计不是很理想，打开门容易磕到厕所座厕，其它一切都OK，边远地区，有这种宾馆就很好了，出门往左走200多米，有家砂锅店很不错的，也不贵，好喜欢。', 'star': 5}
{'descr': '很干净的宾馆，虽然很多家庭旅馆和宾馆更便宜，但走了那么远，喜欢干净的环境舒舒服服地睡一晚。至于缺点，大床房内洗浴间装修设计不是很理想，打开门容易磕到厕所座厕，其它一切都OK，边远地区，有这种宾馆就很好了，出门往左走200多米，有家砂锅店很不错的，也不贵，好喜欢。', 'star': 5}
{'descr': '酒店位置相当好，服务也很好，方方面面都不错。', 'star': 5}
{'descr': '只能说一般般，房间不是很新，卫生，早餐还可以', 'star': 1}
{'descr': '卫生不错，环境也好，交通便利，服务热情，在饮食方面应该再加以改善，南北风味应顾及到，好评..............................................................', 'star': 5}
{'descr': '很干净。房间很大。住起来很舒服。还可以看到江景。', 'star': 5}
{'descr': '房间环境不错！卫生也很好！很干净！晚上睡觉的时候也很安静！服务员态度也很好！下次还去住呢！', 'star': 5}
{'descr': '交通方便看，环境舒适，给人很干净温馨的感觉。以后就选择这里了。', 'star': 5}
{'descr': '挺干净的，就是电脑网速有点慢.在市中心，还是蛮方便的。', 'star': 5}
