{'短评内容': '豪华房间太小，总是停电', '短评打分': 3}
{'短评内容': '这家酒店位置在南门附近，交通还算便利，距钟楼不远，离小寨商圈也不远。房间镜子较多，每天打扫，还不错！就是房间没有网络，只有大厅才有。', '短评打分': 5}
{'短评内容': ' 房间很干净，也挺安静，就是镜子太多了', '短评打分': 3}
{'短评内容': '干净，服务也不错，房间小了点交通方便！边上的肉夹馍也好吃', '短评打分': 5}
{'短评内容': '房间卫生还可以，态度也不错。位置很好！不能停车，房间太小', '短评打分': 5}
{'短评内容': '针对十一黄金周的问题，价格方面有点偏高，但总体不错，地理位置很好，不吵不闹，就在南门外，可以步行到钟鼓搂，客房每天都有打扫，很好。', '短评打分': 5}
{'短评内容': '还不错 就是小点 卫生状状况在这个价位上来说也是可以的了  服务还挺亲切 性价比不错 具住店的人说洗澡的还是温泉水 。', '短评打分': 5}
{'短评内容': '地理位置比较好，靠近南门，不过装修不太好，房子里的镜子太多，不自在~', '短评打分': 5}
{'短评内容': '  该酒店位置适中,环境不错,有机会再来。', '短评打分': 3}
{'短评内容': '酒店的热水不行和酒店环境不是很好', '短评打分': 3}
{'短评内容': '价格挺合适，服务卫生很不错，设施也齐全，出行也方便。值得推荐。', '短评打分': 5}
{'短评内容': '干净舒适，网络电视等基本设施都有，早餐中式西式、自助形式的都有，感觉很不错。', '短评打分': 3}
{'短评内容': '酒店周边景点也挺多，出行坐车很方便，内部环境也不错，看着挺新，设施也挺齐全的。', '短评打分': 5}
{'短评内容': '房间挺宽敞的，家具设施都挺好的，周边环境挺安静的，晚上基本没什么噪音，睡眠质量挺好。', '短评打分': 3}
{'短评内容': '服务挺热情的，早餐种类挺多，房间宽敞舒适，设施齐全，价格还不贵，值得推荐。', '短评打分': 5}
{'短评内容': '位置挺好，周边吃饭交通都挺方便的，内部环境也不错，设施挺齐全，挺干净挺舒适的。', '短评打分': 5}
{'短评内容': '酒店的卫生很达标，房间里收拾的很干净，洗漱用品也挺齐全的，用着挺好用的。', '短评打分': 3}
{'短评内容': '服务人员看上去挺亲切，服务挺周到，标准间挺宽敞的，设施也不错，总体感觉挺舒适。', '短评打分': 3}
{'短评内容': '房间挺大的，装修的挺高档，用品挺齐全，打扫也挺干净，住的挺舒适。', '短评打分': 5}
{'短评内容': '价格挺合理挺公道，位置挺好，出行挺方便的。', '短评打分': 3}
