{'短评内容': '房间有点小，东西没地方搁了。', '短评打分': 3}
{'短评内容': '人都有的电了上次是吗的不行的电视墙', '短评打分': 4}
{'短评内容': '早餐还可以、', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '离商业街近，还可以', '短评打分': 5}
{'短评内容': '整体还行', '短评打分': 4}
{'短评内容': '房间略小，空调坏的，比走廊都冷，我说换，半天不肯，虽说后来找师傅修好了，可是也不是很好的入住体验。。', '短评打分': 4}
{'短评内容': '酒店一流。', '短评打分': 5}
{'短评内容': '酒店房间偏小', '短评打分': 4}
{'短评内容': '很实惠干净的宾馆，很赞', '短评打分': 5}
{'短评内容': '一般，房间很小，墙很湿', '短评打分': 3}
{'短评内容': 'OK，不错的，可以的，干净的，交通方便的，服务好的，住住可以的，The rooom is OK. Ctrip is good. 携程预订方便的.  旧了点', '短评打分': 5}
{'短评内容': '嗯，挺好的，住的舒服', '短评打分': 3}
{'短评内容': '订的豪华c每次莫名的给你换掉，几乎每次都这样。酒店管理有信誉问题。', '短评打分': 2}
{'短评内容': '房间很不错 楼层很高 经济实惠 那个免费早餐真的就有点恭维了 一塌糊涂哈', '短评打分': 3}
{'短评内容': '挺舒服的！以后住这都方便', '短评打分': 3}
{'短评内容': '中山支路这件的确设备非常老，网速非常慢。下次再也不来这里了，不建议来这边来住。新园丁还是地区的连锁，忒不地道了像之前的楼主说的，无意中问了下前台不通过ELong订，房间多少钱吃惊的是：同样的房间，不通过ELong还要便宜10块 真是搞出笑话来了。', '短评打分': 1}
{'短评内容': '一如既往的卫生，设备老了，电梯太慢，30多度竟然不开空调', '短评打分': 5}
{'短评内容': '环境卫生条件一般，空调是中央空调，估计是坏的。所在位置不错，在椒江市中心，附近吃喝购物齐全。', '短评打分': 1}
{'短评内容': '房间很小，而且卫生间洗澡用水龙头也是坏的。', '短评打分': 1}
{'短评内容': '环境还可以，窗户隔音不太好晚上有点吵。', '短评打分': 3}
{'短评内容': '还好 就是有点吵 隔音不好...  其余都不错...', '短评打分': 5}
{'短评内容': '房价偏高!设施老化!特别是卫生间差!与周围宾馆比有上当感觉!', '短评打分': 3}
{'短评内容': '楼层很高，房间还好，设施很齐全，相比较卫生间较普通', '短评打分': 5}
{'短评内容': '态度不错，就是感觉人手有点少，总体感觉还行', '短评打分': 5}
{'短评内容': '环境一般  装修过老  \n感觉也就比旅馆稍微好点   \n位置也不好   在小街道里   \n打车也不方便                                                                                          ', '短评打分': 1}
{'短评内容': '还算干净,中央空调响的吓死人', '短评打分': 3}
{'短评内容': '酒店位置很好，房间卫生也可以，但是虽然安装了电脑却是故障的，打内线电脑维修电话却显示已关机。', '短评打分': 3}
