{'短评内容': '离佘山景区很近', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房间干净整洁，环境也特别好，值得住', '短评打分': 5}
{'短评内容': '环境还好   就是不怎么干净  ', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '差得超出想象！携程让这样酒店也上，简直昧良心！！', '短评打分': 1}
{'短评内容': '房间挺温馨的，也算挺大的，和新天地有得一拼', '短评打分': 5}
{'短评内容': '环境舒适很不错得住宿', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '交通便利，距離佘山騎魔拜腳踏車只要10分鐘。', '短评打分': 4}
{'短评内容': '酒店很棒呢，看上去很温馨，有家的感觉，以后来佘山玩，还定在这里', '短评打分': 5}
{'短评内容': '适合情侣 家庭居住', '短评打分': 4}
{'短评内容': '很舒适和便利', '短评打分': 5}
{'短评内容': '类似青旅的酒店，房间比较大，设施最好能提升一些，一楼的咖吧挺有意思的，周末有学生演唱', '短评打分': 5}
{'短评内容': '真心不错，很温馨…觉得以后还会再来的…', '短评打分': 5}
{'短评内容': '房间环境挺好的  物有所值  就是隔音不是很理想', '短评打分': 4}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '小清新文艺客栈，适合恋人，亲子游，同学朋友聚会。还会再去。', '短评打分': 4}
