{'descr': '很好，安静，价位合理', 'star': 3}
{'descr': ' 挺好就是热水不稳定', 'star': 3}
{'descr': '热水不稳定', 'star': 3}
{'descr': '212环境还可以，楼下就是餐厅。', 'star': 3}
{'descr': '服务员态度较差，环境嘈杂，内部卫生也有待提高', 'star': 3}
{'descr': '，环境很好，价格实惠，很好。', 'star': 3}
{'descr': '便宜，赶紧，方便，比任丘的乐家酒店性价比高多了', 'star': 5}
{'descr': '很满意，就是房间没有针线包！', 'star': 3}
{'descr': '环境不错，价位很划算！房间很干净！适合住宿！', 'star': 5}
{'descr': '性价比高，房间颜色搭配还行，粉色调，比较温馨。打扫不是很干净，配套的物件少，不过，对得起这价格了，推荐特价房100元那种大床房，我给后来同行的同事订的就是那个。房间有30平，给人感觉很好。缺点是外面吃个便饭什么的不是很方便，下次出差依然可以考虑他，值得推荐。', 'star': 5}
{'descr': '那天去得时候，好像早上在开什么会议。好吵。', 'star': 5}
{'descr': '前台服务态度很好，但是房间霉味太重，床单枕套太脏，估计平常都不更换，汗渍清晰可见，不适合入住。', 'star': 1}
{'descr': ' 酒店很干净、整洁，服务也很周到，而且价格很好。', 'star': 3}
