{'短评内容': '超值', '短评打分': 5}
{'短评内容': '昨天住了一天，今天立马决定续住。虽然对她的早餐有点意见，但是我很少在宾馆吃早饭，就不刻意要求了，什么鬼⚆_⚆', '短评打分': 5}
{'短评内容': '一般般，不建议', '短评打分': 3}
{'短评内容': '挺好的，坏境也好', '短评打分': 5}
{'短评内容': '因为是自驾，看到有免费停车场才订了这家酒店，到古城很方便，停车也很方便。酒店服务还是很好的，还免费升级成套房，房间装修也还不错。不足之处是浴巾、毛巾太旧，在大堂还看到送干净被单浴巾来酒店的直接把这些东西放在行李车上，卫生间马桶不太通畅，希望有所改进。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店位置不错，停车场到酒店需要步行2分钟，车不能停在酒店门口，酒店卫生可以，整体服务还不错，价格也合适', '短评打分': 5}
{'短评内容': '位置还好，离古城不远', '短评打分': 4}
{'短评内容': '这么贵的酒店居然没有热水洗澡,并且服务极差,被子上还有血点,这是我见过最差的酒店早歺,还说是挂四星准五星！晕死！', '短评打分': 3}
{'短评内容': '酒店离古城不远，停车方便很方便，客房安静，但卫生间下水道不好，造成卫生间有异味。', '短评打分': 4}
{'短评内容': '九州饭店前台服务质量高，服务周到，和蔼可亲，酒店房间干净，而且交通方便。下次还住这里。', '短评打分': 3}
{'短评内容': '酒店特别老 性价比太差 卫生条件也不好 下次不会再住', '短评打分': 3}
{'短评内容': '四星级的名头，但是店内设施太差，早餐很一般，就是位置方便点，不推荐', '短评打分': 3}
{'短评内容': '旅游', '短评打分': 3}
{'短评内容': '很好，很舒服，四星级的享受！推荐入住', '短评打分': 5}
