{'短评内容': '房间还可以，挺干净的。', '短评打分': 3}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '很干净，满意', '短评打分': 5}
{'短评内容': '阿姨每天都打扫卫生，挺好的，性价比挺高', '短评打分': 4}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '房间还可以，没有电话，主要价格便宜。', '短评打分': 4}
{'短评内容': '非常好，下次还会住', '短评打分': 5}
{'短评内容': '非常好，下次还会住', '短评打分': 5}
{'短评内容': '怎么说呢，电视很卡。', '短评打分': 4}
{'短评内容': '朋友过来玩订的，就在家边上，总体一般，对得起价格', '短评打分': 3}
{'短评内容': '早餐聊胜于无，发票不好开。', '短评打分': 4}
{'短评内容': '环境好，性价比高。', '短评打分': 5}
{'短评内容': '总体一般 出差的话 完全没问题', '短评打分': 3}
{'短评内容': '有点旧，价格挺便宜', '短评打分': 4}
{'短评内容': '就是空调不怎么好，没有其他问题。', '短评打分': 5}
{'短评内容': '晚上在天鹅湖这边，没能过去', '短评打分': 5}
