{'短评内容': '房间看起来欧式的很喜欢，但是空调完全没用的，比排风的效果还差，问服务员，服务员态度还很差的说等下就好了，问题是我们已经开了2个多小时了。晚上蚊子很多，被叮了好多个，睡得实在是不安稳。沐浴液是小包装袋的不够用。还蛮失望的！', '短评打分': 1}
{'短评内容': '床很硬', '短评打分': 3}
{'短评内容': '卫生，环境，我都觉得挺好的，个人意见，仅供参考', '短评打分': 5}
{'短评内容': '还可以。 马马虎虎', '短评打分': 3}
{'短评内容': '前台男服务员态度太差了.下次不会再去了.', '短评打分': 1}
{'短评内容': '房间环境不错！欧式风格，房间内的大镜子很给力。就是位置有点偏，找了好久的说！卫生用品比如沐浴露什么的要是盒装的自己按压的就好了，一包一包的感觉不够用，嘿嘿！', '短评打分': 5}
{'短评内容': '还可以的，相对于价位，现在加了早餐，自己住住好不错', '短评打分': 5}
{'短评内容': '空调不是很好 出风慢，没电梯 房间的隔音不是很好', '短评打分': 5}
{'短评内容': '环境不错， 设置齐全，也非常干净， 服务态度也特别好，下次还去住处', '短评打分': 5}
{'短评内容': '古色古香的建筑，周边的环境也不错，服务很好，还会再来的', '短评打分': 5}
{'短评内容': '还不错，比较方便，已经是第二次来住了，以后还会再来的。', '短评打分': 5}
{'短评内容': '周围的吃饭交通，不是很方便。房间卫生不好，老房子。', '短评打分': 1}
{'短评内容': '吧台服务员 ，脾气不是很好，  酒店设施还是相对可以的，欧式的房间风格，我当时和女朋友住的是单间，除了桌子上感觉让人很空，总体还是不错的。一句话，金玉其内，败絮其外。 酒店外墙相当难看，在内还不错。', '短评打分': 5}
{'短评内容': '性价比还是不错的，感觉还好，只是前台不是很热情~', '短评打分': 5}
{'短评内容': '酒店一般，设施偏旧，且到晚上10点多才开空调，不是很舒服！！！', '短评打分': 1}
