{'短评内容': '有点老了！！', '短评打分': 4}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '交通方便，环境安静，干净卫生，服务态度好！', '短评打分': 5}
{'短评内容': '挺好的，住了好多次了。', '短评打分': 5}
{'短评内容': '真的很不错呀，真的非常好，真的很让人满意！重要的事情说三遍！！！一点都不比别的酒店差！物有所值！而且不贵！', '短评打分': 5}
{'短评内容': '隔音太差，整晚看电视的人真的太影响睡眠了……', '短评打分': 4}
{'短评内容': '环境设施一般，服务还行，总体一般。要求不高的还行', '短评打分': 4}
{'短评内容': '总的来说很好。满意。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '服务员服务态度不好，环境设施老旧', '短评打分': 3}
{'短评内容': '酒店性价比高', '短评打分': 4}
{'短评内容': '房间有点小 其它还可以', '短评打分': 3}
{'短评内容': '性价比非常好的酒店', '短评打分': 1}
{'短评内容': '前天的服务生对安阳的地理位置都不知道！太差了！', '短评打分': 3}
{'短评内容': '走的时候就让签个名字，评论什么的都没让填', '短评打分': 2}
{'短评内容': '环境整洁，服务态度好，去购物吃饭，都方便，还有早饭非常可口', '短评打分': 3}
{'短评内容': '隔音效果太差了，并且设施烂的很，标间床太小了，房间太小了', '短评打分': 1}
{'短评内容': '宾馆内房间陈旧、设施老化、早餐很一般', '短评打分': 3}
{'短评内容': '环境挺不错的，值得一住，毕竟也是快捷酒店', '短评打分': 5}
{'短评内容': '还是不错的。提供早餐，特别是上网的速度相当快。', '短评打分': 5}
{'短评内容': '不中，不怎么样', '短评打分': 3}
{'短评内容': '不错，挺干净的，设施旧了一点，早餐一般，价格还算公道。', '短评打分': 5}
{'短评内容': '离火车站非常近，步行5', '短评打分': 3}
{'短评内容': '不错的酒店，房间虽然不大，但装饰的很温馨，很喜欢书桌上可以变色的水晶灯。', '短评打分': 5}
{'短评内容': '房间还行，就是路边太吵。', '短评打分': 3}
{'短评内容': '离火车站很近，很容易找到，酒店的设施有点陈旧，但是不影响使用，下次继续入住。', '短评打分': 5}
{'短评内容': '＋房间里还行，和如家七天差不多，但是早餐实在是糊弄人，连杯热豆浆都没有，咸菜也都是榨菜腐乳级的！', '短评打分': 3}
{'短评内容': '环境可以', '短评打分': 3}
{'短评内容': '服务太度不错 非常干净', '短评打分': 3}
{'短评内容': '环境不错，如果不是太懒的话，可以去尝尝免费早餐！', '短评打分': 3}
{'短评内容': '地理位置比较方便。房间比较干净。前台接待服务也好', '短评打分': 5}
{'短评内容': '位置可以，但比较老旧，性价比不高，房间临街，过往车辆比较吵闹。', '短评打分': 1}
{'短评内容': '入住的是时尚大床房，房间是面向大街的  里面的设施比较老 房间比较小 不过服务员的服务态度还是不错的，晚上的时候 客房服务员还会送上两个苹果，不好的地方在于房间好像总是有打扫不完的尘土，临街的房间有点吵，总的说来比较超值  ', '短评打分': 5}
{'短评内容': '地理环境非常好 就是床太不舒服了！！酒店的设施也一般 还好服务不错 早上早餐也很普通 价格其实也不便宜了', '短评打分': 5}
{'短评内容': '酒店位于安阳站附近，交通便利,房间干净整洁，服务态度较好，只是窗户临近街道有点吵，但总体还是不错滴，住店期间服务员还送了两个水果，虽然不太好看，但还是要谢谢酒店的关心。', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '＋房间条件环境都还行', '短评打分': 3}
{'短评内容': '不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
