{'短评内容': '干净整洁，屋内很温暖。二楼餐饮很正宗。Wifi有，但游戏时容易断网。有电脑，设施齐全房间很大，装修很好。有赠送的水。床很宽大。', '短评打分': 5}
{'短评内容': '位置不错，停车场紧张', '短评打分': 4}
{'短评内容': '酒店装修有些旧了，但地段很方便', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '暖气充足，干净整洁，非常漂亮', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '服务、卫生都挺好的。', '短评打分': 5}
{'短评内容': '环境挺干净的，隔音也很好，非常满意', '短评打分': 5}
{'短评内容': '还可以，电视太小', '短评打分': 4}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '方便、干净、舒适', '短评打分': 5}
{'短评内容': '很不错，环境很好，服务态度好，很干净', '短评打分': 5}
{'短评内容': '很不错，环境很好，服务态度好，很干净', '短评打分': 5}
{'短评内容': '不错，值得推荐。就是房间空调除了状况，服务员也没哦弄好。很热的一上午，热到退房', '短评打分': 3}
{'短评内容': '很不错，第二次住。好好好好好好', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '没热水。新装修的，卫生间太差。房间异味重的很。房间服务差。', '短评打分': 1}
{'短评内容': '春节赶上特价，酒店给升级房间了，挺好的！值得！', '短评打分': 5}
{'短评内容': '不错！服务挺好的，温度适中，附近吃饭不方便\n', '短评打分': 5}
{'短评内容': '酒店很好，干净，安静.酒店很好，干净，安静.酒店很好，干净，安静，', '短评打分': 5}
{'短评内容': '态度不好，酒店下水堵了，味道重!电梯挺快的。', '短评打分': 1}
{'短评内容': '酒店很好，房源充沛，服务也很好，设施新，比附近的同等价位的金桥强多了，早餐也不错，有水果，总之很满意.', '短评打分': 5}
{'短评内容': '金桥这边的酒店全部爆满，只有这家酒店有空房，开始还怕不好，结果比附近的老旧的金桥酒店设施新多了，住在阳面，房间的大落地窗非常漂亮，服务员态度也很好，总之是一个意外惊喜，非常满意', '短评打分': 5}
