{'descr': '还行。。。。。', 'star': 4}
{'descr': '早餐还可以', 'star': 4}
{'descr': '不是第一次入住了，虽然房间简单、但很舒适', 'star': 5}
{'descr': '还好吧，位置比较隐蔽，有停车场，早餐18一位，加不加床不太清楚，还是比较经济适用的。以后也会过来的，满意！', 'star': 5}
{'descr': '早餐还不错，18元略贵', 'star': 5}
{'descr': '为什么要六个字', 'star': 5}
{'descr': '刚住进来环境不错！挺安静的！房间宽敞明亮干净，服务态度也挺好的', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': '感觉设备有一点点旧了不过总体很满意，必须五星好评，服务忘了前阵子去住的，感觉在市区里面，什么东西都很方便，离地铁站比较近', 'star': 5}
{'descr': '这里离各大院校很近，地铁站也不远，交通方便，非常合旅游居住', 'star': 5}
{'descr': '出差住的，交通方便', 'star': 3}
{'descr': '帮别人预定的宾馆，客户说这家服务不错，住的整体环境也很好，主要是地段不错，离地铁站比较近，坐车很方便。', 'star': 5}
{'descr': '酒店非常安静整洁', 'star': 5}
{'descr': '房间安静整洁', 'star': 5}
{'descr': '快捷酒店基本设施，服务还不错。', 'star': 4}
{'descr': '房间内没有没有 没有没有  没有没有  没有WiFi！！！！！！！！而且电视不清晰，只有几个台，太坑爹了！！！附近有施工队，很吵。。。。本来想多住几天的，只好换地方。', 'star': 2}
{'descr': '不错，蛮好的', 'star': 5}
{'descr': '还行，就是插头坏的不少', 'star': 5}
{'descr': '出行方便', 'star': 4}
{'descr': '方便，外面有很多小吃，也有公园。', 'star': 5}
{'descr': '离公司近，出差住着方便，周边打车还可以，不过比较难找就是了。', 'star': 5}
{'descr': '酒店很新，外面很多吃饭的地方，也算好找，紫竹桥东北角', 'star': 5}
{'descr': '很守信用，房间条件不错：独立卫生间，淋浴，宽带上网，就是价格有点贵。', 'star': 3}
{'descr': '房间内手机基本没有信号，望解决！房间内有潮气！', 'star': 1}
{'descr': '还可以，比较安静，但床上有头发，停车比较难……。', 'star': 5}
{'descr': '房间还行,就是有点儿小!', 'star': 3}
{'descr': '价格略高，不过环境真好，干净整洁，吃东西很方便，洗澡水流在大一点就好了', 'star': 5}
{'descr': '对周五周六房费加价未进行提示和说明', 'star': 3}
{'descr': '交通还挺方便，有一定的停车位，室内卫生条件一般吧。', 'star': 5}
{'descr': '酒店还不错，房间稍微有点小，服务态度比较好，附近快餐小吃比较多。总体比较不错。', 'star': 3}
{'descr': '房间很小，而且周围环境较差~最让我失望的是，入住时居然给我安排了一间有人住的房间，差点闹误会', 'star': 1}
{'descr': '朋友住了，说还不错', 'star': 3}
{'descr': '房间面积小了一些，其他整体上还行。。呵呵、', 'star': 1}
{'descr': '第二次入住了 简单快捷 电视还能收到好多平时看不到的平道', 'star': 5}
{'descr': '酒店地理位置很好 房间内设施很简单 很干净 很值得一注哦', 'star': 5}
{'descr': ' 房间暖气太大，很闷。', 'star': 3}
{'descr': '服务态度好，就是卫生间小点，不过可以理解，北京嘛，寸土寸金，这家店的地理位置不错，去哪都不远。', 'star': 5}
{'descr': '干净舒适，打扫也及时。不过洗澡水有点凉，希望能改进。', 'star': 5}
{'descr': '第二次入住了，环境还可以，干净整洁。早餐也不错。', 'star': 5}
{'descr': '整体环境不错，服务一般。\n缺点：屋内烟味特别大，还好有窗户，打开放了放味道，后来发现一次性的洗漱用品有支牙刷是用过的。打前台电话没有人接，自己下去找服务员换的，被子里面有头发，自己解决的，但整体看着还挺干净的。\n优点：那的楼不吵，隔音还好，屋子里很暖，热水也不错，停车也算方便，就算里面没有停车位，路边也好停，只是希望卫生方面提高一下，总体还挺好的，还是会去的。', 'star': 5}
{'descr': '给家人订的，头一天晚上噪音特别大，吵得人一宿没睡好。第二天要求换了一间，好了。价位还可以。希望酒店能为客人考虑周全，不要安排周边有噪音的房间，需要维修的设备及时修理，做好服务。', 'star': 5}
{'descr': '1.地段不错，房间虽然小了点，但还算精致；\n2.在北京的宾馆里还算好找。', 'star': 5}
{'descr': '环境不错！书桌上再有个台灯就更好了', 'star': 3}
{'descr': '第一次选择如家酒店，让我感觉不错，很温馨,环境舒适洁净，下次出门我还会选择如家。', 'star': 3}
{'descr': '定了商务大床房，住时发现床单上有头发床罩有污迹，当着我的面儿重新换全套单子时发现床单底下满是头发和大片的各种污渍，非常恶心。质问他们经理敢不敢住这种房间，她也说不敢住，调换了一间房，结果也没好多少。一气之下换了酒店。看来如家快捷真是糊弄顾客，只是表面换了单子，服务员多一点儿都不给打扫，难道他们的管理层真的不知他们的酒店有多脏吗？怎能让顾客住这么肮脏的床呢？各位住时一定要揭开床单看看下面呀，别染上病', 'star': 1}
{'descr': '服务非常热情，真是象家。房间干净，价格适中。很好！！！', 'star': 5}
{'descr': '被子巨脏！换了几套还是很脏，根本没洗干净！', 'star': 3}
{'descr': '感觉挺干净，房间电视很久很小，而且房间不大，而且附近不太好找饭店', 'star': 5}
{'descr': '环境舒适 强烈推荐 服务很棒 还有早点 不错', 'star': 5}
{'descr': '内容', 'star': 3}
{'descr': '不错，很好，房间很干净，外部环境也还可以，比较安静，交通便利。', 'star': 5}
{'descr': '给朋友订的，就在我们楼下，很方便。\n朋友说本周末回来还订这里。', 'star': 5}
{'descr': '   位置不太好找，在小巷字里面。没有地铁、公交，打的也不方便，要走出很久。自驾车可住，停车位充足。价格在此类酒店偏高。住在一楼，大清早服务员的对讲机就吵个没完，没法入睡。\n   宽带网速感觉挺快，其它方面还不错。', 'star': 1}
{'descr': '前台服务员总向客人，推销汉庭会员卡，有点强买强卖，不太好，洗澡水不够大，可能是住的楼层比较高吧', 'star': 3}
{'descr': '环境不错 就是房间有点小 服务态度都挺好 还有早餐 总体来说比较不错 下次还会考虑去这家的                   ', 'star': 5}
{'descr': '预订很方便快捷。', 'star': 3}
{'descr': '住在酒店一楼，竟然没有手机信号，在北京西三环这样的地方简直不可思议。', 'star': 1}
{'descr': '离火车站进，工作方便。酒店干净，整洁，没有噪音。', 'star': 5}
{'descr': '交通方便，酒店新装修的，环境还可以，服务也不错。', 'star': 5}
{'descr': '地理位置不错，比较安静，有机会还入住。。。。。。。。', 'star': 5}
{'descr': '总体感觉还不错，卫生，安静', 'star': 3}
{'descr': '酒店位置不是很好找，基本要靠打车，离4号线地铁站最近', 'star': 5}
{'descr': '位置太难找了，绕着桥转了2圈，Google地图显示的跟实际位置有误差', 'star': 5}
{'descr': '好 推荐、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、不多说', 'star': 5}
{'descr': '整体感觉不错，大厅还有免费饮料 但是坐电梯还要刷房卡 感觉不方便 但是还要推荐、、、、', 'star': 5}
{'descr': '晚上入住时酒店前台服务态度不好，早晨离店时还可以，很早的时候就听见店员在挨个的开门，说话和开门的声音实在是太大了，不知道到底是在干什么？？？是在太困懒得计较，以后绝对不会再去了。', 'star': 1}
{'descr': '干净、安静、餐厅不错，交通方便，有停车场。', 'star': 5}
{'descr': '很好，就是劝你办汉庭卡。', 'star': 3}
{'descr': '还好', 'star': 3}
{'descr': '整体感觉不错 很安静 但是饮水机没了 只给两瓶水 有点少', 'star': 3}
{'descr': '房间很干净，就在火车站边上，非常方便，也很安静，下次到保定还会选择汉庭：）', 'star': 5}
{'descr': '安静，卫生，餐厅的服务很好，味道也不错，有停车场。', 'star': 5}
{'descr': '还不错经济型，位置也比较方便，就是离地铁站远了点', 'star': 3}
{'descr': '还不错 服务很热情，由于我是看演唱会住那 晚上回去差不多12点 需要热水泡方便面 总台直接帮我们把面泡好送上来 特别感动\n\n房间也不错 网速还挺快', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': ' 一般', 'star': 3}
{'descr': '很干净 看起来很舒服', 'star': 3}
{'descr': '总体来说还可以，就是房间烟味很重。整个被子和枕头都是烟味。 我还特别问是否为无烟房。。。 不过服务人员的态度总体来说不错，前台速度慢了些，应该再加强人手，如果赶时间可千万要提早退房，否则会等的吐血~~~', 'star': 5}
{'descr': '不错，环境很好，安静舒适！适合车徒劳顿的旅客入住。', 'star': 5}
{'descr': '除了交通不是很方便外别的都很好，建议酒店应该有一个交通情况介绍', 'star': 5}
{'descr': '挺好!', 'star': 3}
{'descr': '服务态度差,咨询问题的时候,慢不经心!说话声音小的听不清楚,\n刚把房间订上,朋友打电话说过不来了,前后不到半小时,就不能退房,说是通过网络订的房不能退,有点强拉强卖的感觉', 'star': 1}
{'descr': '房间太小，价位太高，服务尚可，不太好找。', 'star': 5}
{'descr': '房间小，价格贵，晚上住，第二天晚上走等于一天半房费，价格非常不人性化，不知存在的意义是什么', 'star': 3}
{'descr': '酒店还不错,经济实惠,服务也很好,会推荐给朋友的 \n', 'star': 5}
{'descr': '酒店还不错,经济实惠,服务也很好,会推荐给朋友的', 'star': 5}
{'descr': '还可以啦，我住在靠电梯口的，没有感觉特别的吵，出行比较方便，这个价钱，也就这个条件，住的还行。我睡觉死，一点没有感觉什么不好，住了三天。门口有马兰拉面和一个早点摊，可以吃到羊汤。', 'star': 5}
{'descr': '还不错，在没有交定金的情况下，房间还通融预留到晚上11点', 'star': 5}
{'descr': '不错，干净 有性价比，交通也不错~~~~~~', 'star': 5}
{'descr': '酒店环境很好，就是难找了点，交通也很方便，服务挺好，房间比较干净，就是房间有点小。', 'star': 5}
{'descr': '环境不错  很干净  价格也很实惠  就是地方难找了点', 'star': 5}
{'descr': '停车方便，交通方便，餐饮方便\n\n综合得分90分以上，下次还入住', 'star': 5}
{'descr': '就如一般快捷酒店，住的人应该知道不需要期待，一价格一分货，主要方便便宜就行。', 'star': 5}
{'descr': '不错 这个价位的正常水平  有低碳意识,房间挺干净，很暖和，周边环境很安静', 'star': 5}
{'descr': '卫生、设施、服务都不错，就是房间小了点', 'star': 3}
{'descr': '一惯的干净、值得信任。但房间实在太小，两人要互相让路。', 'star': 1}
{'descr': '很好，我很喜欢那，很安静，而且很干净，比较舒服，有WIFI就好了', 'star': 5}
{'descr': '交通很方便，地铁和公交都有.从紫竹园公园南门步行至东门，往左拐就是地铁4号线', 'star': 5}
{'descr': '承诺24小时热水。竟然没热水，打了5次电话，凌晨5点才有热水，您说您愿意住这样点酒店吗？？？？', 'star': 1}
{'descr': '很好 环境很好 主要是有停车位 在胡同里不是很好找', 'star': 5}
{'descr': '环境还好，挺干净卫生的。就是隔音不行。', 'star': 3}
{'descr': '还好，地理位置挺好，可是在一个巷子里面，设施什么的也就是如家的标准了。', 'star': 5}
{'descr': '位置很好，就是房价太小了，感觉很憋屈，环境很安静', 'star': 5}
{'descr': '第一次住汉庭，感觉比如家好，至少房间大很多。\n卫生也不错，卫生间条件也好一些。\n一楼有免费的咖啡和奶茶。', 'star': 5}
{'descr': '很干净，很安静，另外对面的包天下快餐也比较实惠可口。', 'star': 5}
{'descr': '在那个位置来说价格挺便宜，交通也比较方便，又有紫竹院公园', 'star': 5}
{'descr': '位置可以，性价比一般，那天我住宿宽带信号很差，也没人理会', 'star': 1}
{'descr': '附来有味道，太差，早餐太贵了。\n在这个价位不值。', 'star': 1}
{'descr': '酒店可以，但价格不便宜。\n望如家做得更便宜些。', 'star': 5}
{'descr': '酒店很好，服务也不错，卫生很好，值得推荐。。。', 'star': 5}
{'descr': '优点：\n1、酒店服务到位。\n2、房间干净整洁，我特意提出要安静的房间。住了两个晚上，确实很安静，休息得不错。\n3、附近环境也还行。特别是有紫竹院公园，很是方便。我去里面溜了好几次。\n4、餐厅服务也很好。我在里面吃了两早餐、两晚餐，感觉很好的。\n5、免费宽带也让我感觉不错。\n缺点：\n1、拖鞋底太薄，穿上踩在地上感觉很凉。', 'star': 5}
{'descr': '酒店很旧- -第一次给我安排的那房间，巨臭，后来换了一个！说是数码什么房，结果进去一看，不知道哪数码了。。莫名其妙的，还加价了！', 'star': 1}
{'descr': '间还算宽敞，出行也很方便。晚上有停电现象。不过也就一两分钟，影响不大。总体来说值得推荐。', 'star': 5}
{'descr': '位置很好，周边内容丰富，茶馆饭店超市都有。停车位也多，服务态度不错。\n\n房间隔音稍差。\n\n推荐入住', 'star': 5}
{'descr': '还好', 'star': 3}
{'descr': '房间太小，隔音也不太好\n早上结账的时候前台效率太低，排了很久的队。', 'star': 1}
{'descr': '相当好的酒店，住了2次了\n环境优雅，交通便利\n\n干净整洁', 'star': 5}
{'descr': 'ok', 'star': 3}
{'descr': '酒店位置很好，停车位很多，周围有超市，饭馆，隔音稍差，推荐入住', 'star': 3}
{'descr': '隔音稍差，停车场也够大，但是客户多，车也多。\r\n\r\n房间干净，餐厅也不错。', 'star': 5}
{'descr': '祝过两次了，很干净，服务也不错，满意!', 'star': 5}
{'descr': '地理位置很不错，离要去的地方很近，做公交很方便，不过就是不太好找', 'star': 5}
{'descr': '房间有点小，不过这个地段这个价格很不错了', 'star': 5}
{'descr': '在北京价有所值,很好，有机会还住在如家连锁，我会介绍给其他朋友', 'star': 5}
{'descr': '+房间太小，安静整洁。', 'star': 5}
{'descr': '还可以，就是老推荐她们的会员卡忒心窄！！', 'star': 5}
{'descr': '豪华大床房竟然也就16个平方，太小了！另外室内没有烧水的壶，非常不便。', 'star': 1}
{'descr': '很干净很喜欢！价格很便宜，以后来北京还住这', 'star': 3}
{'descr': '房间不大，卫生还可以，地理位置比较方便。', 'star': 5}
{'descr': '如家条件不错很干净', 'star': 5}
{'descr': '很干净很满意!', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '环境不错，服务态度好，管理规范，希望下次还能住，向大家推荐一下。', 'star': 3}
