{'短评内容': '挺好的，房间干净', '短评打分': 5}
{'短评内容': '很好！！', '短评打分': 5}
{'短评内容': '第二次入住，从无窗到有窗，体验感觉不同。厕所明显没有排不出的味道。床依然很软。美中不足之处，由于房间大小的限制，没有像无窗的房间有桌椅。总体感觉满意。WIFI上由于比较偏，有一点断断续续，不过，不影响总体的使用。把两次的照片上传，仅供参考。', '短评打分': 5}
{'短评内容': '非常好的酒店，早餐品种多可口，卫生很好，尤其是前台的接待非常到位，使得我们有了到家的感觉。大家可以放心入住的。', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '住的很舒服，房间很大，很不错', '短评打分': 5}
{'短评内容': '总体还是可以的，不错哈，房间干净整洁。', '短评打分': 5}
{'短评内容': '住宿环境还不错   临近火车站挺方便的   距离中山街也不远', '短评打分': 5}
{'短评内容': '酒店设施老旧了点，服务还不错的，市区交通便利', '短评打分': 4}
{'短评内容': '各方面都好，服务态度热情，位置也好找，早餐丰富，下次还来', '短评打分': 5}
{'短评内容': '交通，环境各方面都不错', '短评打分': 5}
{'短评内容': '京东服务不错', '短评打分': 5}
{'短评内容': '好评，今冬的酒店服务很到位', '短评打分': 5}
{'短评内容': '不咋地，太闷的房间有味道', '短评打分': 5}
{'短评内容': '挺好的。还不错', '短评打分': 5}
{'短评内容': '整体还可以，床很舒服，房间干净也不吵。前台态度一般。', '短评打分': 5}
{'短评内容': '在火车站旁边的一条小巷子里，酒店部分房间装修很好。可能是春节旅游旺季的原因吧，前台服务很急躁，不热情。', '短评打分': 5}
{'短评内容': '不错，环境方面相对来说差点，正对街道且有火车经过！其他设施很好和早餐都不错，150以下很值', '短评打分': 5}
{'短评内容': '厦门必住之地', '短评打分': 5}
{'短评内容': '厦门必住之地', '短评打分': 5}
{'短评内容': '厦门必住之地', '短评打分': 5}
{'短评内容': '服务态度好，效率高', '短评打分': 5}
{'短评内容': '没窗户的房间太闷了，隔音效果不好，地段还行，服务也还好，', '短评打分': 4}
{'短评内容': '还行，就是车位有限', '短评打分': 5}
{'短评内容': '马桶不干净', '短评打分': 5}
{'短评内容': '酒店环境还不错，外面买东西也方便.', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
