{'短评内容': '一般化，价格也不贵的', '短评打分': 3}
{'短评内容': '出差临时住的这里，酒店位置不错，旁边就是步行街，酒店价格也很实惠，总体上挺满意，就是第二天早饭吃的太不爽，我大约8:00下去吃早饭，结果包子和菜都没了，馒头也只剩一个，我问负责的大叔能不能帮忙拿点包子或者馒头，大叔不给也就算了，态度还很差 真是郁闷，本来就没报啥期望，只是遇到这种态度太郁闷', '短评打分': 4}
{'短评内容': '定的电脑房，结果没有，骗子……', '短评打分': 3}
{'短评内容': '名字好听而已！有蚊子，弄的我一晚上打蚊子！设备，装修为10年前的，陈旧！下次不会再去了！', '短评打分': 3}
{'短评内容': '环境不错，服务也不错！', '短评打分': 3}
{'短评内容': '装修时间有点长了，还行吧。', '短评打分': 3}
{'短评内容': '楼下就是步行街，很方便，酒店太旧了，服务还可以', '短评打分': 4}
{'短评内容': '环境一般，空调效果不咋地，热水器也不行', '短评打分': 3}
{'短评内容': '一般，逛街方便？', '短评打分': 4}
{'短评内容': '舒心', '短评打分': 5}
{'短评内容': '房间离步行街很近，就是设施有点旧。总体感觉还可以…', '短评打分': 4}
{'短评内容': '位置不错，三楼就是美食城，很方便，房间很大。', '短评打分': 4}
