{'短评内容': '酒店比较干净！出来过早方便！', '短评打分': 5}
{'短评内容': '酒店前台服务很热情', '短评打分': 5}
{'短评内容': '每次到宜昌办事都要入住贵酒店，只因为环境好，干净卫生，服务员态度好。再是离葛洲坝较近，紧邻长江和公园，车位多免费停车。', '短评打分': 5}
{'短评内容': '住过的性价比最高的酒店', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '附姐姐姐夫放假看见几分公积金', '短评打分': 5}
{'短评内容': '不错的商品，值得购入！', '短评打分': 5}
{'短评内容': '靠近三峡集团，差旅办事方便', '短评打分': 4}
{'短评内容': '价格比酒店预订实惠太多，尤其是服务特别好，问三峡大坝路线写得清清楚还提供多种路线，连票价都帮忙给写上，我很满意！', '短评打分': 4}
{'短评内容': '每次来都住这里', '短评打分': 5}
{'短评内容': '非常不错，环境很好', '短评打分': 5}
{'短评内容': '酒店卫生很好，位置较偏但离葛洲坝很近，后面的院子里就可以看到，要是有个高一些的观景台就更好了', '短评打分': 4}
{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '酒店很干净，老牌的酒店，一切设施都还不错。前台可以办理通行证，提供了特别大的便捷。', '短评打分': 5}
{'短评内容': '酒店位置不错 环境很不错', '短评打分': 5}
{'短评内容': '自驾游路过宜昌，选在葛洲坝附近住就是为了能拍一下照片，酒店位置对参观葛洲坝确实合适。房间中规中矩，应该是三峡集团内部酒店，床很舒服，空调很给力，这两天全国普遍降温，晚上睡得很好，值得推荐！', '短评打分': 5}
{'短评内容': '安静，陈旧', '短评打分': 4}
{'短评内容': '酒店在景区里面', '短评打分': 5}
{'短评内容': '比想象中的好，在三峡集团公司院里，门口有保安，特别安全！房间很安静，服务人员态度特别好，餐厅的饭很好吃，推荐！', '短评打分': 5}
{'短评内容': '这是葛洲坝的酒店，离三峡大坝太远了。不过服务态度很好，房间也干净比较大。', '短评打分': 5}
{'短评内容': '管理严格，进酒店前要登记，安全有保障；服务好，设施佳，景观也很好，能看到葛洲坝。不过，建议出差的商务客不适宜住这里，太偏，打车不方便。', '短评打分': 5}
{'短评内容': '+已入住', '短评打分': 5}
{'短评内容': '服务人员素质很高，办事很周到，卫生也到位，位置也不错，出行很方便，这次住的很满意。', '短评打分': 5}
{'短评内容': '虽临近葛洲坝，但江景房稀少，本人所住房间未能像期待中的一览葛洲坝。', '短评打分': 5}
{'短评内容': '房间挺干净，设施挺齐全，服务很周到，住的挺满意。', '短评打分': 5}
{'短评内容': '酒店安全性很高，管理很严格，这点很好，房间也挺干净挺舒适，值得推荐。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '整体感觉各方方面还都不错，性价比蛮高的。值得推荐。', '短评打分': 5}
{'短评内容': '我挺喜欢酒店的早餐，中西式都有，挺丰盛的，感觉不错。', '短评打分': 5}
{'短评内容': '酒店管理制度挺严的，这样感觉住的挺踏实，挺安全的。', '短评打分': 5}
{'短评内容': '酒店整体感觉还可以，房间打扫的比较干净，设施方面一般了，服务人员态度还比较热情，酒店位置还行，比较适合旅游，价格方面整体感觉还比较合适的。', '短评打分': 5}
{'短评内容': '这种酒店比较适合旅游客人入住，豪华房可以看到江景，房间打扫的也蛮干净，服务人员也蛮热情的。价格方面我觉得还是稍微偏高些了。', '短评打分': 5}
{'短评内容': '这个酒店居然没人发表意见真的很奇怪，还是没人去住过？真是可惜！', '短评打分': 3}
{'短评内容': '如果真的是西坝接待中心，那就真的很值的，值得去试一下！', '短评打分': 3}
