{'短评内容': '公寓老旧', '短评打分': 4}
{'短评内容': '66666666', '短评打分': 5}
{'短评内容': '感觉设备挺旧的，还没拖鞋穿……没衣架。', '短评打分': 3}
{'短评内容': '位置很好，设施缺旧但够用，吃饭方便，性价比好', '短评打分': 4}
{'短评内容': '小区住宅改的公寓，价位不贵，性价比还可以。离地铁口不是很远，到难找，一路打听，费劲。周围交通比较方便。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '必住酒店了 一直的选择', '短评打分': 4}
{'短评内容': '安静舒服', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '电视太难开了，房间插座太少，就是网络还可以', '短评打分': 3}
{'短评内容': '帮老外经理订的，已经第二次入住，暂时没有收到投诉。酒店的位置的确很不错，靠近淘金路花园酒店，吃饭、地铁在附近', '短评打分': 4}
{'短评内容': '帮老外经理订的，已经第二次入住，暂时没有收到投诉。酒店的位置的确很不错，靠近淘金路花园酒店，吃饭、地铁在附近', '短评打分': 4}
{'短评内容': '第二次住……发现这次好烂啊……简陋，不干净，再也不住了，那枕头压根就没换枕套，脏死了，看着都恶心', '短评打分': 1}
{'短评内容': '离公司特别近，特别特别近……就这优点。打扫卫生的人不招人喜欢，很爱动我的东西。', '短评打分': 5}
{'短评内容': '酒店内部装修还算不错，简约时尚，不过属于公寓式酒店，没有餐厅，另外竟然会停水，让人挺纳闷的，在一个就是地点不好找，当时我打的在建设五马路转了好几圈，问了好多人才找到！', '短评打分': 5}
{'短评内容': '很差 一进房一股印度咖喱味 这个倒还好 最受不了的是 比十几年前拨号上网还要慢数倍的网速 不如住快捷连锁酒店', '短评打分': 3}
{'短评内容': '环境比较吵杂,因为是背包族的天地. 不适合有老人小孩的家庭.', '短评打分': 1}
{'短评内容': '在10月1日入住,房间面积並沒有在貴網站介紹的36平方米,大約只有15-18平方米, 入住楼层是14层, 並不是在貴網站介紹的10层\n\n', '短评打分': 1}
{'短评内容': ' 很温馨的公寓，很住家的感觉', '短评打分': 3}
{'短评内容': '住起来舒服格局好，就是设备残旧了点', '短评打分': 3}
{'短评内容': '位置方便，市区中心，交通方便，公交、地铁在附近。', '短评打分': 5}
