{'descr': '一般的酒店，虽然是新装修的，但是老式的东西还有很多。', 'star': 4}
{'descr': '还可以吧，来客人了一直就住这个酒店的，虽然周边没有什么店，毕竟离自己家近，接起来比较方便其他没有什么好的！', 'star': 4}
{'descr': '我一个女孩子出差有好多东西不会酒店有个服务员叫王姣做得很周到，我下次出差还会订。', 'star': 5}
{'descr': '交通方便环境好', 'star': 4}
{'descr': '交通方便，环境好', 'star': 4}
{'descr': '越来越差了，可以看我记录，我住过好几次了，一次比一次差，写着是2到5楼，结果非给我一楼，房间蜘蛛网，烟味，隔音还特别差，本来想投诉的，想想太麻烦了', 'star': 1}
{'descr': '挺好的', 'star': 5}
{'descr': '酒店不错', 'star': 5}
{'descr': '价格便宜，新装修不错', 'star': 5}
{'descr': '居住环境挺安静的，坐地铁也方便。', 'star': 5}
{'descr': '活动价加优惠券下来不到400，地点稍微背街但还算好找。大床房免费升级商务房，有个榻榻米，挺有特色的。', 'star': 5}
{'descr': '。。。。', 'star': 5}
{'descr': '挺好的，房间很整洁，很舒服', 'star': 5}
{'descr': '房间条件还不错，没有中央空调实在有些尴尬，商务房里的小壁挂功率有点小。', 'star': 5}
{'descr': '棒棒的', 'star': 5}
{'descr': '很不错的服务', 'star': 5}
{'descr': '很不错呢酒店', 'star': 5}
{'descr': '挺不错的，性价比非常高。', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '价格相当划算', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '安静，早餐种类少但蛮好吃，房间构造奇怪，没有浴袍', 'star': 5}
{'descr': '非常好  环境也好 新开的 各方面都还不错', 'star': 5}
{'descr': '宾馆所处位置安静，旁边有公园，房间虽然较旧，但干净整洁，且房间较附近连锁酒店大。', 'star': 1}
{'descr': '房间还比较干净，服务态度不错，唯一不足的就是离地铁站比较远。为什么我的现金账户 提现后，一直没打到我的银行卡上？', 'star': 5}
{'descr': '酒店价格还算适中，但是酒店硬件有点差，房间内墙脱皮，洗手间漏水，电视机也比较破，半天不出图像！', 'star': 5}
{'descr': '距离地铁站较远，特价房无窗，但是价格实惠', 'star': 5}
{'descr': '挺干净的，属于经济实惠型的那种。。。。。。', 'star': 3}
{'descr': '上次订的138元的双人间还不错，就是床比较小\n\n这次订的138元的单人房 无窗的 超级差\n像火车站旁边的偷渡旅馆一样，很小，空调就在头顶吹，吹感冒了，真的不建议订这间，广西宾馆把这个房型作为特价房130元/晚\n\n牙膏没有盖子，无法打开使用', 'star': 1}
{'descr': '138元的标准间\n优点：\n1.干净 整洁  \n2.房间多，有6层楼\n3.服务还算不错，叫服务1分钟就会到房间内\n缺点：\n1.早上8-9点会听见本楼层的对讲机声音，声音非常大，睡的很沉都会被吵醒\n2.对面是摆宴席的酒店，2个楼的距离近，但是关窗和拉窗帘后并不影响\n3.牙膏没有盖子，打不开，不知道是不是两面针的问题\n4.毛巾有钩刮破的地方，房间内的设施都是有点旧的\n5.淋浴的水不大，对淋浴要求高的人慎', 'star': 5}
{'descr': '房间很大，很舒服！！！', 'star': 3}
{'descr': '还是可以的，无窗。', 'star': 3}
{'descr': ' 隔因差的要命,隔壁打喷嚏都象在自己耳边,', 'star': 3}
{'descr': '先说说优点：1. 床品很干净。\n            2. 工作人员的服务很好。\n再说说缺点：1. 他们家用两个一米五的床拼出了一个我见过最囧的大床。\n            2. 各种设施比较旧。\n            3. 到得比较晚，想洗澡居然没有热水。\n            4. 地段不甚理想，附近没有可以买东西的地方，出租司机都找不到。\n            \n综上所述，这不是一', 'star': 1}
{'descr': '服务不错，里面环境还可以。。住的还算舒服。。就是外面比较旧，而且有点不好找。。', 'star': 5}
{'descr': '挺好的。不过就是电视机有点画面问题。其他OK的', 'star': 5}
{'descr': '就位置而言，价格合适，房间设施落伍、房间放置的杂志为08年，多年未更新，酒店自有的餐厅不错。', 'star': 5}
{'descr': '宾馆条件太差，床硬一点、没有窗户也就罢了，但空调还是坏的，水壶也很脏，网络上不了，电视不清楚，洗手间里的硬件设施也很不到位，澡都没洗，睡了一晚上匆匆走了。。。。', 'star': 1}
{'descr': '整体都不错，就是桌子有些陈旧了，不知道是不是我的屋子的的桌子比较旧。服务态度也挺好的。', 'star': 5}
{'descr': '房间宽敞，有会议桌，地理位置优越，环境安静。停车位还行，早饭还没有试过，不知情况如何。', 'star': 5}
{'descr': '很不错的酒店，房间比较舒适，价格便宜，下次还会住。', 'star': 5}
{'descr': '便宜。。还不错。。离我要去的地方近。。附近还有11号线。。在公园旁边环境还可以。。', 'star': 5}
{'descr': '在上海市区这样的酒店够便宜了，虽然网络基本没有，床硬点，被子潮点。', 'star': 5}
{'descr': '广西宾馆交通方便方便,服务员服务态度好,清洁卫生还好,环境方面过得去,对得起这样一百多元价钱!物起所值,值得推荐!', 'star': 5}
{'descr': '除了门下缝隙太大，其他都还不错。关键是非常安静，卫浴设施都还可以，服务员打扫也很到位！价格适中，我住的是168的标间，还挺合适，空间也大！', 'star': 5}
{'descr': '吃饭方便，环境尚可，酒店的硬件有点陈旧，而且无窗的居多，房间有点闷。', 'star': 5}
{'descr': '服务态度很好，环境也不错，我订的是138的单间，只是没有窗户', 'star': 5}
{'descr': '前台服务态度好。', 'star': 3}
{'descr': '很好。', 'star': 3}
{'descr': '价格便宜，房间隔音效果相当不好。订的标准间，可能便宜吧，没窗。', 'star': 5}
{'descr': '该酒店性价比很高。在背面的房间比较安静。酒店紧邻武宁公园，早晚去活动活动，不错。只是早餐比较简单，不是自助。', 'star': 5}
{'descr': '对比上海同类型的酒店而言，性价比很高错。', 'star': 5}
{'descr': '可用券30元，折算房价在120-130元/晚，对比上海同类型的酒店而言，性价比很高错。房间配备一次性洗漱用品，卫生条件可以，服务人员比较热情、规范；宾馆背靠马路一侧房间比较安静，楼内的隔音差点。坐地铁11号线枫桥路下1号出口，步行5－8分钟很快可以到达宾馆，不过第一次去的话，路不太容易找。', 'star': 5}
{'descr': '不错的环境', 'star': 3}
{'descr': '很干净很舒适，这次是跟朋友去看罗志祥的上海演唱会，这个酒店离会场还蛮近的，价格也很划算的，很满意', 'star': 5}
{'descr': '房间大小还行，有单独的办公桌，办公宽敞，不错。', 'star': 5}
{'descr': '阳面一点小吵，阴面好一些。另外隔音不太好，其他还行。', 'star': 5}
{'descr': '阳面一点小吵，阴面好一些。另外隔音不太好', 'star': 5}
{'descr': '酒店电梯太响，声音较大。隔音不是太好，房间大，床舒服。', 'star': 5}
{'descr': '还好，还凑合，主要是返券较多，否则没有太大住的意义。', 'star': 5}
{'descr': '还好，相对安静。10点以后基本就没有太吵的声音，但隔音不太好。', 'star': 5}
{'descr': '下火车乘轨道交通很容易找到广西宾馆,但店内走廊人上下很吵杂,清晨和半疸也是这样。', 'star': 3}
{'descr': '房间挺大的，很干净，不错。', 'star': 3}
{'descr': '酒店服务态度不错，房间也还宽敞，方便，到枫桥路地铁站十分钟以内。', 'star': 5}
{'descr': '还是不错的，服务态度非常好!', 'star': 3}
{'descr': '服务员态度蛮认真的，这个月做活动都免费送早餐卷，好划算，呵呵', 'star': 5}
{'descr': '酒店地理位置比较好，房间也比较舒适，服务人员的态度感觉很好。就是隔音效果有点差！总体性价比还是比较高的！', 'star': 5}
{'descr': '酒店很干净，房间很舒服、安静。服务很耐心规范。下次还想住！', 'star': 5}
{'descr': '不错的住宿地方，服务环境都不错，性价比满高的', 'star': 5}
{'descr': '喷头水流很小,无法洗澡.被子有很重的洗衣粉味.不敢脱衣服睡.早餐6元标准 2个馒头一碗粥', 'star': 1}
{'descr': '这家酒店服务满热情的，餐厅的伙食的确需要提高。设施上更像快捷酒店。', 'star': 5}
{'descr': '房间设计的挺有特色的，感觉很舒适，价格也比较合适，住的挺开心。', 'star': 5}
{'descr': '我觉得服务很好，很负责，态度很热情，客房服务也不错，每天都及时打扫房间，打扫的也很干净。', 'star': 5}
{'descr': '酒店的性价比不错，房间很干净，设施比较完善。住的还是很舒适的。', 'star': 5}
{'descr': '广西宾馆的电话计费系统有。。。扣了我几十块。。。心里很不爽', 'star': 1}
{'descr': '设施太陈旧，没窗户，味道太大', 'star': 1}
{'descr': '有个服务员态度特别好，很热情，要个纸杯什么的立马就送过来了，见面总打招呼。', 'star': 5}
{'descr': '房间装修时尚，能够吸引年轻人，床铺也很舒服。', 'star': 5}
{'descr': '房间大，而且安静，晚上能休息好，白天有精力出去游玩。', 'star': 5}
{'descr': '我们去的时候住的特价房，卫生设施很不错，性价比高。', 'star': 5}
{'descr': '酒店设有贵重物品保管，这点很实用，前台服务态度不错。', 'star': 5}
{'descr': '酒店就是位置好点，里面的硬件设施都挺旧的，条件不好，可能不会考虑了。', 'star': 3}
