{'短评内容': '好，值得一住', '短评打分': 4}
{'短评内容': '五一期间去的好像，房价爆涨，据说平时上不了100的房子，潮气墙皮都掉了。要不是没房子住，肯定不会住这个', '短评打分': 3}
{'短评内容': '携程签订这一家真是给它脸了', '短评打分': 3}
{'短评内容': '房间地毯卫浴较旧，地脚方便，到个景点较便利', '短评打分': 4}
{'短评内容': '太旧，太脏，太差，太破，还贵。入住就后悔', '短评打分': 3}
{'短评内容': '房间的总体环境对得起这个价位，重点是周边的环境和小吃店特别多，且交通很方便，是个不错的选择。', '短评打分': 5}
{'短评内容': '洛阳市是千年帝都，旅游景点较多，这次来洛阳出差选择了温州大酒店，该酒店位置在中州中路上，周边大型超市购物中心很多！', '短评打分': 5}
{'短评内容': '位置不错，物有所值。', '短评打分': 4}
{'短评内容': '位置很不错的啊！房间卫生设施比较差，比较讲究的人不建议啊。', '短评打分': 2}
{'短评内容': '还不错，就是酒店比较老了。', '短评打分': 4}
{'短评内容': '地理位置不错，住宿可以', '短评打分': 3}
{'短评内容': '酒店位置不错的，离火车站也很近，卫生也可以，就是设施有点旧了！', '短评打分': 3}
{'短评内容': '挺好的，下次还来这里。', '短评打分': 5}
{'短评内容': '跟不错  下次还来 。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '酒店靠近市中心，交通便利，环境一般。', '短评打分': 3}
