{'短评内容': '很好的', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '酒店早餐不如不吃。最差的是酒店服务。 前台的嘴脸 闹得很不愉快 感觉欠她钱一样 ', '短评打分': 2}
{'短评内容': '酒店房间内有一点味道，可能是下雨天的原因吧，窗户开着会好点，早餐比较普通，不过对于我来说已经足够了，楼下有很多吃的地方，周围交通也比较便利，总体来说还可以，在北仑性价比是比较高的。', '短评打分': 4}
{'短评内容': '房间还行，睡的也舒。价格不贵，就是过道环境差了一些', '短评打分': 4}
{'短评内容': '酒店蛮好的，交通方便。酒店设施蛮齐全的，前台美女职业装很大方热情。总体感觉非常好，大气上档次。床垫舒适，毛巾干净，花洒、马桶、洗脸池都是TOTO品牌的。房间内Wi-Fi信号强，上网速度蛮快的。数字电视收台很多，房间内中央空调很给力。餐厅也很棒，服务员双手接券，微笑鞠躬送客。很满意，下次出差应该还会住这。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '房间有气味', '短评打分': 3}
{'短评内容': '有蚊子！～', '短评打分': 3}
{'短评内容': '还好不是很好', '短评打分': 3}
{'短评内容': '一般般般般般般般般般般般般般般般般', '短评打分': 3}
{'短评内容': '不错,就是房间有点异味', '短评打分': 4}
