{'短评内容': '住房很不错，舒适、干净、客房服务很周到，附近交通便利', '短评打分': 5}
{'短评内容': '酒店没有评价说的那么好，位置在酒吧一条街，前台告知有些房间会受声音影响，作为五星级酒店，隔音不是应该处理好吗？酒店出门就是地铁口，交通比较方便。房间设施一般，床对着一堵白墙，毫无特色，相同价位，西郊宾馆会优越更多。另外，退房服务不行，三天了还是已确认，没有已成交，担保金一直冻结，效率不行。', '短评打分': 4}
{'短评内容': '再次住挺满意的', '短评打分': 5}
{'短评内容': '旁边有酒吧 晚上有点吵闹 一直持续到凌晨四五点', '短评打分': 5}
{'短评内容': '位置很好，周围吃喝玩乐很多选择，小资圣地区域。酒店管理很好，前台和礼宾都不错。房间特别喜欢，大，干净，洗漱用品好用，毛巾质量好，胶囊咖啡，非酒精饮料十来瓶都是免费。很赞。', '短评打分': 5}
{'短评内容': '很好很舒适', '短评打分': 5}
{'短评内容': '第N次入住，一如既往的喜欢、支持，酒店服务依然热情周到，住宿环境依然舒适，关键交通也非常的便捷，整体酒店装休风格有低调奢华', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '环境服务都不错', '短评打分': 5}
{'短评内容': '不错呦', '短评打分': 5}
{'短评内容': '总体还是很棒的，但整个酒店的细节做的不到位，洗手台有污渍，卫生间上面的灯全是灰尘，淋浴头容易松动，而且虽然是虎牌的烧水壶，但是好看不适用，个人不适应。', '短评打分': 5}
{'短评内容': '酒店地处衡山路，周边是历史建筑保护区，很小资和有情调的一块区域，酒店不高，听说日本人设计，内饰确实有日系风格，房间宽敞安静，唯一缺陷由于楼高所限特别是靠外侧房间窗外实无景色，好在床非常舒适，软硬合适，真的很舒服！早餐丰盛，餐厅天台倒是别具一格。值得注意的是，酒店好像与某艺术馆合作，厅堂艺术品陈列丰富，仿佛置身美术馆。总之闹中取静，是游览上海历史宝地不错的酒店选择，简单清新，适合文艺之士，下次还会选', '短评打分': 4}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '酒店的名气自然没的说，卫生状况也很好，自助早餐丰富多样。', '短评打分': 5}
{'短评内容': '酒店的名气自然没的说，卫生状况也很好，自助早餐丰富多样。', '短评打分': 5}
{'短评内容': '酒店的名气自然没的说，卫生状况也很好，自助早餐丰富多样。', '短评打分': 5}
{'短评内容': '酒店的名气自然没的说，卫生状况也很好，自助早餐丰富多样。', '短评打分': 5}
{'短评内容': '酒店的名气自然没的说，卫生状况也很好，自助早餐丰富多样。', '短评打分': 5}
