{'短评内容': '超值，很好！', '短评打分': 5}
{'短评内容': '加了20块，住的榻榻米。没有一次性拖鞋，牙刷什么的都是最差的。杯子里面都发黄了。隔音不好，晚上吵的要死，浴巾毛巾脏兮兮的，里面还有头发。', '短评打分': 1}
{'短评内容': '好像旅店的赶脚', '短评打分': 1}
{'短评内容': '其他还好就是卫生间有味道', '短评打分': 4}
{'短评内容': '地理位置优越，靠近西湖', '短评打分': 5}
{'短评内容': '条件非常一般，凑合住可以', '短评打分': 3}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '真心的一般，照片与房间极度不符，完全不值…', '短评打分': 2}
{'短评内容': '酒店位置挺好的，离杭州城站非常近，走路即可，不会影响赶车的时间，而且打出租车非常便利。房间还比较温馨，前台服务人员的态度也挺好的。房间的卫生条件也不错，比较干净卫生，布局也较合理，总体比较满意，下次如果来杭州还会入住！', '短评打分': 3}
{'短评内容': '环境不错，离西湖很近，推荐入住。', '短评打分': 5}
{'短评内容': '硬件设施不行，地理位置不错', '短评打分': 4}
{'短评内容': '酒店比较老了，位置不错', '短评打分': 4}
{'短评内容': '橼，是很美女子孙子弟子孙，那些小心情况', '短评打分': 3}
{'短评内容': '酒店蛮不错的，服务态度好，没有单人间就给了我双人间，下次会考虑再来，没有不满意的，5分。', '短评打分': 3}
{'短评内容': '环境一般化。', '短评打分': 3}
{'短评内容': '房间158元挺小的，挺干净，离四季青很近，基本满意', '短评打分': 3}
{'短评内容': '房间小了点，空调出风口在床头不太好，房间还算干净。老板人满热情。如果要求不高的童鞋还可以。', '短评打分': 1}
{'短评内容': '酒店很简单，面积很小，一分价钱一份货嘛，这个可以理解的，价格不算很优惠，性价比不高', '短评打分': 1}
