{'短评内容': '酒店位置不错，设施偏旧。', '短评打分': 4}
{'短评内容': '环境不错。', '短评打分': 5}
{'短评内容': '总体来说房间够大，基本满意，唯一美中不足的地方就是酒店服务方面了，前台磨蹭，夜晚叫东西吃酒店下班还得自己叫外卖，按理说星级酒店24小时想吃什么都可以现做，其他的都还不错', '短评打分': 4}
{'短评内容': '服务员态度极差，房卡有问题问服务员，她还跟骂人似的。房间网络不好，还特地挑了个好一点的酒店，结果太失望。', '短评打分': 2}
{'短评内容': '环境好住的舒服', '短评打分': 5}
{'短评内容': '酒店卫生需要改进', '短评打分': 5}
{'短评内容': '就那样吧', '短评打分': 5}
{'短评内容': '不错，环境好', '短评打分': 4}
{'短评内容': '不错，环境好', '短评打分': 5}
{'短评内容': '替客人预定，满意', '短评打分': 5}
{'短评内容': '每次出差乐平就入住这家酒店，酒店是乐平最好的了。酒店的服务人员热情。房间设施有些旧了，但总体还是到乐平的最好选择。', '短评打分': 5}
{'短评内容': '每次出差乐平就入住这家酒店，酒店是乐平最好的了。酒店的服务人员热情。房间设施有些旧了，但总体还是到乐平的最好选择。', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店在乐平我想应该是最好的啦，酒店内干净卫生，房间内环境不错，只是携程预订的方式太奇葩了，对于我们这样出差报销的人来说，简直是不可理喻的，作为服务的第三方，为什么不站在客户的角度多为客户着想而只想自己的利益呢？已经使用了6年的携程，真是越来越失望，对携程差评。', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '垃圾酒店，半夜一个神经病按了五分钟门铃拼命窍门也不说话，和前台反应了也没个人上楼解释一下，搞的一晚睡的不安心，服务质量太差根本达不到四星', '短评打分': 1}
{'短评内容': '乐平东方国际酒店不错的选择房间温馨舒适。价格适中', '短评打分': 5}
{'短评内容': '在乐平来说酒店还是不错的 干净 服务人员态度也不错', '短评打分': 5}
{'短评内容': ' 酒店周边环境是一大亮点，不错值得你的入住，价格和服务都很好', '短评打分': 5}
{'短评内容': '周边环境不错，值得推荐入住，\n在当地也是最好的酒店，希望可以参加团购就最好了！', '短评打分': 5}
{'短评内容': '乐平最好的酒店，很不错，价格也便宜！', '短评打分': 3}
{'短评内容': '好，因景德镇较好的酒店住满了，看了乐平这个地方有这个标准的酒店，开车过来了。不错，高性价，酒店设施不错，前台接待还可以，早餐稍差一点外，超值。', '短评打分': 5}
{'短评内容': '在乐平选择东方酒店实在是物超所值，用这样的价格住进五星级享受的酒店，真的非常不错。', '短评打分': 5}
{'短评内容': '酒店还不错,在当地算是挺好的了.设施和服务都还不错.', '短评打分': 5}
{'短评内容': '当地目前最好的酒店，硬件确实不错，但软件有待进一步提升，特别是服务员素质、形象、服务意识', '短评打分': 5}
{'短评内容': '酒店新，环境不错，安静，乐平当地最好酒店\n\n早餐与其它我入住过的4星酒店有差距，但可以接受\n\n电梯的轮候策略有待提高', '短评打分': 5}
{'短评内容': '在当地应该是最高档的酒店了，硬件设施都不错，但是入住和退房的效率需要提高，入住花了15分钟，退房居然30分钟，服务意识有待提高', '短评打分': 5}
{'短评内容': '非常棒！不过空调暖气不足啊，不知道是不是中央空调调控的，感觉有些小冷', '短评打分': 5}
{'短评内容': '酒店大厅大气干净，服务热情，房间干净整洁，唯一缺点就是早餐不够丰富，和酒店整体不是很协调，但我以后去乐平还是首选东方国际。', '短评打分': 5}
{'短评内容': ' 酒店很新 设施也不错 就是不能刷外卡 希望尽快可以使用了', '短评打分': 3}
{'短评内容': '结账墨迹点  服务意识一般  不过小城市 理解万岁吧 ', '短评打分': 5}
