{'短评内容': '卫生干净，服务态度好挺满意', '短评打分': 5}
{'短评内容': '麻雀虽小 五脏俱全 室内用白瓷砖和镜子 感觉不到特别拥挤 洗手间干湿分开 需要自备洗浴毛巾和牙刷 地铁隔壁 出行方便 电梯高峰期需要稍微等待 我们去时 基本还好 几分钟就可以了 逛街购物休息不错 圣诞期间 周边氛围很浓', '短评打分': 5}
{'短评内容': '当天预定的，行李预存了一天，晚上入住，老板娘还是很喜欢的，比较幽默！没有毛巾及牙刷，还好自带了，哈哈哈哈！', '短评打分': 4}
{'短评内容': '出游很方便，门口就有地铁站', '短评打分': 5}
{'短评内容': '香港酒店就是细，尤其厕所，卫生还可以。', '短评打分': 5}
{'短评内容': '在网上看到照片还行才定的，结果去到没房间，给我们带到其他宾馆入住，还说那一栋大厦都是一家，我们定了4间房，被分到4个楼层，环境一间比一间差，再也不会去了！！！', '短评打分': 2}
{'短评内容': '房间超级小，比上次来香港住的另一家小，尤其是卫生间！吹风机还是坏的。手机没信号，WiFi基本连不上。', '短评打分': 3}
{'短评内容': '周五临时决定来港，看了一下周末房价暴涨而且很多满房了，没办法抱着过来购物就走的心态，不想花1000元住宿，一天都在外面暴走所以选择了民宿。位置确实很棒，尖沙咀n5出口一出来马上右拐，不要往前走一段到主路再右拐，不用！马上就看到美丽都大厦，大厦是典型的香港火柴盒，很真实，各种国籍肤色的人鱼龙混杂，不过都还好，比较有礼貌。房间就不用说了，肯定一般，小小的房间，一张1.5的床，一张1.2的床，很挤，厕所', '短评打分': 3}
{'短评内容': '真的好差。', '短评打分': 2}
{'短评内容': '一般一般', '短评打分': 4}
{'短评内容': '寸土寸金的香港能找到规模这么大的家庭旅馆，也是开了眼界。老板娘和其它工作人员都很友好，热情，不错', '短评打分': 5}
{'短评内容': '老板很热情，非常不错。酒店非常干净卫生，下次去香港还住这里', '短评打分': 5}
{'短评内容': '可以接受', '短评打分': 3}
{'短评内容': '很干净…但房间真是小到爆。做好了心理准备的觉得还可以~服务人员也很nice', '短评打分': 5}
{'短评内容': '网上付款 流程快 方便', '短评打分': 5}
{'短评内容': '很好，服务周到，环境卫生干净', '短评打分': 3}
{'短评内容': '干净这个是必须的，但是相比第二天住的永利实在是太小了，洗澡间只能一个人转身~', '短评打分': 1}
{'短评内容': '旅馆有点吵闹 地理位置不错 离地铁站非常近 价格便宜 ', '短评打分': 1}
{'短评内容': '除了厕所比较小之外，都还不错，比想象中的要干净！', '短评打分': 3}
{'短评内容': '晕，香港果然是寸土寸金，不过有个地方能安静睡一晚也还OK了~地理位置很有优势，楼下就是车站直接到机场', '短评打分': 5}
{'短评内容': '很卫生，经济实惠，老板很热情，就是需要插座需要在那里购买转换器', '短评打分': 5}
{'短评内容': '酒店位置太好了!非常方便购物,而且卫生很干净,下次来香港一定还要住这家。', '短评打分': 5}
{'短评内容': '这回住的房间有窗，雨打在空调机箱上，数了一晚上，也没睡着。。。', '短评打分': 5}
{'短评内容': '酒店的位置非常方便易找，不过房间的卫生不是太好，', '短评打分': 5}
{'短评内容': '很小很小，还比较干净，环境一般，但是交通特别方便，就在地铁口上，周围餐饮也多。', '短评打分': 5}
{'短评内容': '虽然房间很小但挺干净，值得推荐！', '短评打分': 3}
{'短评内容': '太出乎意料了，看到的房间我都呆住了，和图片差太远了，灯一闪一闪的，床是铁做的，会响，洗手间极其简陋和脏，唯一比较好的是行李可以寄存。', '短评打分': 1}
{'短评内容': '房间很小，没有洗漱用品，没有任何满意的地方。', '短评打分': 1}
