{'descr': '电视设备有点问题', 'star': 5}
{'descr': '整体还是蛮不错的', 'star': 5}
{'descr': '服务态度好', 'star': 5}
{'descr': '房间很干净', 'star': 5}
{'descr': '晚上关灯手机电居然都不能充', 'star': 3}
{'descr': '交通便利，服务很好，设施齐全，周围环境不错，值得一住。', 'star': 5}
{'descr': '非常非常非常非常满意', 'star': 5}
{'descr': '环境还可以！不错！', 'star': 5}
{'descr': '屋子有味道不好闻', 'star': 4}
{'descr': '进入房间有一股味道 很不好闻', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '服务很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好。很干净舒适', 'star': 5}
{'descr': '还好吧', 'star': 5}
{'descr': '位置真心不错，在市中心超满意，打车方便一般到景点也就10多块钱，坐公交要走过国际饭店那个路口去坐，走5到10分钟吧，周围吃饭的地也比较多。房间也不小，感觉挺干净的，就是马桶和空调感觉不是太给力。', 'star': 5}
{'descr': '位置挺好找的，价格也不贵，七天的老客户了', 'star': 5}
{'descr': '多看国产剧可看都好看', 'star': 5}
