{'短评内容': '联通便利，服务很好。', '短评打分': 5}
{'短评内容': '不错的。服务蛮好。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '房间的床声响很大，洗完澡出来，满房间的水', '短评打分': 5}
{'短评内容': '位置还不错，离地铁站不远，临近考点，附近买东西也方便，卫生不是特别有心，卫生间地上有水渍，不过整体性价比还行，没有窗户，一定要开排气，门没法反锁，住的时候要仔细检查，本人不怎么写评论，但是两次考试都住这家，确实还行。', '短评打分': 4}
{'短评内容': '整体还不错', '短评打分': 5}
{'短评内容': '真的是水的要死，其他都可以接受。就是你这被子重的要死，没法接受！睡着还有压迫感，也是醉了！', '短评打分': 1}
{'短评内容': '?', '短评打分': 5}
{'短评内容': '不咋地', '短评打分': 3}
{'短评内容': '交通居住都很方便', '短评打分': 5}
{'短评内容': '还可以，安', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还撮合吧', '短评打分': 3}
{'短评内容': '不错蛮好的，就是有点烟味', '短评打分': 3}
{'短评内容': '朋友来上海玩。给他找的酒店。位置确实不错，不过这房间也太差了吧。一共四个射灯，3个是坏的。屋里特别暗。找前台，前台说，时尚宾馆都这样，都这样？你安那么多灯干嘛，直接安一个灯就行了。不来了。', '短评打分': 2}
{'短评内容': '房间小，异味很重', '短评打分': 3}
{'短评内容': '酒店相当一般，只能随便住住', '短评打分': 3}
{'短评内容': '房间还可以。 价格合理。', '短评打分': 3}
