{'短评内容': '话应商务及旅行', '短评打分': 5}
{'短评内容': '出门比较方便，容易找。', '短评打分': 4}
{'短评内容': '位置不错，房间挺干净', '短评打分': 4}
{'短评内容': '与客人的公司离得很近，周边交通便利，环境也可以，比较安静，附近有公园，游乐场，买东西挺方便的。但停车不太方便', '短评打分': 4}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '感谢京东，如此便捷。', '短评打分': 5}
{'短评内容': '汉庭的服务挺好，就是酒店旧了一下点。', '短评打分': 5}
{'短评内容': '物美价廉，房间非常舒适，服务非常好，非常满意！', '短评打分': 5}
{'短评内容': '偏旧，隔音不太好，地段还可以。', '短评打分': 3}
{'短评内容': '偏旧，隔音不太好，地段还可以。', '短评打分': 3}
{'短评内容': '一分钱一分货    但是服务态度确实不太好', '短评打分': 2}
{'短评内容': '不错，酒店的环境、设施、卫生、交通，都很不错！！！！wifi很快！！！！床很软！！！！洗澡的水也很大很热！！！！前台接待我的小哥长得挺帅！！！！态度也挺好！！！！不错！！！！我很满意！！！！下次还会入住！！！！', '短评打分': 5}
{'短评内容': '也是醉了  携程这样好么  价格125给我收了151？？ 人家前台直接和我说 您定的是125的房间 也真是呵呵哒了', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '方便，卫生', '短评打分': 5}
{'短评内容': '还行，胜在廉价', '短评打分': 4}
{'短评内容': '停车不方便', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '位于市中心 出行方便 汉庭旅行首选', '短评打分': 4}
{'短评内容': '房间很干净，睡得很舒服~五层的视野很好~', '短评打分': 5}
{'短评内容': '刚进去的时候服务还是挺好的，可后来换了个前台，态度很差，酒店价格偏高。不合适', '短评打分': 1}
{'短评内容': '价格属于中偏上了，其他方面还可以，我住的607的浴室地漏居然不漏水，害得洗漱间都被淹了，晚上又没有人修，让人很郁闷', '短评打分': 5}
{'短评内容': '垃圾！以前觉得还不错，现在的汉庭真让人生气。大晚上施工不说，我人还在房间呢，服务员敲了下门就自己拿万能钥匙闯进来了。', '短评打分': 3}
{'短评内容': '房间太窄了，想转身都难啊，不过赠送的沐浴露不错，早餐也不错。。', '短评打分': 1}
{'短评内容': '还可以吧，比较干净，卫生条件可以。还附送了早餐。就是临街，及隔音效果不是很好。房间里有灯是坏的。总体还行。', '短评打分': 5}
{'短评内容': '酒店不错，就是停车位，不过近100米内有一个“百佳社区”，可以停车，收费10元。', '短评打分': 5}
{'短评内容': '第一次入住漳州的汉庭酒店，房间、服务等均比较满意，但有一件事觉得郁闷，我是通过E-long网订的房，规定双人间含双早，但9楼餐厅还是收了我一份早餐的费用，尽管我通过总台免了该费用，但心里总是感到不悦，希望大家注意。', '短评打分': 5}
{'短评内容': ' 脑残的前台！ 已经入住，半夜3点打电话确认入住，我靠！ 酒店也一团糟', '短评打分': 3}
{'短评内容': '第一次住汉庭，感觉灰常滴好。前台的服务态度不错，有免费的打印复印上网服务，房间卫生不错，淋浴房出水足，总之不错，值得一住，下次还会选择。', '短评打分': 5}
{'短评内容': '房子比较新，住着也挺舒服的，不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': ',房間乾淨。不過芳香劑可以換柔和點的味道會更加分。', '短评打分': 3}
{'短评内容': '还好，不错，下次有去还可以去住，就是房间小点', '短评打分': 5}
{'短评内容': '酒店不错服务好干净方便出行推荐', '短评打分': 3}
{'短评内容': '漳州地区难得的经济型酒店，舒适、干净，交通方便', '短评打分': 5}
{'短评内容': '酒店设施和服务都很好！住的不是朝街房睡得很舒服~！', '短评打分': 5}
{'短评内容': '非常干净卫生，酒店很新，住的很舒适。交通也很方便。', '短评打分': 5}
{'短评内容': '早餐很一般，而且网络订房只有一张餐券，还登记两个人的证件，那还不如只登记一个就是；还有为什么只有一部电梯，等电梯竟然等了四五分钟，急死人了都会；还有周围的景观也一般，以为在九龙公园附近会比较好一些的……\n不过房间比较干净，这是最大的亮点', '短评打分': 1}
{'短评内容': '还可以，但是不是很有名，不太好找，还是觉得如家比较好，因为汉庭价位更好，不觉得好多少', '短评打分': 5}
{'短评内容': '看到酒店真是豪华，一晚三百元，在十五楼连暖气都没有，让我感冒了。', '短评打分': 1}
{'短评内容': '酒店可以，干净，房间里还有两个网线插头，很好', '短评打分': 5}
{'短评内容': '不错，环境比较好，交通位置很方便，离各商业中心车站都比较近，房间的设施也比较全', '短评打分': 5}
{'短评内容': '还不错,干净温馨.', '短评打分': 3}
{'短评内容': '漳州唯一的快捷酒店，地理位置好，新店，干净，但早餐不好，不值15元，也比其它的汉庭的早餐差', '短评打分': 5}
{'短评内容': '漳州汉庭酒店挺干净，服务也行，房间还比较居家，总体感觉不错！', '短评打分': 5}
{'短评内容': '房间比较干净，早餐品种太少了，电视机很多台不能播放，很遗憾。', '短评打分': 5}
{'短评内容': '对这家酒店我们一行都有不错的印象，连孩子也是如此。', '短评打分': 5}
{'短评内容': '不错，比较干净，也比较安静', '短评打分': 3}
{'短评内容': '挺干净，就是房间有点小。周边环境很热闹，为主干道，有些吵杂', '短评打分': 5}
{'短评内容': '还不错，挺新的，交通也方便，就是还有新装修的味', '短评打分': 5}
{'短评内容': '客房整体感觉很温馨，服务质量也不错，是出行漳州的好选择。', '短评打分': 5}
{'短评内容': '地理位置很好,附近很多美食,酒店也干净', '短评打分': 3}
{'短评内容': '简单', '短评打分': 3}
{'短评内容': '不错，环境不错！', '短评打分': 3}
{'短评内容': '客房卫生什么的还行，只是电梯会罢工，早餐太简单了。没有停车场有点不方便。', '短评打分': 5}
{'短评内容': '不错，全新的设施，干净明亮，就是停车不太方便。', '短评打分': 5}
{'短评内容': '不错，全新的设施，干净明亮，就是停车不太方便', '短评打分': 5}
