{'短评内容': '有很大的院子可以停车，缺点是没有早饭', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '环境、设施都一般，有个大停车场，周边吃的东西很多', '短评打分': 3}
{'短评内容': '酒店环境还好，不吵，就是设备一般，烧水壶里面好多污垢，水龙头也是摇摇晃晃的，热水等半天才出来，服务只能说一般。', '短评打分': 4}
{'短评内容': '离工业技术学校挺近，在镇上买东西挺方便，很好。', '短评打分': 5}
{'短评内容': '无椅子，无清扫，一般得很', '短评打分': 2}
{'短评内容': '习惯给好评了，同是做酒店的，知道都不容易，', '短评打分': 5}
{'短评内容': '帮朋友订的，一切还算得上顺利，给个好评', '短评打分': 5}
{'短评内容': '第一次住，感觉一般', '短评打分': 3}
{'短评内容': '正确性能够了', '短评打分': 4}
{'短评内容': '第二次住了，性价比很高了已经', '短评打分': 5}
{'短评内容': '为了考试入住 离学校近 环境也好 推荐', '短评打分': 3}
{'短评内容': '设备有点老 前面的停车场大 停车方便', '短评打分': 3}
{'短评内容': '设备有点老 酒店前面的停车场大 停车方便', '短评打分': 3}
{'短评内容': '90年代的豪酒店。设施老了点。一般般', '短评打分': 3}
{'短评内容': '交通方便，但空调却是坏的，有蚊子！', '短评打分': 3}
{'短评内容': '位置不好，设施陈旧，不卫生，不好。像个乡下招待所', '短评打分': 1}
{'短评内容': '遗憾的是不能使用优惠券。可惜了我的2000多优惠券，快过期了', '短评打分': 5}
{'短评内容': '酒店环境不错，设施齐全。', '短评打分': 3}
{'短评内容': '酒店的整体环境还是不错的，硬件设施比较新，酒店门口打车或者座公交都很方便，对面有个超市，购物也蛮方便的', '短评打分': 5}
{'短评内容': '服务员服务态度较差，', '短评打分': 1}
{'短评内容': '酒店的环境还不错，交通挺方便的。', '短评打分': 5}
{'短评内容': '酒店位置不错，旁边也有超市，生活购物方便，房间也可以。', '短评打分': 5}
{'短评内容': '房间里的硬件设施还是比较新的。早餐的种类不是很多，就有八九种吧！', '短评打分': 5}
{'短评内容': '床铺很舒适，房间里的设施也够用，基本满意。', '短评打分': 5}
{'短评内容': '他们酒店硬件设施，环境服务都比较一般，条件还算可以，但是位置离市区太远了，还在我们自己开车过去的。', '短评打分': 3}
