{'短评内容': '酒店离景区很近，老板服务态度超好！', '短评打分': 5}
{'短评内容': '环境好，老板娘热情', '短评打分': 5}
{'短评内容': '还不错，就是稍稍有点难找。店家还帮忙找了地方免费停车呢。', '短评打分': 5}
{'短评内容': '好，房间东西齐全，干净舒适。老板热情，开车接送。', '短评打分': 3}
{'短评内容': '一直忙的没空评，这店非常好，老板烧的菜也非常好吃！', '短评打分': 3}
{'短评内容': '环境一般，老板人不错，就是服务员素质差了点，一般吧', '短评打分': 3}
{'短评内容': '可以，农家乐要求不能很高。', '短评打分': 3}
{'短评内容': '还不错。可以电话联系店主接送。吃饭给了个小优惠！', '短评打分': 3}
{'短评内容': '很好，很不错。老板娘很热情，亲自去接的。房间干净整洁，值得选择。', '短评打分': 5}
{'短评内容': '宾馆各方面都还不错，就是地理位置不太好找，幸好老板娘主动引导。', '短评打分': 4}
{'短评内容': '宾馆各方面都还不错，就是位置不太明显。', '短评打分': 4}
