{'短评内容': 'f很好，很不错，挺喜欢的，质量也好，', '短评打分': 5}
{'短评内容': '房间有的灯不亮，烟味道较大~', '短评打分': 4}
{'短评内容': '不能加床，有停车场！', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈笑尿', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很好，每次出差都住这，酒店很干净价格也很公道。', '短评打分': 5}
{'短评内容': '不错不错啊', '短评打分': 5}
{'短评内容': '可以很好啊', '短评打分': 5}
{'短评内容': '物美价廉。出差首选。但是携程不含早，自费的话三十一位，价格有点坑了啊', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '设施不错，酒店闹中取静，住的很舒服，下次还会入住', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店地处大庆市高新区，交通便利，周围餐馆很多，价格实惠，客房用品齐全，前台服务人员态度不错，就是设施有点旧。', '短评打分': 4}
{'短评内容': '酒店不错，比较新，而且很便宜，性价比很高', '短评打分': 3}
{'短评内容': '新的酒店设施不错，早餐也过的去，位置有些偏僻，出来吃饭不方便。', '短评打分': 5}
{'短评内容': '酒店性价比很高，很干净，床很舒适，服务好，下次还会住', '短评打分': 5}
{'短评内容': '朋友反馈很好，酒店设施不错，就是没有发现商务中心什么的。再加强吧。', '短评打分': 5}
{'短评内容': '新开的酒店，设施不错，早餐还过得去。前台服务超热情，但似乎有些程式化，没有感受到真正的服务意识。地理位置偏僻，开发区里面乱糟糟的。', '短评打分': 5}
{'短评内容': '整体还是不错的，希望越作越好，空调的问题快点解决，老不给遥控器，总说维修，其实怎么回来大家心里都明白。', '短评打分': 5}
{'短评内容': '条件还是不错的，就是感觉房间的灰尘大，好像打扫的不彻底', '短评打分': 5}
{'短评内容': '住起来感觉真的不错，就是地方稍微偏了一些，我正逢春季，没暖气的日子，本酒店是中央空调，这个时候没有开，屋内温度感觉有一点冷', '短评打分': 5}
{'短评内容': '酒店供暖很好，挺新的，就是不能及时拿到发票。', '短评打分': 5}
{'短评内容': '热水有点发黄，据说是中央空调，不给遥控调室内温度，其它都非常好，新的就是不一样，希望保持设备常新', '短评打分': 5}
{'短评内容': '入住的是套间6037和8021房，因为是新酒店，房间很干净。晚上睡的很舒适。酒店价格合理，不贵。卫生间牙具等耗材很好，但装修质量有问题，浴盆里冲澡后，从下水口流的满卫生间的水。卫生间的镜子简单粘在墙上，我1.73米身高要蹲下才能照到脸部。客厅沙发未配茶几，水杯没有地方放。房间没有配备酒店的介绍，餐厅在几层要现问总机。电话机上标志不能用。客房网络出了几次问题。早餐的牛奶是奶粉冲的，太淡，水多了两三倍', '短评打分': 5}
{'短评内容': '环境非常好  服务质量非常好  五星级标准  下次来还要住在这儿', '短评打分': 3}
{'短评内容': '挺不错的，挺干净，挺安静，服务态度也挺好的！', '短评打分': 5}
