{'短评内容': '环境很不错', '短评打分': 5}
{'短评内容': '位置很好 周边安静 ', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间蛮干净的', '短评打分': 4}
{'短评内容': '好好好好好好好', '短评打分': 5}
{'短评内容': '朋友很满意，房间很大，设施很好，周边很方便！', '短评打分': 5}
{'短评内容': '地段方便，环境也不错，干净卫生，好评！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '出差还是可以的，旅游不合适', '短评打分': 4}
{'短评内容': '出差还是可以的，旅游不推荐', '短评打分': 4}
{'短评内容': '还不错吧，离地铁站还算近，周边小吃饭店什么的都很多，给朋友预定的，朋友住的还可以，比较下隔壁的莫泰，稍便宜些！', '短评打分': 5}
{'短评内容': '地方位置可以，比较古老破旧的街区。交通还算便利，周围也有超市和餐饮， 还可以。晚上休息比较安静，但是设施、服务、配套真的是一般。', '短评打分': 3}
{'短评内容': '到上海铁路局办事，故选择了这个酒店，就在马路对面，很方便。', '短评打分': 4}
{'短评内容': '好评', '短评打分': 4}
{'短评内容': '一般般，價格太貴', '短评打分': 3}
