{'短评内容': '吃穿用的都在京东买的，活动给力，物美价廉！', '短评打分': 5}
{'短评内容': '上个月在京东预订的两间，价格比别的\n地方便宜，我们是住厦门周末去岛上散散心，我们从三丘田码头过去有点远，考虑住日光岩附近，离景点和小吃街都近，但是晚上很安静！客栈位置佳，挺好找的。预订了一间踏踏米，店主打电话说被别人预订了，主动免费升级了一间带院子的平房，很喜欢，一家人有个小庭院歇歇脚，店里的煤球很可爱，特别乖！我们带了宝宝的米糊寄放在冰箱里，也主动帮忙加热，特别暖心！两百多一晚还是性价比很高', '短评打分': 5}
{'短评内容': '位置没有想象中好找，鼓浪屿小巷太多了，跟着地图都能偏离路线好几次，房间环境不错，独立校园私密性比较好，潮湿是岛上住宿的通病吧，可能楼下格外明显些，墙外芭蕉树和木瓜树随处可见，三只小奶狗超级可爱，小盆友爱的不得了，比较满意的一次住宿。', '短评打分': 5}
{'短评内容': '酒店位置真心不错，离龙头路很近，整体环境也很不错，跟家人一起来的，父母很喜欢独院的房间，11月出来的，200多的房价真的很值。', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '不错，很满意。', '短评打分': 5}
{'短评内容': '很好的呢，很安静，晚上露台景色漂亮级了。白玉兰可以加床。孩子很喜欢。', '短评打分': 5}
{'短评内容': '去之前在携程上找了好久都没有挑到满意的，还是最后去过的朋友推荐选择的，虽然不是旺季，但因为是周末，房源还挺走俏的，预定时双床房的标间没有了，定的玫瑰多床房，其实就是一大一小的亲子房，总体满意，到了岛上打店家电话，按照店家发送的短信路线一路上坡，鼓浪屿有三百多条大大小小的路，我们从码头走了大概20分钟，从喧嚣走到寂静，离龙头路小吃街不远，十一点后周围都安静下来，房间的布置也是挺文艺的，符合鼓浪屿小清', '短评打分': 5}
{'短评内容': '位置在鼓浪屿中心，刚到的时候路不熟所以找了半个小时，房子很有年代感，顶楼阳台很有感觉，还有个小花园，店里有一条黑狗和两只猫咪，就是房间隔音效果不大好', '短评打分': 5}
{'短评内容': '地方不错  干净  店主养了两只猫咪和一只黑色小狗  非常可爱  周边挺安静  就是隔音差一点  离龙头路很近', '短评打分': 5}
{'短评内容': '入住前一天 老板会发送路线 鼓浪屿的巷子太多啦 用导航也会迷路的～ 位置就在日光岩山脚下 房屋隔音不太好 晚上有点冷 空调遥控器是坏的 走的时候 送了小礼物', '短评打分': 4}
