{'短评内容': '不好，设施老化。地上有烟头。感觉不干净', '短评打分': 5}
{'短评内容': '地理位置体面，周边也不错，体验可以', '短评打分': 5}
{'短评内容': '酒店位置不错，就在杭州市中心，离机场大巴也不是很远，酒店比较老了，开的时间比较长，但是服务还是不错，值得推荐入住。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还不错还不错还不错还不错地理位置很方便地理位置很方便地理位置很方便性价比挺高性价比挺高性价比挺好一个字：赞', '短评打分': 5}
{'短评内容': '还不错！以后会经常来', '短评打分': 5}
{'短评内容': '酒店服务不怎么样，爱搭不搭的，好像别人欠他钱一样。', '短评打分': 4}
{'短评内容': '位置很好，酒店干净。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '可能是去的比较晚了，预定的房间就剩最后一间，浴缸里没有塞子，找了服务员拿了一个不配套的将就用吧', '短评打分': 4}
{'短评内容': '就是位置非常理想，办事方便，关键也方便，房间还不错，重新装修过，已经入住好几次了，后续应该还会继续选择。', '短评打分': 5}
{'短评内容': '朋友入住后感觉不错，关键是离公司比较近，下次还会入住。', '短评打分': 5}
{'短评内容': '环境很好。交通也很便利。下次来还会选择这家酒店入住！', '短评打分': 5}
{'短评内容': '环境很好。交通也很便利。下次来还会选择这家酒店入住！', '短评打分': 5}
{'短评内容': '酒店位置很好，出行方便，服务一般，设施比较陈旧，性价比不高。', '短评打分': 4}
{'短评内容': '环境不错。整洁干净', '短评打分': 3}
{'短评内容': '房间还行，就是早餐稍微差了点，价格也比较贵，', '短评打分': 5}
{'短评内容': '总体还好，房间面积也不小，就是各种设施都陈旧了一点。', '短评打分': 5}
{'短评内容': '环境不错，比较安静。价格公道！', '短评打分': 3}
{'短评内容': '交通方便，就是早餐稍微有点差，希望能改进！', '短评打分': 5}
{'短评内容': ' 入住 和平饭店感觉比预期要好,空间大、卫生挺净、硬件好、交通方便。', '短评打分': 3}
{'短评内容': '交通方便，房间一般，早餐还行吧，我想要求不是特别高的人应该问题不大', '短评打分': 5}
{'短评内容': '地段好，装修还行。不错。像个正规的酒店。', '短评打分': 5}
{'短评内容': '房间还可以，就是早餐有点差劲，需要改进，餐厅设施也比较简陋！', '短评打分': 5}
{'短评内容': '不错，很干净！服务态度也不错。早餐也还可以\n', '短评打分': 5}
{'短评内容': '除了设施陈旧了点其他还不错。', '短评打分': 3}
{'短评内容': '总体一般吧，硬件软件都一般，只是为了办事比较方便，客房网络也上不了，没办法，接头都那么破烂，懒得喊人上来修了，停车场那么多车子拥挤，里面的工作人员都不指挥一下怎么停，反正感觉是个大家都在混日子的地方，第二次住，纯为了办事方便。', '短评打分': 1}
{'短评内容': '太差，太旧了，服务也很差，房间到是很大；电视小的可怜；20寸都不到还是老式的黑白，笑死我了也不知道他们在哪里淘的，还280的房间，毛巾硬的要命，隔音也很差可以清晰听隔壁的声音；空调打到最大，还是很热，房间临街很吵杂。', '短评打分': 1}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '三星级的饭店，总体还不错，就是没有免费的矿泉水送，这点都比不上汉庭。早餐还可以。房间内的灯不是太明亮，适宜休息不适宜办公。', '短评打分': 5}
{'短评内容': '酒店很好，下次还住。', '短评打分': 3}
{'短评内容': '总体还好，房间面积也不小，就是各种设施都陈旧了一点。', '短评打分': 5}
{'短评内容': '不错，市中心区域性价比合理，就是没餐厅不方便', '短评打分': 5}
{'短评内容': '环境不错,地段好,性价比高.早饭太简单了点.', '短评打分': 5}
{'短评内容': '已入住和平饭店', '短评打分': 3}
{'短评内容': '  房间很旧，一股烟味', '短评打分': 3}
{'短评内容': '设施陈旧，服务一般，性价比一般，不建议入住该酒店。', '短评打分': 1}
{'短评内容': '杭州和平饭店服务好、退房快，门面有点旧，交通便利。', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '交通方便,装修显旧,总体尚可。', '短评打分': 3}
{'短评内容': '服务较好，但价格稍贵，吃住较方便，离和平广场较近，可到超市购物', '短评打分': 5}
{'短评内容': '饭店很老，服务不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '早餐非常不错，品种很多，味道很好，客房干净', '短评打分': 5}
{'短评内容': '3星星的,还不错,挺温馨的!房间也很大,里面带电脑能上网.特别是早餐做的也很不错,老有特色', '短评打分': 5}
{'短评内容': '位置不是太好 周边几乎没有饭店可吃饭 只能在酒店里用餐 早餐还可以  房间里床很硬毛巾很旧 总的来说酒店有点陈旧了', '短评打分': 5}
{'短评内容': '酒店位置不错，比较正规，还算舒适，就是设施有些陈旧了，性价比还行。', '短评打分': 5}
{'短评内容': '早餐丰富而且好吃    床也睡的舒服   总体来说不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '感觉还可以,离景区稍远了点', '短评打分': 5}
{'短评内容': '就是预定过程中确认比较慢，不过酒店的硬件和卫生还不错.性价比比较高而且服务也很达标.', '短评打分': 5}
{'短评内容': '和平饭店，我入住的家庭房，首先是在酒店门口没人搭理，房间烟味特别重，这些都还能忍受。房间的空调噪音折磨我一晚，蚊子还来凑热闹，实在折腾坏了，第二天一早我们就换了个四星级宾馆。看来这家老店还真不如价位稍低点的经济性酒店！', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，就是早餐种类太单一了，其他方面都很不错。', '短评打分': 5}
{'短评内容': '酒店就是有点老了，设施、服务、卫生还是不错的。', '短评打分': 5}
{'短评内容': '酒店位置不错，就在市中心，交通很便利，服务嘛比较好。', '短评打分': 5}
{'短评内容': '房间里面挺干净的，早餐也不错欧。', '短评打分': 5}
{'短评内容': '老酒店了，设施有点旧。配套的餐饮质量和服务都一般般。卫生还可以。商务间配电脑，上网免费不错。方便。', '短评打分': 5}
{'短评内容': '设施不较陈旧，环境不错', '短评打分': 5}
