{'descr': '一般吧，建议去衡山路上的酒店，交通、购物、吃饭更方便', 'star': 2}
{'descr': '局市中心，地理位置佳，房間大小剛好且舒適，不錯哦！', 'star': 5}
{'descr': '太吵了！特别吵！', 'star': 3}
{'descr': '交通便利，就是房间靠近马路太吵了', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '环境还可以，交通比较发表，服务态度和服务不错', 'star': 4}
{'descr': '环境非常好', 'star': 5}
{'descr': '卫生还好，环境也好，周围吃饭地不多', 'star': 4}
{'descr': '离车站不远，大概就几站路，去汽车站和高铁站都很方便。 周边吃饭的地方还蛮多的。 环境之类还算可以吧。 商务出差的还是可以住的。 ', 'star': 4}
{'descr': '靠近路边 比较吵 房间干净 设施还不错', 'star': 4}
{'descr': '还行', 'star': 5}
{'descr': '比较安静卫生，早餐也不错，交通很方便', 'star': 5}
{'descr': '房间不干净。酒店服务员没有礼貌。', 'star': 3}
{'descr': '不错', 'star': 4}
{'descr': '还不错，离高铁站大概2站路', 'star': 5}
{'descr': '还不错，噪音有些大，环境还可以。要是含早餐就好了', 'star': 5}
{'descr': '还不错，噪音有些大，环境还可以。要是含早餐就好了', 'star': 5}
{'descr': '交通方便,入市區僅十分鐘,下次可再入住.但商務大床房內空間太小,僅限商務出差使用,不適合家庭.', 'star': 5}
{'descr': '和家人一起，交通比较便捷。一如既往的整洁！还是不错的！！！', 'star': 5}
{'descr': '和家人一起去的，有点小挤。但是麻雀虽小，五脏俱全！还可以吧', 'star': 5}
{'descr': '有wifi很不错，房间很干净，手巾很多都是全新的。', 'star': 5}
{'descr': '靠近火车站和火车南站，交通非常便利，环境挺好的，很安静，附近有大卖场', 'star': 5}
{'descr': '方便舒适服务亲切，非常好！', 'star': 3}
{'descr': '＋你的房间价格比酒店订的要高6元。', 'star': 3}
{'descr': '房间挺干净的 离乐购很近 靠近电脑城~~~~~~~~', 'star': 5}
{'descr': '不错不错，挺好的，干净，方便也，坐车打车都方便，比莫泰好！', 'star': 5}
{'descr': '一如既往的如家，值得推荐，性价比很高，很不错', 'star': 5}
{'descr': '房间很温馨…', 'star': 3}
{'descr': '好地方，干净，温馨,谢谢工作人员哦！！！', 'star': 5}
{'descr': '位置不错,去高铁站打车10元,到马路对面坐公交车也可以.房间较小,其他是如家的标准配置.', 'star': 5}
{'descr': '干净卫生，服务态度好，值得推荐，隔音差了点，总体来说不错的~', 'star': 5}
{'descr': '还好到火车南站很近，只是隔音有点不好，吃饭也有点不方便。', 'star': 5}
{'descr': '出差住那的，房间整洁干净，就是靠着马路有点吵，早餐很不错哦，，，，', 'star': 5}
{'descr': '酒店不错，就是隔音效果差，早餐很棒', 'star': 3}
{'descr': '还不错，有家的感觉！', 'star': 3}
{'descr': '酒店环境还不错，就是靠马路的房间有点吵。', 'star': 3}
{'descr': '房间不错很干净，就是隔音效果比较差', 'star': 3}
{'descr': '挺不错的，房间很温馨~就是稍微的有点挤，房间隔音还可以。。。不过嘛。。。 ', 'star': 5}
{'descr': '住在这里很温馨，洁净，以后每次出差都会选择这里！', 'star': 5}
{'descr': '如家酒店，服务人员服装态度很好，房间也不错，让人有种回家的感觉！价格也很实惠！下次还会选择入住如家！', 'star': 3}
{'descr': '第一次住还是挺不错的，环境很好，里面卫士也不错，就是毛巾，浴巾希望经常保持新的这样感觉会更好。', 'star': 5}
{'descr': '不错.离公司挺进的', 'star': 3}
{'descr': '卫生服务人员态度很好!标准间两张床,坐在椅子上看电脑,稍显挤。整体还好!支持如家!', 'star': 3}
{'descr': '不错的酒店，便宜，实惠，性价比高，有机会还会再去的。', 'star': 5}
{'descr': '地理位置比较方便 周边小吃店不多0 0\n服务也不错  ', 'star': 5}
{'descr': '挺干净的', 'star': 3}
{'descr': '环境还不错了 服务也很好  隔音效果有点差  一晚上基本上没睡着。', 'star': 5}
{'descr': '挺不错的，就是靠近马路有点吵，其他都OK的', 'star': 5}
{'descr': '还可以吧，所有的如家装修的都差不多。床头柜都是一样的拉。房间不算太大。卫生还可以。唯一的一点就是打车不方便呀！打不到车！虽然门口就是公交站台，可是对于不知道坐几路车的人来说，打不到出租车', 'star': 5}
{'descr': '＋酒店离昆山南站很近，挺好找的。服务很好，房间也挺舒服干净。很喜欢沐浴的水，一直是恒温的，水流也很集中，很舒服。值得推荐，赞！', 'star': 3}
{'descr': '很好的酒店服务干净很好的酒店服务干净很好的酒店服务干净', 'star': 5}
{'descr': '很好，周边有乐购、中华园、金逸电影城、高铁、汽车站，不管出行还是休闲娱乐都很方便，性价比也很高，值得推荐！', 'star': 5}
{'descr': '性价比很高，酒店内环境很好，服务好，周边出行也比较方便', 'star': 5}
{'descr': '酒店离火车站较远,门口作公交要三站路,酒店工作人员很热情,我走的时候下雨,没带伞,工作人员打伞把我送到公交站点,服务不错.', 'star': 5}
{'descr': '还可以吧，房间小了点', 'star': 3}
{'descr': '酒店比较新，离车站挺近的，性价比很高，是个不错的选择！', 'star': 5}
{'descr': '离汽车站很近，服务态度很好，卫生也挺好的', 'star': 5}
