{'短评内容': '酒店环境不错，每次出差都喜欢入住这家酒店。', '短评打分': 5}
{'短评内容': '酒店环境挺好，住的是别墅，挺有特色的，就在公园山上，盘山步道散步也还不错，床很舒服，浴盆水没有淋雨的水热，硬件还行，软件很一般，早餐太差，前台M.Sun工作人员不太友好。价格实惠，还会来住！', '短评打分': 4}
{'短评内容': '山上的酒店，环境很棒，适合放松，服务也不错，房间设施配备到位。很安静。试了自助午餐，只能说还可以，海鲜比较少。甜点不错。', '短评打分': 5}
{'短评内容': '很安静，服务非常好，有健身房，游泳馆，早餐很多，但是炒菜品质不高。周边环境不错，配套设施完善，客户服务很好。', '短评打分': 5}
{'短评内容': '还行  离市区较远  来去需打车  ', '短评打分': 5}
{'短评内容': '订了别墅豪华房，上去需电瓶车接送，不方便，环境不好，很压抑。后来换了低级别的普通豪华房，感觉好多了。', '短评打分': 4}
{'短评内容': '高端大气上档次，低调奢华有内涵！', '短评打分': 5}
{'短评内容': '提前预定的，下午五点半了来拿房，居然说没打扫卫生，在前台等了半个多小时，前台态度还不好。差评', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店确实不错，环境很好，服务也不错，这个价格确实超值', '短评打分': 5}
{'短评内容': '京东上面定的几次是最划算的，还有券可以领', '短评打分': 5}
{'短评内容': '厦门性价很好的酒店，酒店在山上，有个公园，山下有个像洗头房装修风格的饭店有道菜是水煮海鲜，挺好吃，跑题了。京东定这个酒店不但便宜还有立减，就超值了。早餐尚可，丢了个奶嘴，虽然是自己忘记了不过别的酒店都会给收一下的。总体来说不错', '短评打分': 5}
{'短评内容': '感觉非常不错?????。', '短评打分': 5}
{'短评内容': '环境不错了。哈哈', '短评打分': 5}
{'短评内容': '价格优惠，酒店也可以', '短评打分': 5}
{'短评内容': '还不错，挺好的，应该还算不错的。大家都说不错啊，我也觉得不错啊', '短评打分': 5}
{'短评内容': '酒店很安静，挺好的', '短评打分': 5}
{'短评内容': '还行吧，不算很满意，更喜欢悦华酒店', '短评打分': 5}
{'短评内容': '环境非常不错，娃很喜欢', '短评打分': 5}
{'短评内容': '还行  就是隔音效果不好  隔壁的整完都在布置房间  一整晚都听到他们在拖凳子 大声讲话', '短评打分': 4}
{'短评内容': '真心不错，春节期间价格也非常优惠，早餐还可以，关键是山景环境好~', '短评打分': 5}
{'短评内容': '被直接安排在吸烟房，换个房也是几经周折，感受太不好了', '短评打分': 1}
{'短评内容': '环境很好，每次来都会住', '短评打分': 5}
{'短评内容': '环境很不错，服务也很好', '短评打分': 5}
{'短评内容': '来厦门5天，前三天在环岛路住的客栈民俗，因为在海边看日出方便，但是住的不是很舒服。后两天打算搬进在仙乐山的艾美，太美了环境，而且竟然订到别墅房，一个人住一栋别墅，又跟酒店主楼隔得远，特别安静。真的惊喜，如果有机会再去，一定直奔艾美酒店', '短评打分': 5}
{'短评内容': '酒店很有特色 ，依山而建 ，位置较高 ，视野不错。空气好，住着感觉舒适。提供的早晨也很丰盛。这样的价格配套还是很好的，下次会再来', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '总体来说还不错', '短评打分': 5}
{'短评内容': 'jiudian', '短评打分': 5}
{'短评内容': '总体来说还是不错的，从坡道开上来环境优美，住的楼层低但也不吵。没有去看看其他配套设施。下次还会考虑住', '短评打分': 5}
{'短评内容': '环境很好！', '短评打分': 5}
{'短评内容': '设施新，房间设计现代，早餐丰富。', '短评打分': 5}
{'短评内容': '艾美酒店环境很好，比较安静，空气清新。', '短评打分': 5}
{'短评内容': '代公司定', '短评打分': 5}
