{'短评内容': '离我的学校比较近，设施很干净，价格划算', '短评打分': 4}
{'短评内容': '不好说什么', '短评打分': 1}
{'短评内容': '不好说什么', '短评打分': 1}
{'短评内容': '不理想', '短评打分': 2}
{'短评内容': '感觉还不错，老板很热情', '短评打分': 4}
{'短评内容': '性价比超级高，老板人也特别好。', '短评打分': 5}
{'短评内容': '设施不够齐全，没有电吹风，厕所的抽水不行，有时候没有水，房间的灯有点暗', '短评打分': 3}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '入住：501/503/505', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '多次入住，值得推荐', '短评打分': 4}
{'短评内容': '很好，干净，安静，下次再来', '短评打分': 3}
{'短评内容': '价格实惠，自驾泡温泉可以住', '短评打分': 5}
{'短评内容': '泡温泉时过来住的，条件尚可，价格实惠，院子里停车场可以停几辆', '短评打分': 5}
