{'短评内容': '还可以呢吧，给朋友开的，没住过', '短评打分': 5}
{'短评内容': '晚上车噪音比较大。', '短评打分': 5}
{'短评内容': '很冷的天，热空调在调试，被子很薄，想要加被子没有，空调开了一晚上，有声音，没热风，唯一的好消息是终于有热水了，老板很聪明，想了个绝招，叫我们洗完热水澡然后进被窝，这样就不冷了，反正我是感冒了', '短评打分': 4}
{'短评内容': '垃圾酒店，这么冷的天连空调都没有，被子也没的加，巨差', '短评打分': 1}
{'短评内容': '交通方便，停车方便', '短评打分': 5}
{'短评内容': '酒店布局合理，进来一种优雅的感觉，整个房间充满活力，厨房贵，衣服挂，特别是厕所里面的澡堂洗澡很舒服。整体不错', '短评打分': 4}
{'短评内容': '酒店环境挺好，设施比较完善齐全', '短评打分': 4}
{'短评内容': '酒店环境挺好，设施比较完善齐全', '短评打分': 4}
{'短评内容': '价格很亲民。', '短评打分': 5}
{'短评内容': '位置很好，停车方便，非常适合公务出差，酒店虽然装修简单，也还是很干净，还有澳门豆捞，吃饭非常方便。。', '短评打分': 5}
{'短评内容': '还可以，离我朋友的地方挺近。下次还会去。', '短评打分': 4}
{'短评内容': '基础设施一般，记住，是一般。', '短评打分': 3}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '环境一般...........', '短评打分': 5}
{'短评内容': '环境一般...........', '短评打分': 5}
{'短评内容': ' 房间还可以，前台服务员态度太差。', '短评打分': 3}
{'短评内容': '订的三人间，和父母一起住的，停车很方便，位置也还ok，房间里有电脑可以上网，早餐就很一般很一般了。。。对得起这个价格吧。', '短评打分': 5}
{'短评内容': '酒店也忒小气了，住进去的时候气温虽然不高，但是很闷热。\n打了前台三次电话，还是没有给开中央空调，最后是给了一把落地扇。\n', '短评打分': 1}
{'短评内容': '酒店卫生不错，也算是新的酒店，环境也还好，总体评价算是好的。', '短评打分': 5}
{'短评内容': '设施不错，就是靠近马路有点吵，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '物美价廉，和澳门豆捞靠一起，吃饭很方便。房间很大的', '短评打分': 5}
{'短评内容': '房间很不错，干净，物有所值，值得推荐。下次去继续住', '短评打分': 5}
{'短评内容': '环境很好，服务好像有点跟不上，性价比高，出行方便，下次还会入住，来绍兴的客商很多会选择这家酒店，上次也是朋友推荐的', '短评打分': 5}
