{'短评内容': '好评好评好评好评好评好评，很喜欢', '短评打分': 5}
{'短评内容': '挺好的 价格也实惠', '短评打分': 5}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '简直太安逸了 位置靠近商圈 而且房间超级大 超级舒服 阳台还可以看看夜景 房间里面的设施也很齐全 好评', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '特价房    环境好', '短评打分': 5}
{'短评内容': '公寓式酒店 还不错 性价比也还可以 临近观音桥商圈 走哪也比较方便  是一个不错的选择 ！！！！！！', '短评打分': 5}
{'短评内容': '比较满意的一家 性价比高', '短评打分': 5}
{'短评内容': '离观音桥步行街非常近！交通超方便！但是卫生一般排气扇坏了空调巨吵！前台态度很不错！电梯等死你！！', '短评打分': 4}
{'短评内容': '前台人很好，酒店环境也不错！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '房间很大 但感觉不是很干净 不过对得起这个价格了 很方便交通', '短评打分': 5}
{'短评内容': '總的來說還行、交通較方便，價格實惠！如果對居住環境不是特別挑惕那還是可以的', '短评打分': 4}
{'短评内容': '不错呀，住了一个星期', '短评打分': 5}
{'短评内容': '卫生，环境都不错。。。服务很好。。。推荐', '短评打分': 5}
{'短评内容': '店老板是个非常好的人，天下着雨零辰3点多都来带我们去车库，房间很大、干净、整洁很温馨，适合各种人群入住，下次来重庆是我首选了。。。??????', '短评打分': 5}
