{'短评内容': '酒店设备成旧 环境很差 洗手间有异味 太垃圾了', '短评打分': 2}
{'短评内容': '环境很好，酒店很大，zxr', '短评打分': 5}
{'短评内容': '还可以吧嗯', '短评打分': 4}
{'短评内容': '赵', '短评打分': 5}
{'短评内容': '服务不错。 总台服务很好。  季宝娜', '短评打分': 5}
{'短评内容': '好好棒棒棒棒棒棒哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '房间还是干净的，就是空间太小了，但作为一人小住，也可以将就。', '短评打分': 4}
{'短评内容': '很好很好，很好很好，很好很好，很好很好，很好很好，', '短评打分': 5}
{'短评内容': '很差，设施陈旧', '短评打分': 1}
{'短评内容': '非常喜欢！孩子觉得好像去到了童话世界，太兴奋啦！云曼温泉是我们体验过的最美的温泉！酒店房间美轮美奂，特别不同的感受！', '短评打分': 5}
{'短评内容': '挺温馨的，适合家庭出游', '短评打分': 4}
{'短评内容': '带孩子去杭州乐园玩，与景区无缝对接很方便。房间很整洁，隔音效果一般。早餐比较简单。', '短评打分': 4}
{'短评内容': '表演很棒，服务也很好，特别贴心', '短评打分': 5}
{'短评内容': '到店晚了，免费升成了家庭房 挺好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '烂苹果乐园对面，方便', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '酒店位置很好，设施一般，遇到下雨，门口一直有烧烤的油烟', '短评打分': 5}
{'短评内容': '设施有点老', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '酒店比较旧，而且我们同时订的两个同样的房间居然大小是不一样的，哎算了，懒得去换了，边上的主题酒店相当的豪华，早餐就是去那里吃的，很丰富的，开始以为小孩子也要付钱的（在网上看到的有些是要小孩子付钱的）居然就让我们这样进去了，呵呵（偷笑），酒店还答应一个房间送两张千古风情表演的门票，只是我们晚上赶时间没去而已．这样算起来的话还是很划算的．杭州乐园就在酒店的后门超近的．', '短评打分': 5}
{'短评内容': '如果是到杭州乐园游玩的朋友，我建议住这家。宾馆是老宾馆，近几年估计没有装修，但是整个设施马马虎虎，就算够不上4星有个三星半也够的。最主要离乐园就几分钟路程，我是2个大人1个小孩，门票全部在里面啦，698元，返还100元相当于住宿400元，因为门票是200元，售票处购买的话。早饭很好，就是要到五星的第一世界去吃。另外我建议中餐或者晚餐出去，外面一圈好几家蒸菜馆，我特好吃那个土鸡白斩，三个人连饮料等也', '短评打分': 5}
{'短评内容': '非常不错的酒店。。。离乐园很近，服务也非常不错，送的演出票，演出非常赞！', '短评打分': 5}
{'短评内容': '带孩子来玩的 很不错 就是杭州乐园太老旧了 地方也不大  旁边新开的烂苹果乐园还不错', '短评打分': 5}
{'短评内容': '酒店很漂亮，房间很大，很干净，服务也很周到，八月的时候还要去，还要住', '短评打分': 5}
{'短评内容': '总体还是可以的 对的起五星的牌子和星级 就是要对设施要维护的勤快', '短评打分': 5}
{'短评内容': '还可以 比较舒适 就是老了 设施设备旧了', '短评打分': 5}
{'短评内容': '我们运气超好 碰到了空调维护 升到了五星 里面的床很舒服 就是灯是感应 老是跳 ', '短评打分': 5}
{'短评内容': '酒店服务员态度非常好哦，感觉不错', '短评打分': 3}
{'短评内容': '出差住的，客房一般，早餐要走到对面的第一世界大酒店去吃，服务态度还不错，下次还是住萧山市区了', '短评打分': 1}
{'短评内容': '杭州乐园旁边，挺安静的。酒店建筑挺有个性。里面设施有点老了', '短评打分': 5}
{'短评内容': '酒店很不错的~房间挺大的~楼上是隔开的单间，住的很安静，很舒服', '短评打分': 5}
{'短评内容': '酒店很舒适很实惠！', '短评打分': 3}
{'短评内容': '主要是去杭州乐园玩才选择这家酒店的，酒店环境设施都还可以的，不过入住后，和当时在网上看到的图片并不一致，也不清楚是否有两家店还是怎么的原因。地处偏僻。\n房间偏欧式的摆设，如果按照五星级来说，真的不认为有什么特别之处。\n环境虽然好，但是客人毕竟是住房间内的，房间空间并不大，而且入住的时候排队排了差不多半个小时多，一个五星级的酒店，服务速度如此之慢，让人有些郁闷。', '短评打分': 1}
{'短评内容': '环境还不错，舒适整洁，就是公交略显不便。', '短评打分': 5}
{'短评内容': '两个酒店连接在一起的，一个5星，一个4星得', '短评打分': 5}
{'短评内容': '不错............................................', '短评打分': 5}
{'短评内容': '不错的酒店,离乐园很近..........', '短评打分': 5}
{'短评内容': '还行.', '短评打分': 3}
