{'短评内容': '装修有风格，精致，卫生，门口就是小吃街，挺好的酒店', '短评打分': 5}
{'短评内容': '第一次入住，酒店装修有特色，每间房都有别样的名字，有家的感觉，挺好', '短评打分': 5}
{'短评内容': '酒店有点特色，古代风景.还有些老物件书画等等怀旧风情。位置也可以交通方便，购物不远，距离景区也很还，走路十分钟就可以！', '短评打分': 4}
{'短评内容': '房间很有特色，非常不错', '短评打分': 5}
{'短评内容': '无微波炉冰箱 镜前灯暗不宜化妆 书卷气十足', '短评打分': 5}
{'短评内容': '酒店环境还行，服务员态度很好', '短评打分': 5}
{'短评内容': '环境不错，出行方便，推荐入住！', '短评打分': 4}
{'短评内容': '房间很有特色，体验中式文化，酒店主人很用心，满意。', '短评打分': 4}
{'短评内容': '喜欢他们家还会再来', '短评打分': 5}
{'短评内容': '环境不错，中式风格。下次还会选择他们家', '短评打分': 5}
{'短评内容': '还不错吧！', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '在一栋大厦里面，房间的确比较有特色，但是大楼整体非常陈旧。附近离得不远有很长的一条小吃街很赞', '短评打分': 4}
{'短评内容': '酒店有特色，在吃早饭的地方观景很舒服，因为在大厦的其中一层，所以有点不好找。', '短评打分': 4}
{'短评内容': '室内装修十分别致 就是找这家酒店的时候十分麻烦 最后打电话去问才知道', '短评打分': 5}
{'短评内容': '还行吧，没感觉有多好，一般般啦', '短评打分': 4}
