{'短评内容': '酒店位置不错，房间干净整洁，停车方便', '短评打分': 4}
{'短评内容': '房间不大，但是很干净，设备都还好。出差旅行最适合了。主要是睡得舒服就好', '短评打分': 5}
{'短评内容': '早餐不错，帮出差同事订的，同事很满意，主要位置挺好', '短评打分': 4}
{'短评内容': '不错，价位适中，适合家居旅行居住。用餐也方便。就是没有看到赠送的水果，', '短评打分': 5}
{'短评内容': '各方面都很好，早餐也很好吃，服务也不错，我给很差的原因是我住了两天，结果给携程反馈我昨天就退房了，我很纳闷到底是怎么回事，是携程的原因，还是酒店前台折腾着玩，如果是携程没弄好那只能算是酒店背锅了，希望你们每次对接的人都能稍微长点心，长点心吧，这点事都干不好吗我就想问问！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '不错的，一直支持', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '还可以总体不错就是房间留得太慢了', '短评打分': 5}
{'短评内容': '总体来说，还可以，就是窗户小点。洗手间有点反味儿', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '推荐入住 ', '短评打分': 4}
{'短评内容': '房间其他还好，不是太暖和', '短评打分': 4}
{'短评内容': '房间很好', '短评打分': 5}
{'短评内容': '房间很好，性价比高', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 4}
{'短评内容': '很好！', '短评打分': 4}
{'短评内容': '周边环境很繁华，有各种玩儿的和吃的东西，交通也方便，酒店很安全，停车场不大但是保安很负责', '短评打分': 5}
{'短评内容': '很好不错的每次来都住这里，预定也很方便', '短评打分': 5}
{'短评内容': '酒店服务不错，周边吃饭很方便。', '短评打分': 5}
