{'短评内容': '前台服务好，非常热情', '短评打分': 5}
{'短评内容': '早餐真的很不错，在上海这个地方，这样的房价，这样的环境，这样的服务，这样的自助早餐，真的很不错的！希望你们再接再厉，为更多的客人提供更好的住宿服务。', '短评打分': 5}
{'短评内容': '房间很好，停车方便，前台沈小姐态度非常热情，建议入住。', '短评打分': 5}
{'短评内容': '早餐不错，周边就有一个大型超市，购物休闲都有了，距离莘庄生活区也就15分钟的车程吧，酒店不大，但胜在有型吧。', '短评打分': 5}
{'短评内容': '刘女士服务很好', '短评打分': 5}
{'短评内容': '前台小韩很不错的，还帮忙升级', '短评打分': 5}
{'短评内容': '服务不错，就是没有儿童专用品，周围吃饭的地方很近方便。游泳池人不多，娃玩得开心，水能再热一点就好了', '短评打分': 5}
{'短评内容': '前台甘雨婷服务态度很好！', '短评打分': 5}
{'短评内容': '品质有保障 京东速度快 还会买', '短评打分': 5}
{'短评内容': '不错不错不错不错', '短评打分': 5}
{'短评内容': '叫外卖，因为刷卡进电梯，因此请客服送进房间，前台居然嚣张拒绝，如果态度好，我们是愿意下楼自取得！！！', '短评打分': 4}
{'短评内容': '還不錯', '短评打分': 4}
{'短评内容': '酒店位置不错，离漕河泾开发区很近，周边很热闹，商业繁华，吃喝都有，还有大型购物超市。进市区，出户都很方便西餐厅海鲜自助品种很多，服务员手脚麻利，眼观六处，主动帮助解决困难，让客人有宾至如归的感觉。酒店出去方便，不远处就是公交站，去景点很方', '短评打分': 5}
{'短评内容': '设施不错，服务很好，离机场近。', '短评打分': 5}
{'短评内容': '酒店设施很好，服务很热情。', '短评打分': 5}
{'短评内容': '酒店位置不错，离漕河泾开发区很近，周边很热闹，商业繁华，吃喝都有，还有大型购物超市。进市区，出户都很方便酒店硬件非常好，房间还有空气过滤器，乳液浴液都是品牌的', '短评打分': 5}
{'短评内容': '挺好的就是位置太偏', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '就在我家小区，帮客人预定', '短评打分': 5}
{'短评内容': '附近最好的酒店，不算太差只能说。', '短评打分': 4}
{'短评内容': 'nice hotel', '短评打分': 4}
{'短评内容': 'nice hotel', '短评打分': 4}
