{'短评内容': '很普通的住宿体验，为了考试近订的', '短评打分': 3}
{'短评内容': '隔音不好，都不敢大声说话', '短评打分': 3}
{'短评内容': '？？？？？？？8霸气', '短评打分': 5}
{'短评内容': '考试很近，买东西很方便，广场可停车。简单的房间，性价比不错。', '短评打分': 5}
{'短评内容': '一般般吧。。', '短评打分': 5}
{'短评内容': '有件衣服忘记了', '短评打分': 5}
{'短评内容': '大学城的宾馆。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '该宾馆老板，找各种理由不给你押金，说好的218元一晚去的那天跟你要288元，老板光认钱，连点最起码的诚信都没有，建议不要去这家宾馆，服务态度不好，', '短评打分': 0}
{'短评内容': '房间太小啦 卫生间太差了', '短评打分': 3}
{'短评内容': '一个字小。不怎么通风，整体还行吧。', '短评打分': 3}
{'短评内容': '住的大床房，房间偏小 ，价格有些贵，不满意。', '短评打分': 3}
{'短评内容': '隔音太差!晚上墙之隔似乎声音来自同一房间，其他还行', '短评打分': 4}
{'短评内容': '老板人很好 地理位置好 价钱公道 地方很干净', '短评打分': 3}
{'短评内容': '只是睡个觉而已', '短评打分': 3}
{'短评内容': '订的大床房，房间特别小，晚上还会有人从门缝下送小姐的名片……出门吃的比较多，还算方便。', '短评打分': 1}
