{'短评内容': '。。。。。。', '短评打分': 5}
{'短评内容': '周边环境比较方便，房间空调制热不太好，马桶堵了，再放置一些花草会更好一些', '短评打分': 4}
{'短评内容': '不错的地方。带孩子住挺好。', '短评打分': 5}
{'短评内容': '位置不错，服务还行，挺安静的。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '早餐不错，环境挺干净，很温馨，下次还会再次光顾。', '短评打分': 5}
{'短评内容': '窗外是个立交桥  隔音实在有点差  太吵了  其他的还行', '短评打分': 5}
{'短评内容': '房间不错价格经济地角好', '短评打分': 5}
{'短评内容': '位置可以，购物方便，房间干净。但是在闹市区有点吵闹了', '短评打分': 5}
{'短评内容': '汉庭的房间还是不错的', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '普通的酒店，隔音不大好，距离马路太近，晚上噪音大，其他的还都好，', '短评打分': 4}
{'短评内容': '酒店服务非常好 周边一般般 ', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还可以吧！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很好，就是被子不够柔', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
