{'短评内容': '出来方便，很好', '短评打分': 5}
{'短评内容': '星级酒店外表不错，可进淋浴间吓一跳，上莓了，有点失望', '短评打分': 5}
{'短评内容': '出游方便，性价比高', '短评打分': 5}
{'短评内容': '很好出游方便', '短评打分': 5}
{'短评内容': '前台小姐姐非常好，干净卫生', '短评打分': 5}
{'短评内容': '环境很不错哦！累了一天！找个舒适的环境休息！真的很不错', '短评打分': 5}
{'短评内容': '还行吧，没有过多的体验，', '短评打分': 5}
{'短评内容': '前台服务态度好', '短评打分': 5}
{'短评内容': '酒店不错，但相对装修有些老旧。', '短评打分': 5}
{'短评内容': '挺好的，性价比高…', '短评打分': 5}
{'短评内容': '市中心地段不错，出脚方便，经济实惠。', '短评打分': 5}
{'短评内容': '酒店位置方便，房间很不错，前台服务员服务很贴心！', '短评打分': 5}
{'短评内容': '商务出差非常好！', '短评打分': 5}
{'短评内容': '不错啊', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还不错，交通也方便', '短评打分': 5}
{'短评内容': '酒店环境还不错，价格合适，服务态度不是很到位', '短评打分': 4}
{'短评内容': '很新，硬件配套不错，性价比很高，下次有机会去黄山还会入住', '短评打分': 5}
{'短评内容': '酒店位置很好，处于黄山市中心，设施很新，性价比很高，下次到黄山还会住。', '短评打分': 5}
{'短评内容': '[酒店评估]\n1。酒店环境 ：差(观光目的来的话不要住)\n2。服务态度 ：差(对客人发恼火，不友好)\n3。酒店设备 ：差(网路不好，修理申请后过12个小时没维修。抱怨后维修)\n4。餐厅 ：差(不是5星级宾馆，3星级以下)\n\n整体评估很差。不会推荐！！ \n', '短评打分': 1}
{'短评内容': '硬件不错,服务还行。', '短评打分': 3}
