{'短评内容': '垃圾中的战斗机', '短评打分': 1}
{'短评内容': '位置不错，服务也好，早餐简单也够饱了。 3楼朝里有个房间的外机估计坏了，噪声很响，至少影响了周围4间房的睡眠。 不过前台第2天换了房间，睡得好多了。 床偏软，喜欢硬的有点睡不惯。 房间总体很好，还是很推荐的。  衡山相信旅游会继续发展，希望衡山上面的旅游车能改进服务，真心不够好。 出游的朋友，请务必多问停靠站，转车等事项。', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '酒店位置好找，房间大，价格实惠，还带早餐，适合出差旅行居住。', '短评打分': 5}
{'短评内容': '酒店有车去高铁站接比较好', '短评打分': 4}
{'短评内容': '酒店干净宽敞，位置好，离景区不远，早餐很健康，味道不错。重点是酒店服务特别好，很暖心，那天我们出了一点状况，酒店老板娘二话不说，热心相助，还发动她的朋友圈帮忙。真的特别感动。给一百个赞！！！以后出行依然是我的首选酒店，也推荐给大家，真是有温情有良心的商家。', '短评打分': 5}
{'短评内容': '住着还可以吧，毕竟连锁酒店，还可以！', '短评打分': 5}
{'短评内容': '我不知道这个酒店是如何排在衡阳性价比酒店排行榜第14名的，我14号中午入住，装修很普通，当天入住的人非常少，我住3楼到了晚上居然还有人在3楼打麻将，并且不关门，不知道是工作人员，还是入住的旅客，我到了凌晨1点才入睡，真的是不知道该说什么了。我发几张图片大家参考一下吧，淋浴的地方那么窄，个子高一点，壮一点的估计很难受，还有窗帘上面好脏，你们的都不洗的吗', '短评打分': 3}
{'短评内容': '很不错的入住体验，环境卫生都很好，以后还会入住&hellip;&hellip;', '短评打分': 5}
{'短评内容': '房间不错   服务员态度都很好 还会在次入住', '短评打分': 5}
{'短评内容': '酒店环境卫生都可以，特别是五妹很热情招待我们，还给我们介绍了附近比较实惠的餐饮和衡山的旅游路线！', '短评打分': 4}
{'短评内容': '酒店离南岳游客中心15分钟路程，门口可停车，早餐不挑食的尚可，房间还算整洁。', '短评打分': 4}
{'短评内容': '都比较可以', '短评打分': 5}
{'短评内容': '谢谢五妹', '短评打分': 5}
{'短评内容': '谢谢', '短评打分': 5}
{'短评内容': '房间干净整洁，热水稳定，晚上很安静，优惠的价格住出高大上的感觉。非常推荐！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '一定要点评的是该酒店早餐的餐具全部是从消毒柜取出，清洁温暖！', '短评打分': 5}
{'短评内容': '酒店还算不错，就是停车不太方便，要停在路上，有点不安全', '短评打分': 4}
{'短评内容': '总体该可以，卫生方面需要加强', '短评打分': 3}
{'短评内容': '很不错的一间酒店，很好！', '短评打分': 5}
{'短评内容': '都很好，就是路边有点吵，说不够大。服务是很令人满意的。', '短评打分': 5}
{'短评内容': '酒店不错，性价比高。', '短评打分': 3}
{'短评内容': '酒店卫生干净、服务好！', '短评打分': 3}
{'短评内容': '在南岳脚下，里万寿广场不远，旅游出行很方便。服务很好，预订之后，酒店经理亲自去汽车站接我们到酒店。前台服务也很热情，比较记人，入住之后，基本每次找他们都能认得我。酒店很新，装修风格简洁明快，很舒服。早餐略显简单，就是一般快捷酒店的标准。下次还会入住', '短评打分': 5}
{'短评内容': '房間干淨,淋浴間不到1m2', '短评打分': 3}
{'短评内容': '还行,就是早点种样不够都', '短评打分': 3}
{'短评内容': '酒店虽小，但设施较新，而且服务非常好，比五星级酒店还好。我们是5月1日入住的，到店后前台就告知已恢复平日价格，比订房时便宜好多，很实在的酒店。就是早餐没啥吃的，不过这么便宜的价格，也无所谓了。', '短评打分': 5}
